rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/n_updates,time/fps,time/time_elapsed,time/episodes,train/ent_coef,eval/mean_ep_length,eval/mean_reward
-43.37700978000001,28800,100.0,0.01790066994726658,0.874619722366333,0.0003,27.273151397705078,28699,36,782,288,0.007986411452293396,,
,29000,,0.01956203207373619,0.20723333954811096,0.0003,27.445371627807617,28899,,,,0.007922348566353321,100.0,-40.37124924
-43.23372764,29200,100.0,0.0175577774643898,-0.4263489842414856,0.0003,27.380081176757812,29099,36,795,292,0.007932797074317932,,
,29500,,0.017819901928305626,1.196657657623291,0.0003,27.267513275146484,29399,,,,0.007971307262778282,100.0,-41.925867319999995
-43.15867765,29600,100.0,0.013541074469685555,0.3902425169944763,0.0003,27.507190704345703,29499,36,807,296,0.00795090664178133,,
,30000,,0.01766064390540123,1.916654348373413,0.0003,27.861156463623047,29899,,,,0.008020510897040367,100.0,-38.75986522
-42.865927580000005,30000,100.0,,,,,,36,819,300,,,
-42.58037044999999,30400,100.0,0.014253687113523483,0.40655460953712463,0.0003,28.488353729248047,30299,36,824,304,0.007947350852191448,,
,30500,,0.01898009330034256,-0.8494016528129578,0.0003,28.445697784423828,30399,,,,0.007943637669086456,100.0,-40.13652454
-42.50402707999999,30800,100.0,0.01503557525575161,0.49090009927749634,0.0003,28.554391860961914,30699,36,837,308,0.007904998026788235,,
,31000,,0.02080512046813965,-1.8890163898468018,0.0003,28.912139892578125,30899,,,,0.007951172068715096,100.0,-38.57602178
-42.28811586999999,31200,100.0,0.016101591289043427,-0.32997646927833557,0.0003,28.930198669433594,31099,36,849,312,0.007914865389466286,,
,31500,,0.019835088402032852,1.4631234407424927,0.0003,29.352157592773438,31399,,,,0.007921358570456505,100.0,-39.67155428
-42.329832229999994,31600,100.0,0.01984943449497223,0.5228400826454163,0.0003,28.980131149291992,31499,36,862,316,0.007953534834086895,,
,32000,,0.01770489290356636,-2.387770652770996,0.0003,29.188465118408203,31899,,,,0.007990384474396706,100.0,-40.10941396
-42.092317460000004,32000,100.0,,,,,,36,874,320,,,
-41.94520085000001,32400,100.0,0.016808927059173584,0.7803468704223633,0.0003,29.87342071533203,32299,36,879,324,0.007996894419193268,,
,32500,,0.020525678992271423,0.8167341947555542,0.0003,30.013256072998047,32399,,,,0.00801166519522667,100.0,-41.452693499999995
-42.059777569999994,32800,100.0,0.014354977756738663,0.8556857109069824,0.0003,29.951805114746094,32699,36,892,328,0.008018323220312595,,
,33000,,0.01741265133023262,-0.732056736946106,0.0003,29.92133903503418,32899,,,,0.008072325959801674,100.0,-40.76990428
-42.19662115999999,33200,100.0,0.015078850090503693,1.6393465995788574,0.0003,29.959304809570312,33099,36,905,332,0.008166561834514141,,
,33500,,0.019754916429519653,-0.9140443801879883,0.0003,30.41889762878418,33399,,,,0.008171544410288334,100.0,-40.62279796
-41.95239547999999,33600,100.0,0.016510887071490288,-1.820587396621704,0.0003,30.224897384643555,33499,36,917,336,0.008178802207112312,,
,34000,,0.02240946888923645,0.7271004319190979,0.0003,30.889007568359375,33899,,,,0.008278009481728077,100.0,-40.320402640000005
-41.987012410000006,34000,100.0,,,,,,36,930,340,,,
-41.800112250000005,34400,100.0,0.016869723796844482,0.9133123159408569,0.0003,31.002710342407227,34299,36,935,344,0.008316930383443832,,
,34500,,0.02347407117486,-0.9741017818450928,0.0003,31.192026138305664,34399,,,,0.00836233515292406,100.0,-39.6383957
-41.99662567,34800,100.0,0.016754142940044403,0.719018280506134,0.0003,31.31049156188965,34699,36,947,348,0.008319924585521221,,
,35000,,0.01911422796547413,0.45602887868881226,0.0003,31.58020782470703,34899,,,,0.008357702754437923,100.0,-41.15350652
-41.801985300000005,35200,100.0,0.019994694739580154,1.2250330448150635,0.0003,31.388629913330078,35099,36,960,352,0.008377868682146072,,
,35500,,0.025365401059389114,-1.6178529262542725,0.0003,31.62664031982422,35399,,,,0.008412877097725868,100.0,-44.12033148000001
-41.64229088,35600,100.0,0.020245902240276337,-1.9617791175842285,0.0003,31.978633880615234,35499,36,973,356,0.008418230339884758,,
,36000,,0.01967957615852356,-0.3029050827026367,0.0003,31.566558837890625,35899,,,,0.008371223695576191,100.0,-40.729929119999994
-41.653223600000004,36000,100.0,,,,,,36,985,360,,,
-41.72545237,36400,100.0,0.023008879274129868,-1.9939234256744385,0.0003,31.935768127441406,36299,36,990,364,0.0083449836820364,,
,36500,,0.018724460154771805,-0.2386295199394226,0.0003,32.36412048339844,36399,,,,0.008334512822329998,100.0,-43.165841519999994
-41.411903599999995,36800,100.0,0.01918194815516472,0.12234801054000854,0.0003,32.5439338684082,36699,36,1002,368,0.008304474875330925,,
,37000,,0.018226120620965958,0.41534554958343506,0.0003,32.3421630859375,36899,,,,0.008221319876611233,100.0,-39.36615116
-41.638569649999994,37200,100.0,0.02573314867913723,0.7693424224853516,0.0003,32.6575813293457,37099,36,1015,372,0.00827521551400423,,
,37500,,0.02288554236292839,0.9396946430206299,0.0003,32.59828186035156,37399,,,,0.008212555199861526,100.0,-38.12074044
-41.64539281,37600,100.0,0.015290701761841774,-1.0154483318328857,0.0003,32.738372802734375,37499,36,1027,376,0.008225170895457268,,
,38000,,0.0174446739256382,0.7340150475502014,0.0003,32.645790100097656,37899,,,,0.008309493772685528,100.0,-37.049651
-41.503240719999994,38000,100.0,,,,,,36,1040,380,,,
-41.39450733,38400,100.0,0.023408954963088036,-0.0737895667552948,0.0003,33.307106018066406,38299,36,1045,384,0.008194244466722012,,
,38500,,0.021070167422294617,0.9307178854942322,0.0003,33.20077133178711,38399,,,,0.008186828345060349,100.0,-37.087120119999994
-41.57001702,38800,100.0,0.020082181319594383,2.292689085006714,0.0003,33.669586181640625,38699,36,1057,388,0.008205024525523186,,
