train/learning_rate,time/time_elapsed,train/actor_loss,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.0003,,-4.963821887969971,0.02034197375178337,,9000,,,0.07562484592199326,8899,-20.544763565063477,,100.0,-42.881006719999995
0.0003,247,-4.53895378112793,0.017601842060685158,100.0,9200,92,-110.82712059782607,0.07162990421056747,9099,-20.158275604248047,37,,
0.0003,,-3.123991012573242,0.018519705161452293,,9500,,,0.06605236977338791,9399,-20.414379119873047,,100.0,-44.42369024
0.0003,259,-3.0451245307922363,0.022685835137963295,100.0,9600,96,-108.96389117708333,0.06429685652256012,9499,-20.0843448638916,36,,
0.0003,,-2.0125904083251953,0.019807038828730583,,10000,,,0.05774901434779167,9899,-20.285388946533203,,100.0,-42.633356240000005
,272,,,100.0,10000,100,-107.07844027999998,,,,36,,
0.0003,276,-0.8564414978027344,0.017664358019828796,100.0,10400,104,-103.42598545999999,0.05189543589949608,10299,-20.229719161987305,37,,
0.0003,,-0.3765455484390259,0.01691778376698494,,10500,,,0.050535183399915695,10399,-19.88340187072754,,100.0,-42.54081939999999
0.0003,289,0.45719921588897705,0.016881370916962624,100.0,10800,108,-99.71634832000001,0.04668273776769638,10699,-20.10375213623047,37,,
0.0003,,0.941914439201355,0.016440685838460922,,11000,,,0.04429328814148903,10899,-19.292526245117188,,100.0,-42.01307818
0.0003,302,1.551804542541504,0.018858930096030235,100.0,11200,112,-95.86945209,0.04203943535685539,11099,-18.608448028564453,37,,
0.0003,,2.7305197715759277,0.018286224454641342,,11500,,,0.03889226168394089,11399,-18.68723487854004,,100.0,-40.5461788
0.0003,314,2.897275924682617,0.019695457071065903,100.0,11600,116,-92.15929606,0.037900712341070175,11499,-19.23434829711914,36,,
0.0003,,3.6449031829833984,0.015032189898192883,,12000,,,0.03420749679207802,11899,-18.339603424072266,,100.0,-38.80077444
,327,,,100.0,12000,120,-88.27033724,,,,36,,
0.0003,331,4.720646858215332,0.01798749342560768,100.0,12400,124,-84.47694744999998,0.030911201611161232,12299,-16.5963134765625,37,,
