time/fps,train/critic_loss,rollout/ep_len_mean,train/learning_rate,train/actor_loss,train/ent_coef_loss,time/time_elapsed,train/n_updates,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/ent_coef,eval/mean_reward,eval/mean_ep_length
,0.0159105584025383,,0.0003,18.57056427001953,-0.3153534233570099,,20899,,,21000,0.007890371605753899,-36.152350320000004,100.0
36,0.010575724765658379,100.0,0.0003,18.513490676879883,0.49152666330337524,581,21099,-43.39116275000001,212,21200,0.007897384464740753,,
,0.009570534341037273,,0.0003,18.87527847290039,1.5643253326416016,,21399,,,21500,0.007871750742197037,-36.70074532,100.0
36,0.012549794279038906,100.0,0.0003,19.103612899780273,-1.0578781366348267,593,21499,-43.07395872,216,21600,0.007885109633207321,,
,0.01335076242685318,,0.0003,19.620285034179688,0.7938979864120483,,21899,,,22000,0.00792629737406969,-37.746017800000004,100.0
36,,100.0,,,,606,,-42.63651613,220,22000,,,
36,0.012816326692700386,100.0,0.0003,19.911266326904297,0.22098062932491302,611,22299,-42.257156789999996,224,22400,0.007969015277922153,,
,0.013441676273941994,,0.0003,20.064781188964844,0.892736554145813,,22399,,,22500,0.007956269197165966,-37.217761100000004,100.0
36,0.013995075598359108,100.0,0.0003,20.402873992919922,0.033859461545944214,623,22699,-41.96403985,228,22800,0.00796501524746418,,
,0.010431680828332901,,0.0003,20.342580795288086,0.6725434064865112,,22899,,,23000,0.007951964624226093,-36.33388766,100.0
36,0.014053760096430779,100.0,0.0003,21.016109466552734,-0.6483157873153687,636,23099,-41.3689477,232,23200,0.007987112738192081,,
,0.011234303005039692,,0.0003,21.211427688598633,-0.8627253770828247,,23399,,,23500,0.00803317129611969,-37.3497773,100.0
36,0.012307366356253624,100.0,0.0003,21.03616714477539,-0.711525022983551,648,23499,-41.22944056,236,23600,0.008023593574762344,,
,0.010714609175920486,,0.0003,21.5156307220459,-0.023009374737739563,,23899,,,24000,0.007998175919055939,-36.86347094,100.0
36,,100.0,,,,661,,-40.76826878,240,24000,,,
36,0.017222141847014427,100.0,0.0003,21.925159454345703,-0.6538803577423096,666,24299,-40.8467925,244,24400,0.00805390253663063,,
,0.013874435797333717,,0.0003,21.96341896057129,0.5289793610572815,,24399,,,24500,0.008056322112679482,-36.4001955,100.0
36,0.014197347685694695,100.0,0.0003,21.98797607421875,-1.7111315727233887,679,24699,-40.54222941999999,248,24800,0.008063682354986668,,
,0.01384647935628891,,0.0003,22.369583129882812,-0.9949974417686462,,24899,,,25000,0.008074501529335976,-36.531944040000006,100.0
36,0.012788636609911919,100.0,0.0003,22.82625389099121,0.6955957412719727,692,25099,-40.23583045,252,25200,0.008051249198615551,,
,0.01200563833117485,,0.0003,22.96890640258789,-0.12258166074752808,,25399,,,25500,0.008051080629229546,-37.16331346,100.0
36,0.01100148819386959,100.0,0.0003,23.15976905822754,1.0269031524658203,704,25499,-40.36287454,256,25600,0.008061356842517853,,
,0.015558559447526932,,0.0003,23.332677841186523,0.1902180165052414,,25899,,,26000,0.008086688816547394,-37.38013554,100.0
36,,100.0,,,,717,,-40.22280858,260,26000,,,
36,0.012826726771891117,100.0,0.0003,23.72538948059082,0.981166660785675,722,26299,-40.12803881,264,26400,0.00804827082902193,,
,0.01188657432794571,,0.0003,23.521265029907227,-1.6582096815109253,,26399,,,26500,0.008036351762712002,-37.49999582,100.0
36,0.012876642867922783,100.0,0.0003,24.12643814086914,0.9931952953338623,734,26699,-40.06489276,268,26800,0.008014248684048653,,
,0.01297835074365139,,0.0003,24.34780502319336,0.1871435046195984,,26899,,,27000,0.007969577796757221,-37.84667422,100.0
36,0.012448839843273163,100.0,0.0003,24.26451873779297,0.3920851945877075,746,27099,-39.756305350000005,272,27200,0.00797377061098814,,
,0.012205934152007103,,0.0003,24.4737548828125,0.8561429381370544,,27399,,,27500,0.007968327961862087,-36.717153360000005,100.0
36,0.012740940786898136,100.0,0.0003,24.791851043701172,-1.2366864681243896,759,27499,-39.72643178,276,27600,0.007962144911289215,,
,0.015101678669452667,,0.0003,25.106056213378906,-0.8951598405838013,,27899,,,28000,0.007928172126412392,-37.70027636,100.0
36,,100.0,,,,771,,-39.38478185,280,28000,,,
36,0.013799271546304226,100.0,0.0003,25.49506378173828,1.4475750923156738,777,28299,-39.81614892,284,28400,0.007892057299613953,,
,0.012793926522135735,,0.0003,25.44472885131836,-0.2339976727962494,,28399,,,28500,0.007914536632597446,-35.97072574,100.0
36,0.013341415673494339,100.0,0.0003,25.624263763427734,1.4814298152923584,789,28699,-39.931592619999996,288,28800,0.007834946736693382,,
,0.012143618427217007,,0.0003,25.90220069885254,1.4878034591674805,,28899,,,29000,0.007794687524437904,-37.36640162,100.0
36,0.012675875797867775,100.0,0.0003,25.89678382873535,-0.713116466999054,802,29099,-39.92231072,292,29200,0.007871604524552822,,
,0.01166532002389431,,0.0003,25.793262481689453,-0.14412543177604675,,29399,,,29500,0.00775713799521327,-37.3581274,100.0
36,0.012907174415886402,100.0,0.0003,26.04364776611328,-2.175813674926758,814,29499,-40.02314867,296,29600,0.007757334038615227,,
,0.01192400511354208,,0.0003,26.218305587768555,0.9489306211471558,,29899,,,30000,0.007812637835741043,-37.66908438,100.0
36,,100.0,,,,827,,-39.890656469999996,300,30000,,,
36,0.012056440114974976,100.0,0.0003,26.89214324951172,-0.30984580516815186,832,30299,-39.74519147,304,30400,0.007763291709125042,,
,0.010908909142017365,,0.0003,26.740724563598633,0.9423002004623413,,30399,,,30500,0.007757741026580334,-38.33491518,100.0
36,0.01034599356353283,100.0,0.0003,27.092374801635742,0.06258794665336609,845,30699,-39.74333055,308,30800,0.007739705964922905,,
,0.014335518702864647,,0.0003,27.37316131591797,0.7883778810501099,,30899,,,31000,0.00767508614808321,-39.259990759999994,100.0
36,0.021543029695749283,100.0,0.0003,27.195375442504883,1.3826391696929932,857,31099,-39.61897294,312,31200,0.007667557802051306,,
,0.01912582479417324,,0.0003,27.595130920410156,1.3258717060089111,,31399,,,31500,0.007695035543292761,-43.19717218000001,100.0
36,0.013303717598319054,100.0,0.0003,27.33743667602539,0.1746681034564972,870,31499,-39.718883510000005,316,31600,0.007659656926989555,,
,0.01813766174018383,,0.0003,27.649826049804688,-1.0452418327331543,,31899,,,32000,0.007686186581850052,-42.86721701999999,100.0
36,,100.0,,,,883,,-39.79105495,320,32000,,,
36,0.013900600373744965,100.0,0.0003,28.112865447998047,-0.5953818559646606,888,32299,-39.88291805,324,32400,0.007638881448656321,,
,0.016010558232665062,,0.0003,28.365463256835938,-1.0615687370300293,,32399,,,32500,0.00759746553376317,-41.7356128,100.0
36,0.014884043484926224,100.0,0.0003,28.369462966918945,1.65614914894104,900,32699,-40.10421634,328,32800,0.007595491595566273,,
,0.015681032091379166,,0.0003,28.39509391784668,-0.14464843273162842,,32899,,,33000,0.007651242893189192,-39.82403514000001,100.0
36,0.011410998180508614,100.0,0.0003,28.299198150634766,-2.0687460899353027,913,33099,-40.35620022,332,33200,0.007597596384584904,,
,0.017742544412612915,,0.0003,28.802566528320312,-0.6415179967880249,,33399,,,33500,0.007541006430983543,-40.61210884,100.0
36,0.012689949944615364,100.0,0.0003,29.002647399902344,0.7370026111602783,925,33499,-40.32450912,336,33600,0.0075533464550971985,,
,0.020090121775865555,,0.0003,29.138286590576172,1.1503843069076538,,33899,,,34000,0.007591990288347006,-40.06310046,100.0
36,,100.0,,,,938,,-40.46139,340,34000,,,
36,0.014636272564530373,100.0,0.0003,29.457006454467773,-0.7210550308227539,943,34299,-40.44990134,344,34400,0.007596690207719803,,
,0.01687433570623398,,0.0003,29.557960510253906,-2.343660354614258,,34399,,,34500,0.007598001975566149,-40.94201716,100.0
36,0.01878606528043747,100.0,0.0003,29.72734832763672,-0.06171795725822449,955,34699,-40.667937699999996,348,34800,0.007610156200826168,,
,0.016250021755695343,,0.0003,30.024673461914062,0.7506817579269409,,34899,,,35000,0.007556656841188669,-40.39105556,100.0
36,0.015758724883198738,100.0,0.0003,29.849327087402344,0.7173315286636353,968,35099,-40.617891719999996,352,35200,0.007540765218436718,,
,0.015307404100894928,,0.0003,29.863357543945312,0.24762502312660217,,35399,,,35500,0.00751642556861043,-39.966702559999995,100.0
36,0.01946137845516205,100.0,0.0003,30.1915283203125,0.3941587507724762,980,35499,-40.57640859999999,356,35600,0.00752688804641366,,
,0.014758825302124023,,0.0003,29.933734893798828,2.848914861679077,,35899,,,36000,0.007439448498189449,-39.95080648,100.0
36,,100.0,,,,993,,-40.57470964,360,36000,,,
36,0.014477366581559181,100.0,0.0003,30.119258880615234,0.2953057587146759,998,36299,-40.55671426000001,364,36400,0.007432456593960524,,
,0.020004142075777054,,0.0003,30.706289291381836,-1.4666402339935303,,36399,,,36500,0.0074337320402264595,-38.874771980000006,100.0
36,0.02336152456700802,100.0,0.0003,30.653217315673828,1.2196886539459229,1010,36699,-40.22279184999999,368,36800,0.0073808468878269196,,
,0.014236347749829292,,0.0003,30.52882194519043,-1.8444774150848389,,36899,,,37000,0.0073976642452180386,-39.291240179999996,100.0
36,0.014757875353097916,100.0,0.0003,30.715335845947266,0.6426945924758911,1023,37099,-40.63595642,372,37200,0.007293347734957933,,
,0.015375259332358837,,0.0003,30.99482536315918,-0.026520520448684692,,37399,,,37500,0.0073546417988836765,-39.03426818,100.0
36,0.015433177351951599,100.0,0.0003,30.99173355102539,-0.9915586709976196,1035,37499,-40.716973970000005,376,37600,0.007313358131796122,,
,0.01332052145153284,,0.0003,31.10024070739746,1.3794821500778198,,37899,,,38000,0.007288102060556412,-38.66609252,100.0
36,,100.0,,,,1048,,-40.773537440000005,380,38000,,,
36,0.018018268048763275,100.0,0.0003,31.698219299316406,0.6032675504684448,1053,38299,-40.45269845,384,38400,0.007289523258805275,,
,0.015182450413703918,,0.0003,31.434812545776367,-1.328439712524414,,38399,,,38500,0.00733355013653636,-38.47834988,100.0
36,0.023792121559381485,100.0,0.0003,31.864654541015625,2.2493224143981934,1065,38699,-40.60799536,388,38800,0.0073180608451366425,,
,0.01797715574502945,,0.0003,31.760101318359375,0.29856371879577637,,38899,,,39000,0.00735708000138402,-37.47826462,100.0
36,0.02703872136771679,100.0,0.0003,31.70919418334961,-0.9481086730957031,1078,39099,-40.72354955,392,39200,0.007345638237893581,,
,0.02139192447066307,,0.0003,32.31812286376953,-0.06346866488456726,,39399,,,39500,0.007393460720777512,-38.7983087,100.0
36,0.0244101844727993,100.0,0.0003,31.845930099487305,-0.7673771977424622,1091,39499,-40.70205642,396,39600,0.0073964898474514484,,
,0.032182708382606506,,0.0003,32.15427017211914,0.0020695626735687256,,39899,,,40000,0.007422890048474073,-37.337634699999995,100.0
36,,100.0,,,,1103,,-40.686268309999996,400,40000,,,
36,0.018853241577744484,100.0,0.0003,32.107566833496094,-1.9048609733581543,1108,40299,-40.890499,404,40400,0.007397741544991732,,
,0.01352868601679802,,0.0003,31.91510009765625,0.8306376934051514,,40399,,,40500,0.007391610182821751,-38.06612426,100.0
36,0.01686980575323105,100.0,0.0003,32.62847900390625,-1.2991533279418945,1121,40699,-40.89967091999999,408,40800,0.007383392192423344,,
,0.016603466123342514,,0.0003,32.625732421875,-0.324552059173584,,40899,,,41000,0.007424475625157356,-37.30625556,100.0
36,0.013625713996589184,100.0,0.0003,32.472694396972656,-0.5393949747085571,1134,41099,-40.85301666,412,41200,0.007419453468173742,,
,0.021828919649124146,,0.0003,32.71843338012695,-0.9441924095153809,,41399,,,41500,0.007489942945539951,-37.536379059999994,100.0
36,0.01605905406177044,100.0,0.0003,32.949790954589844,-1.3365375995635986,1146,41499,-40.79066649,416,41600,0.007451057434082031,,
,0.027734268456697464,,0.0003,33.084922790527344,0.16881850361824036,,41899,,,42000,0.007483078166842461,-37.53676234,100.0
36,,100.0,,,,1159,,-40.540689210000004,420,42000,,,
36,0.019277889281511307,100.0,0.0003,33.04212188720703,-1.0780988931655884,1164,42299,-40.21246391,424,42400,0.007480430882424116,,
,0.01651783287525177,,0.0003,33.089080810546875,2.7176480293273926,,42399,,,42500,0.0074639092199504375,-40.25652086,100.0
36,0.01973596215248108,100.0,0.0003,33.488182067871094,-1.2834917306900024,1176,42699,-39.768218860000005,428,42800,0.0075646317563951015,,
,0.02334962598979473,,0.0003,33.27924728393555,2.0797359943389893,,42899,,,43000,0.00755418511107564,-39.198675640000005,100.0
36,0.01825803890824318,100.0,0.0003,33.429840087890625,-1.7235337495803833,1189,43099,-40.12248588999999,432,43200,0.007548777386546135,,
