time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/n_updates,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
244,-48.822846600000005,0.04579346999526024,17600,17499,100.0,71,176,23.276260375976562,0.001,,
,,0.04991726577281952,18000,17899,,,,23.886754989624023,0.001,-45.76453331999999,100.0
251,-48.26589122,,18000,,100.0,71,180,,,,
253,-48.243794690000016,0.07250916957855225,18400,18299,100.0,72,184,23.988759994506836,0.001,,
,,0.058305494487285614,18500,18399,,,,24.238988876342773,0.001,-49.5878132,100.0
260,-48.08877377999998,0.06197158619761467,18800,18699,100.0,72,188,24.41141128540039,0.001,,
,,0.05741998553276062,19000,18899,,,,24.66830825805664,0.001,-44.686346759999985,100.0
267,-47.86315752999999,0.05857134610414505,19200,19099,100.0,71,192,24.884258270263672,0.001,,
,,0.04471998289227486,19500,19399,,,,25.40921401977539,0.001,-45.07742475999999,100.0
273,-47.58850415999999,0.055417921394109726,19600,19499,100.0,71,196,25.017662048339844,0.001,,
,,0.05475438013672829,20000,19899,,,,25.710887908935547,0.001,-45.556037260000004,100.0
279,-47.20710578999999,,20000,,100.0,71,200,,,,
282,-46.638810719999995,0.05471082776784897,20400,20299,100.0,72,204,26.135923385620117,0.001,,
,,0.07543564587831497,20500,20399,,,,25.919841766357422,0.001,-44.536784559999994,100.0
288,-46.31463089999999,0.07467946410179138,20800,20699,100.0,72,208,26.247608184814453,0.001,,
,,0.06257271766662598,21000,20899,,,,26.458093643188477,0.001,-46.4960472,100.0
294,-46.20104334,0.04894401505589485,21200,21099,100.0,71,212,26.808618545532227,0.001,,
,,0.055971525609493256,21500,21399,,,,27.225622177124023,0.001,-44.517031800000005,100.0
301,-45.730556279999995,0.07189836353063583,21600,21499,100.0,71,216,26.7924747467041,0.001,,
,,0.05802907794713974,22000,21899,,,,27.167194366455078,0.001,-42.92483490000001,100.0
307,-45.30487679,,22000,,100.0,71,220,,,,
310,-45.10369807,0.07303886115550995,22400,22299,100.0,72,224,27.545650482177734,0.001,,
,,0.05664056912064552,22500,22399,,,,27.859230041503906,0.001,-44.32036456000001,100.0
316,-44.93955470999998,0.15993575751781464,22800,22699,100.0,72,228,28.05902099609375,0.001,,
,,0.05801995098590851,23000,22899,,,,28.23000717163086,0.001,-46.4582575,100.0
322,-44.83345293,0.08846287429332733,23200,23099,100.0,71,232,28.743682861328125,0.001,,
,,0.06902086734771729,23500,23399,,,,28.31967544555664,0.001,-44.19707325999999,100.0
329,-44.688417179999995,0.07126696407794952,23600,23499,100.0,71,236,28.80752944946289,0.001,,
,,0.061402034014463425,24000,23899,,,,29.288375854492188,0.001,-44.64270406,100.0
335,-44.91557610000001,,24000,,100.0,71,240,,,,
337,-44.92117329999999,0.07759074866771698,24400,24299,100.0,72,244,29.421768188476562,0.001,,
,,0.06188972294330597,24500,24399,,,,29.62592315673828,0.001,-44.4861492,100.0
344,-45.00110187,0.06398516893386841,24800,24699,100.0,72,248,29.803939819335938,0.001,,
,,0.06306755542755127,25000,24899,,,,30.20696258544922,0.001,-42.956988900000006,100.0
350,-44.69285858,0.08514606952667236,25200,25099,100.0,71,252,30.4194393157959,0.001,,
,,0.062387291342020035,25500,25399,,,,30.591346740722656,0.001,-42.23276628000001,100.0
356,-44.498402889999994,0.05823568254709244,25600,25499,100.0,71,256,30.58373260498047,0.001,,
,,0.06850362569093704,26000,25899,,,,30.739524841308594,0.001,-42.629983900000006,100.0
363,-44.36731377,,26000,,100.0,71,260,,,,
365,-44.132796770000006,0.08490829914808273,26400,26299,100.0,72,264,30.780628204345703,0.001,,
,,0.06272436678409576,26500,26399,,,,31.118539810180664,0.001,-44.06887456,100.0
371,-44.14353895,0.057150788605213165,26800,26699,100.0,72,268,31.581958770751953,0.001,,
,,0.07030828297138214,27000,26899,,,,31.703847885131836,0.001,-45.61829948,100.0
378,-43.978297280000014,0.0790162980556488,27200,27099,100.0,71,272,31.44451141357422,0.001,,
,,0.07468730211257935,27500,27399,,,,32.025978088378906,0.001,-45.64687798,100.0
384,-43.53131589,0.0640898197889328,27600,27499,100.0,71,276,31.951709747314453,0.001,,
,,0.07396312803030014,28000,27899,,,,32.348777770996094,0.001,-44.25692672,100.0
390,-43.600003459999996,,28000,,100.0,71,280,,,,
393,-43.531664109999994,0.05991778522729874,28400,28299,100.0,72,284,32.42570495605469,0.001,,
,,0.08803312480449677,28500,28399,,,,32.677162170410156,0.001,-44.554752259999994,100.0
399,-43.31137091000001,0.1129486933350563,28800,28699,100.0,72,288,32.77006530761719,0.001,,
,,0.08483244478702545,29000,28899,,,,33.061805725097656,0.001,-44.09812652000001,100.0
406,-43.3348187,0.08031296730041504,29200,29099,100.0,71,292,33.10215377807617,0.001,,
,,0.09969498217105865,29500,29399,,,,33.348506927490234,0.001,-42.85857512,100.0
412,-43.060776539999985,0.0648595467209816,29600,29499,100.0,71,296,33.46001052856445,0.001,,
,,0.07927298545837402,30000,29899,,,,33.8069953918457,0.001,-46.2345204,100.0
418,-43.35916280000001,,30000,,100.0,71,300,,,,
421,-43.62547855,0.08208923041820526,30400,30299,100.0,72,304,34.03219985961914,0.001,,
,,0.07030210644006729,30500,30399,,,,33.81352996826172,0.001,-43.50565264,100.0
427,-43.794203310000015,0.15455159544944763,30800,30699,100.0,72,308,34.12718200683594,0.001,,
