time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,time/fps,train/actor_loss,eval/mean_ep_length,eval/mean_reward
277,108,0.0003,10699,0.016231032088398933,-19.29388427734375,-99.31478767,0.04672089219093323,10800,100.0,38,-0.8338083028793335,,
,,0.0003,10899,0.01425560936331749,-19.73914337158203,,0.0443352609872818,11000,,,-0.15968869626522064,100.0,-42.35825114
290,112,0.0003,11099,0.014435294084250927,-19.061786651611328,-95.49690484000001,0.0420781709253788,11200,100.0,38,0.5602631568908691,,
,,0.0003,11399,0.015192725695669651,-18.468358993530273,,0.038933537900447845,11500,,,1.0762903690338135,100.0,-41.182985720000005
302,116,0.0003,11499,0.016252845525741577,-18.50251007080078,-91.65662365999998,0.037947457283735275,11600,100.0,38,1.4207332134246826,,
,,0.0003,11899,0.017617598176002502,-17.327980041503906,,0.03427352383732796,12000,,,2.662393808364868,100.0,-41.14325828
315,120,,,,,-88.13676226,,12000,100.0,38,,,
320,124,0.0003,12299,0.017714839428663254,-17.374582290649414,-84.49738923999999,0.030996091663837433,12400,100.0,38,3.544576644897461,,
,,0.0003,12399,0.01678512990474701,-17.32744598388672,,0.030235320329666138,12500,,,3.8619778156280518,100.0,-41.268681879999995
332,128,0.0003,12699,0.014425667002797127,-15.747007369995117,-80.79561709,0.028077416121959686,12800,100.0,38,4.283368110656738,,
,,0.0003,12899,0.016139058396220207,-15.736605644226074,,0.026733944192528725,13000,,,4.696029186248779,100.0,-39.96046834
345,132,0.0003,13099,0.014459219761192799,-15.354278564453125,-77.54089769,0.025467758998274803,13200,100.0,38,5.406326770782471,,
,,0.0003,13399,0.017151780426502228,-15.052329063415527,,0.02369626611471176,13500,,,5.778694152832031,100.0,-38.185305220000004
358,136,0.0003,13499,0.014506400562822819,-13.946643829345703,-74.70167843999998,0.023135678842663765,13600,100.0,37,6.187021255493164,,
,,0.0003,13899,0.015741944313049316,-14.165185928344727,,0.021049480885267258,14000,,,7.095672607421875,100.0,-42.896472159999995
370,140,,,,,-71.72922097,,14000,100.0,37,,,
375,144,0.0003,14299,0.014759368263185024,-12.591163635253906,-69.18510491,0.019186513498425484,14400,100.0,38,7.666645050048828,,
,,0.0003,14399,0.01705000549554825,-12.482429504394531,,0.01875031739473343,14500,,,8.074857711791992,100.0,-40.705140060000005
388,148,0.0003,14699,0.014628753997385502,-11.085477828979492,-66.42390206,0.017521338537335396,14800,100.0,38,8.62586784362793,,
,,0.0003,14899,0.014677304774522781,-10.800739288330078,,0.016758223995566368,15000,,,8.990564346313477,100.0,-38.2479776
401,152,0.0003,15099,0.013945573940873146,-9.771587371826172,-64.04172666000001,0.01603708229959011,15200,100.0,37,9.18282413482666,,
,,0.0003,15399,0.016319189220666885,-9.11056900024414,,0.015035411342978477,15500,,,9.706128120422363,100.0,-38.23111284
413,156,0.0003,15499,0.011423656716942787,-9.43313217163086,-61.62238340999999,0.014722153544425964,15600,100.0,37,10.101709365844727,,
,,0.0003,15899,0.01626303791999817,-8.72729206085205,,0.01355115044862032,16000,,,10.754447937011719,100.0,-46.65059712
426,160,,,,,-59.455481760000005,,16000,100.0,37,,,
431,164,0.0003,16299,0.018977779895067215,-6.733412742614746,-57.53937055,0.012533124536275864,16400,100.0,38,11.319690704345703,,
,,0.0003,16399,0.01352722942829132,-6.44802713394165,,0.012295465916395187,16500,,,11.472234725952148,100.0,-47.40588738
444,168,0.0003,16699,0.012348370626568794,-5.222290992736816,-56.21051045999999,0.011632938869297504,16800,100.0,37,11.9508056640625,,
,,0.0003,16899,0.01437109149992466,-6.154382705688477,,0.01122810784727335,17000,,,12.294720649719238,100.0,-44.33887868
456,172,0.0003,17099,0.017348233610391617,-5.729111194610596,-54.49794936999999,0.01085708662867546,17200,100.0,37,12.52642822265625,,
,,0.0003,17399,0.020943336188793182,-5.455562114715576,,0.01034497655928135,17500,,,12.816376686096191,100.0,-50.15436882
468,176,0.0003,17499,0.017431112006306648,-2.5002617835998535,-53.69486732,0.010181265883147717,17600,100.0,37,12.95146369934082,,
,,0.0003,17899,0.014018558897078037,-2.603631019592285,,0.009621978737413883,18000,,,13.594741821289062,100.0,-45.87680071999999
481,180,,,,,-52.74099678,,18000,100.0,37,,,
486,184,0.0003,18299,0.014750313013792038,-1.333253026008606,-51.83692024,0.009180257096886635,18400,100.0,37,14.151517868041992,,
,,0.0003,18399,0.01725831814110279,-1.319894552230835,,0.009083013981580734,18500,,,14.285490036010742,100.0,-46.010455359999995
499,188,0.0003,18699,0.01479977648705244,-0.7787173986434937,-50.897928359999995,0.008841108530759811,18800,100.0,37,14.565122604370117,,
,,0.0003,18899,0.013274544849991798,-0.6893529295921326,,0.00869646854698658,19000,,,14.954257011413574,100.0,-46.08044644
511,192,0.0003,19099,0.014109606854617596,0.04138484597206116,-50.299500319999986,0.008566820994019508,19200,100.0,37,15.12530517578125,,
,,0.0003,19399,0.013384189456701279,-0.5055415630340576,,0.00843263790011406,19500,,,15.37519645690918,100.0,-46.04051982
524,196,0.0003,19499,0.016038846224546432,-0.9408553838729858,-49.65436015,0.00838875025510788,19600,100.0,37,15.850541114807129,,
,,0.0003,19899,0.014135776087641716,0.13093948364257812,,0.00822887010872364,20000,,,16.202709197998047,100.0,-44.59809898
536,200,,,,,-49.55585713000001,,20000,100.0,37,,,
542,204,0.0003,20299,0.017240408807992935,0.06772863864898682,-49.03363648,0.00816385168582201,20400,100.0,37,16.46697235107422,,
,,0.0003,20399,0.015021782368421555,-0.8103535175323486,,0.008162396028637886,20500,,,16.685667037963867,100.0,-50.915300779999995
554,208,0.0003,20699,0.015192901715636253,-0.9826827049255371,-48.589965549999995,0.008143378421664238,20800,100.0,37,16.971067428588867,,
,,0.0003,20899,0.015573710203170776,-0.7361406087875366,,0.008156878873705864,21000,,,17.209796905517578,100.0,-48.639512440000004
567,212,0.0003,21099,0.016165215522050858,-0.18197950720787048,-48.28379347,0.008162209764122963,21200,100.0,37,17.152503967285156,,
,,0.0003,21399,0.018730366602540016,1.0242111682891846,,0.008138816803693771,21500,,,17.64227867126465,100.0,-45.33609750000001
579,216,0.0003,21499,0.017717139795422554,0.3565848171710968,-47.873724460000005,0.008172868750989437,21600,100.0,37,17.944175720214844,,
,,0.0003,21899,0.014656966552138329,-0.19851018488407135,,0.008230275474488735,22000,,,18.410776138305664,100.0,-48.71080836
592,220,,,,,-47.56762368,,22000,100.0,37,,,
597,224,0.0003,22299,0.018658343702554703,-0.9039769172668457,-47.53687641,0.008218154311180115,22400,100.0,37,18.621082305908203,,
,,0.0003,22399,0.01914086565375328,1.01910400390625,,0.00819941982626915,22500,,,19.184593200683594,100.0,-47.34562675999999
609,228,0.0003,22699,0.019037924706935883,0.7561864852905273,-47.46651354000001,0.008277267217636108,22800,100.0,37,19.311466217041016,,
,,0.0003,22899,0.013020927086472511,1.1715654134750366,,0.008266405202448368,23000,,,19.271129608154297,100.0,-48.30507012
622,232,0.0003,23099,0.016326092183589935,1.2580901384353638,-47.32136061,0.00830858200788498,23200,100.0,37,19.68048095703125,,
,,0.0003,23399,0.025629743933677673,-0.7926872968673706,,0.008261917158961296,23500,,,20.035755157470703,100.0,-57.37949541999999
634,236,0.0003,23499,0.013951657339930534,-0.6545138955116272,-47.42751631000001,0.008261766284704208,23600,100.0,37,20.04265594482422,,
,,0.0003,23899,0.020533885806798935,0.486473947763443,,0.008202697150409222,24000,,,20.672359466552734,100.0,-49.682094420000006
647,240,,,,,-47.72620931,,24000,100.0,37,,,
652,244,0.0003,24299,0.01878965087234974,-0.30533838272094727,-47.70601943,0.008214361034333706,24400,100.0,37,20.569847106933594,,
,,0.0003,24399,0.019053049385547638,-0.9514257907867432,,0.008193818852305412,24500,,,20.743057250976562,100.0,-47.02984912
664,248,0.0003,24699,0.021868117153644562,-0.6359727382659912,-47.97502602,0.008192209526896477,24800,100.0,37,21.336931228637695,,
,,0.0003,24899,0.017004262655973434,-0.03368741273880005,,0.008234679698944092,25000,,,21.09839630126953,100.0,-46.63466748
677,252,0.0003,25099,0.017246967181563377,-1.5573256015777588,-48.052840450000005,0.00820506364107132,25200,100.0,37,21.384822845458984,,
,,0.0003,25399,0.014540918171405792,-1.8811067342758179,,0.008206483907997608,25500,,,21.77450942993164,100.0,-44.836671079999995
690,256,0.0003,25499,0.02194126322865486,-1.5028783082962036,-48.19908901000001,0.008230605162680149,25600,100.0,37,21.856571197509766,,
,,0.0003,25899,0.01757553406059742,0.3675968647003174,,0.008308217860758305,26000,,,22.345306396484375,100.0,-43.25481567999999
702,260,,,,,-48.42156911,,26000,100.0,36,,,
708,264,0.0003,26299,0.023303674533963203,3.051269054412842,-48.32472125,0.008323381654918194,26400,100.0,37,22.72493553161621,,
,,0.0003,26399,0.021696288138628006,-0.35442522168159485,,0.008369906805455685,26500,,,22.849782943725586,100.0,-42.519829380000004
720,268,0.0003,26699,0.01951839029788971,-0.15237239003181458,-48.13157709,0.008420919999480247,26800,100.0,37,23.339366912841797,,
,,0.0003,26899,0.021571815013885498,-0.09569042921066284,,0.008464201353490353,27000,,,23.23191261291504,100.0,-42.07996542
733,272,0.0003,27099,0.021242424845695496,0.9861761331558228,-47.96046874999999,0.00848019402474165,27200,100.0,37,23.456689834594727,,
,,0.0003,27399,0.0195465125143528,-0.96239173412323,,0.008470511063933372,27500,,,23.616565704345703,100.0,-44.14286534
746,276,0.0003,27499,0.021748291328549385,-1.7739053964614868,-47.59676302,0.008462348021566868,27600,100.0,36,23.917278289794922,,
,,0.0003,27899,0.020540336146950722,-1.6109473705291748,,0.008405915461480618,28000,,,24.486541748046875,100.0,-41.15295064
758,280,,,,,-47.261475680000004,,28000,100.0,36,,,
763,284,0.0003,28299,0.02868761494755745,-1.136099934577942,-47.08899988,0.008477065712213516,28400,100.0,37,24.659624099731445,,
,,0.0003,28399,0.024821612983942032,-1.239995002746582,,0.008455019444227219,28500,,,24.78815460205078,100.0,-40.96777634
776,288,0.0003,28699,0.0191115103662014,0.46636325120925903,-47.11307492999998,0.008454354479908943,28800,100.0,37,24.881084442138672,,
,,0.0003,28899,0.02232542634010315,0.9358959794044495,,0.008367013186216354,29000,,,24.830284118652344,100.0,-39.09156406
788,292,0.0003,29099,0.01975037157535553,0.43093985319137573,-47.131837,0.008367529138922691,29200,100.0,37,25.361446380615234,,
,,0.0003,29399,0.02371171861886978,-1.2556636333465576,,0.008489325642585754,29500,,,25.37887191772461,100.0,-41.95725108
801,296,0.0003,29499,0.02162124216556549,-0.3071087598800659,-47.14617108999999,0.0084529435262084,29600,100.0,36,25.464035034179688,,
,,0.0003,29899,0.021070262417197227,-0.8378843665122986,,0.008398860692977905,30000,,,26.12705421447754,100.0,-41.874832739999995
813,300,,,,,-46.83924950000001,,30000,100.0,36,,,
818,304,0.0003,30299,0.01952279359102249,0.7095434069633484,-46.66100729,0.008404336869716644,30400,100.0,37,26.03353500366211,,
,,0.0003,30399,0.020981580018997192,2.1317148208618164,,0.008368554525077343,30500,,,26.4783935546875,100.0,-43.584483920000004
831,308,0.0003,30699,0.01837965101003647,-0.5529614686965942,-46.67847638999999,0.008387945592403412,30800,100.0,37,26.432308197021484,,
,,0.0003,30899,0.023032296448946,-0.7041266560554504,,0.008421666920185089,31000,,,27.058591842651367,100.0,-45.157038199999995
844,312,0.0003,31099,0.021095765754580498,1.7855422496795654,-46.42463559,0.008367372676730156,31200,100.0,36,27.07583236694336,,
,,0.0003,31399,0.022447749972343445,-0.4060328006744385,,0.008289164863526821,31500,,,27.377344131469727,100.0,-42.85351824
856,316,0.0003,31499,0.015420878306031227,-0.568630576133728,-46.462807729999994,0.008318147622048855,31600,100.0,36,27.216012954711914,,
,,0.0003,31899,0.021809086203575134,1.0366909503936768,,0.008310738019645214,32000,,,27.54690170288086,100.0,-44.81635346
868,320,,,,,-46.1816783,,32000,100.0,36,,,
873,324,0.0003,32299,0.02252025157213211,-1.0139827728271484,-46.01109047999999,0.008411476388573647,32400,100.0,37,28.273082733154297,,
,,0.0003,32399,0.01927974633872509,2.192716598510742,,0.008405960164964199,32500,,,28.396038055419922,100.0,-41.63379538
886,328,0.0003,32699,0.023670241236686707,-1.4645745754241943,-46.063328750000004,0.008369674906134605,32800,100.0,36,28.309917449951172,,
,,0.0003,32899,0.02745291404426098,-0.24210911989212036,,0.008359489031136036,33000,,,28.508209228515625,100.0,-39.26094090000001
899,332,0.0003,33099,0.024380069226026535,-0.10572847723960876,-45.778264310000004,0.008334243670105934,33200,100.0,36,28.68035125732422,,
,,0.0003,33399,0.020058227702975273,-0.39926010370254517,,0.008402357809245586,33500,,,28.6760311126709,100.0,-40.263547960000004
911,336,0.0003,33499,0.018990408629179,-0.8338144421577454,-45.24735314,0.008412254974246025,33600,100.0,36,28.740787506103516,,
,,0.0003,33899,0.031351134181022644,0.47577354311943054,,0.008406773209571838,34000,,,29.150535583496094,100.0,-39.492751500000004
924,340,,,,,-44.69797461,,34000,100.0,36,,,
929,344,0.0003,34299,0.022112954407930374,-1.3433805704116821,-44.49628126000002,0.00835367850959301,34400,100.0,37,29.335533142089844,,
,,0.0003,34399,0.01937876082956791,-0.20901595056056976,,0.008425562642514706,34500,,,29.268951416015625,100.0,-38.83685018
942,348,0.0003,34699,0.022562533617019653,0.31307753920555115,-44.13355536000001,0.008485541678965092,34800,100.0,36,29.864276885986328,,
,,0.0003,34899,0.020249351859092712,0.3533732295036316,,0.008426744490861893,35000,,,29.817447662353516,100.0,-40.222008980000005
955,352,0.0003,35099,0.018927866593003273,0.8591090440750122,-43.859215479999996,0.008469312451779842,35200,100.0,36,29.859397888183594,,
,,0.0003,35399,0.02226443402469158,-0.7543259859085083,,0.00845517311245203,35500,,,29.97605323791504,100.0,-40.577003
967,356,0.0003,35499,0.01833614893257618,0.771995484828949,-43.767554280000006,0.00841519609093666,35600,100.0,36,30.221303939819336,,
,,0.0003,35899,0.027882596477866173,-0.2811334729194641,,0.008525925688445568,36000,,,30.555036544799805,100.0,-39.25752714
979,360,,,,,-43.626150429999996,,36000,100.0,36,,,
984,364,0.0003,36299,0.015386765822768211,-0.8941006660461426,-43.451172799999995,0.00850685965269804,36400,100.0,36,30.320838928222656,,
,,0.0003,36399,0.0280342735350132,-2.515073299407959,,0.008473035879433155,36500,,,30.404937744140625,100.0,-40.367032200000004
997,368,0.0003,36699,0.02171378582715988,-0.793521523475647,-43.43731656,0.008578724227845669,36800,100.0,36,30.60068130493164,,
,,0.0003,36899,0.023908138275146484,0.5845838785171509,,0.008552988059818745,37000,,,30.617115020751953,100.0,-41.369763000000006
1009,372,0.0003,37099,0.021797752007842064,-0.645115077495575,-43.62391512999999,0.008527848869562149,37200,100.0,36,30.747539520263672,,
,,0.0003,37399,0.02625207044184208,2.0137453079223633,,0.008501936681568623,37500,,,31.20893096923828,100.0,-43.787690839999996
1022,376,0.0003,37499,0.021730780601501465,-1.594050407409668,-43.44978031000001,0.00855078175663948,37600,100.0,36,31.43993377685547,,
,,0.0003,37899,0.018465958535671234,1.0658307075500488,,0.008542805910110474,38000,,,32.124473571777344,100.0,-41.88856558
1034,380,,,,,-43.23422860000001,,38000,100.0,36,,,
