time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
,,30500,,,,0.001,30399,257.7825012207031,-268.54412841796875,9136.51479526,980.34
,,31000,,,,0.001,30899,291.30804443359375,-282.8343200683594,9134.065684060002,980.32
,,31500,,,,0.001,31399,130.93716430664062,-276.28448486328125,9137.09876654,980.38
,,32000,,,,0.001,31899,181.54537963867188,-288.021240234375,9136.35604746,980.32
476,1503,32098,2206.21579992,237.68,21,0.001,31997,169.06243896484375,-279.7645263671875,,
,,32500,,,,0.001,32399,183.9159393310547,-283.0621337890625,9136.847373460001,980.4
,,33000,,,,0.001,32899,221.9041748046875,-284.1497802734375,9141.6748663,981.04
,,33500,,,,0.001,33399,141.1639404296875,-287.0368957519531,9135.87269888,980.34
,,34000,,,,0.001,33899,125.50755310058594,-296.1429443359375,9320.581293199999,1000.0
,,34500,,,,0.001,34399,174.29510498046875,-289.9182434082031,9318.5267079,1000.0
,,35000,,,,0.001,34899,158.73593139648438,-298.57586669921875,9319.35668196,1000.0
,,35500,,,,0.001,35399,242.46119689941406,-291.802490234375,9135.78306524,980.38
,,36000,,,,0.001,35899,191.13983154296875,-304.1309814453125,9135.723896880001,980.34
480,1833,36098,2543.3729724500004,273.81,19,0.001,35997,145.837890625,-295.6602478027344,,
,,36500,,,,0.001,36399,427.865478515625,-299.0171203613281,9137.01583446,980.54
,,37000,,,,0.001,36899,438.2931213378906,-310.2010498046875,9138.098788280002,980.6
,,37500,,,,0.001,37399,158.510009765625,-311.26031494140625,9131.597908980002,980.36
,,38000,,,,0.001,37899,101.77523803710938,-308.51861572265625,9141.18930742,981.02
,,38500,,,,0.001,38399,132.74761962890625,-310.62237548828125,9138.4617606,980.76
,,39000,,,,0.001,38899,134.3673858642578,-298.9954833984375,9140.96780226,980.88
,,39500,,,,0.001,39399,92.08634185791016,-301.7060546875,9141.07959584,980.9
,,40000,,,,0.001,39899,125.21540832519531,-320.0509033203125,9144.118839820001,981.14
484,2160,40098,2901.9595323999993,312.24,18,0.001,39997,112.83905029296875,-304.0416259765625,,
,,40500,,,,0.001,40399,264.9864807128906,-301.43359375,9320.47070808,1000.0
,,41000,,,,0.001,40899,292.00408935546875,-325.6321105957031,9137.75603808,980.4
,,41500,,,,0.001,41399,99.77188110351562,-314.82501220703125,9145.9756012,981.34
,,42000,,,,0.001,41899,216.18092346191406,-323.06689453125,9137.05943238,980.32
,,42500,,,,0.001,42399,189.2744140625,-332.83502197265625,9136.63233918,980.36
,,43000,,,,0.001,42899,145.51792907714844,-316.70709228515625,9137.161410159999,980.4
,,43500,,,,0.001,43399,191.58108520507812,-322.50787353515625,9142.97016502,981.02
,,44000,,,,0.001,43899,149.9774169921875,-324.80841064453125,9319.78059834,1000.0
488,2487,44098,3260.5850909299998,350.67,17,0.001,43997,89.26310729980469,-327.5840759277344,,
,,44500,,,,0.001,44399,140.467529296875,-329.1561279296875,9141.187396540001,980.84
,,45000,,,,0.001,44899,171.02444458007812,-328.92083740234375,9320.17045064,1000.0
,,45500,,,,0.001,45399,150.94451904296875,-319.43756103515625,9319.95372336,1000.0
,,46000,,,,0.001,45899,287.61944580078125,-329.718505859375,9319.298794339998,1000.0
,,46500,,,,0.001,46399,220.9569091796875,-336.1688232421875,9320.29771804,1000.0
