time/episodes,time/fps,train/actor_loss,train/ent_coef,train/n_updates,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
128,37,5.933863639831543,0.02810092456638813,12699,344,-16.641468048095703,100.0,0.016937021166086197,12800,0.0003,-80.74736952,,
,,6.217392921447754,0.026753833517432213,12899,,-16.08830451965332,,0.01784190535545349,13000,0.0003,,-40.66241572,100.0
132,37,6.570476531982422,0.025473248213529587,13099,356,-15.321142196655273,100.0,0.015220735222101212,13200,0.0003,-77.19063231999999,,
,,7.372492790222168,0.023693853989243507,13399,,-14.570524215698242,,0.015211418271064758,13500,0.0003,,-39.93071544,100.0
136,36,7.626901626586914,0.023132510483264923,13499,369,-14.914569854736328,100.0,0.01558694988489151,13600,0.0003,-74.0597574,,
,,7.905293941497803,0.0210396908223629,13899,,-12.564884185791016,,0.014415823854506016,14000,0.0003,,-39.40034836,100.0
140,36,,,,381,,100.0,,14000,,-71.06985795,,
144,37,8.866951942443848,0.01917182095348835,14299,386,-12.524789810180664,100.0,0.01593839004635811,14400,0.0003,-68.34097108,,
,,9.008090019226074,0.018735740333795547,14399,,-12.507280349731445,,0.014562597498297691,14500,0.0003,,-39.15829232000001,100.0
148,37,9.911687850952148,0.017507566139101982,14699,399,-10.906009674072266,100.0,0.0142216170206666,14800,0.0003,-65.30679853,,
,,10.09936237335205,0.016749339178204536,14899,,-10.285329818725586,,0.015371071174740791,15000,0.0003,,-39.72789892,100.0
152,36,10.757232666015625,0.01602538675069809,15099,411,-10.604000091552734,100.0,0.01295741181820631,15200,0.0003,-63.14164991,,
,,11.113945960998535,0.015023606829345226,15399,,-9.267730712890625,,0.014287399128079414,15500,0.0003,,-40.0225814,100.0
156,36,11.243929862976074,0.014705847948789597,15499,424,-7.937837600708008,100.0,0.015623185783624649,15600,0.0003,-61.20060342,,
,,12.058551788330078,0.013529631309211254,15899,,-8.186037063598633,,0.01554708369076252,16000,0.0003,,-39.57932138,100.0
160,36,,,,437,,100.0,,16000,,-59.00254981999999,,
164,37,12.585104942321777,0.012500249780714512,16299,441,-7.5695929527282715,100.0,0.012331893667578697,16400,0.0003,-57.066091660000005,,
,,12.852572441101074,0.01226263027638197,16399,,-8.366748809814453,,0.013041913509368896,16500,0.0003,,-40.37616862,100.0
168,36,13.639974594116211,0.011596099473536015,16699,454,-6.293210506439209,100.0,0.014682572335004807,16800,0.0003,-55.34486387,,
,,13.495036125183105,0.011191664263606071,16899,,-5.23660135269165,,0.012002065777778625,17000,0.0003,,-40.28694102,100.0
172,36,14.259092330932617,0.010820582509040833,17099,466,-4.9831085205078125,100.0,0.01409410871565342,17200,0.0003,-53.834440400000005,,
,,14.370197296142578,0.010309727862477303,17399,,-5.074260711669922,,0.01335806306451559,17500,0.0003,,-39.26483636,100.0
176,36,14.56662368774414,0.010150319896638393,17499,479,-4.936659812927246,100.0,0.013379419222474098,17600,0.0003,-52.62305735000001,,
,,15.30174446105957,0.009585393592715263,17899,,-1.9254412651062012,,0.011405402794480324,18000,0.0003,,-38.8125734,100.0
180,36,,,,491,,100.0,,18000,,-51.05926114000001,,
184,37,15.888975143432617,0.009132801555097103,18299,496,-2.9217748641967773,100.0,0.012532677501440048,18400,0.0003,-50.09167927999999,,
,,15.779790878295898,0.009029987268149853,18399,,-0.7406647205352783,,0.010458658449351788,18500,0.0003,,-39.82195876,100.0
188,36,16.373855590820312,0.008805389516055584,18699,508,-1.9298248291015625,100.0,0.011353405192494392,18800,0.0003,-48.981695759999994,,
,,16.74188995361328,0.008669779635965824,18899,,-2.2027127742767334,,0.012188950553536415,19000,0.0003,,-39.207238839999995,100.0
192,36,16.725549697875977,0.00855503510683775,19099,521,-0.5921592116355896,100.0,0.011611096560955048,19200,0.0003,-48.06999695,,
,,17.23927116394043,0.008450236171483994,19399,,-0.45215779542922974,,0.009935787878930569,19500,0.0003,,-38.16694746,100.0
196,36,17.481290817260742,0.008429320529103279,19499,534,1.156388282775879,100.0,0.013826207257807255,19600,0.0003,-47.14378682,,
,,17.88514518737793,0.008363164030015469,19899,,0.9925284385681152,,0.009268170222640038,20000,0.0003,,-39.04036118,100.0
200,36,,,,546,,100.0,,20000,,-46.195530289999994,,
204,37,18.64592170715332,0.008380334824323654,20299,551,0.3014537990093231,100.0,0.011538220569491386,20400,0.0003,-45.1459056,,
,,18.546573638916016,0.008394896052777767,20399,,0.3557671010494232,,0.01024804450571537,20500,0.0003,,-38.21590154,100.0
208,36,18.845869064331055,0.008441134355962276,20699,563,0.49919751286506653,100.0,0.010254536755383015,20800,0.0003,-44.36239708,,
,,18.619279861450195,0.008472871035337448,20899,,-0.0013578347861766815,,0.008894956670701504,21000,0.0003,,-38.326073820000005,100.0
212,36,19.210350036621094,0.008479001931846142,21099,576,0.3776981234550476,100.0,0.009930552914738655,21200,0.0003,-43.87286732,,
,,19.6163272857666,0.008519228547811508,21399,,0.06601202487945557,,0.010746962390840054,21500,0.0003,,-38.41751158,100.0
216,36,19.85953140258789,0.00851406715810299,21499,589,0.8972518444061279,100.0,0.012822628021240234,21600,0.0003,-43.30965933999999,,
,,20.177474975585938,0.008527523837983608,21899,,0.6590029001235962,,0.009955652989447117,22000,0.0003,,-38.26993098,100.0
220,36,,,,601,,100.0,,22000,,-42.68052045000001,,
224,36,20.438762664794922,0.008490406908094883,22299,606,0.465706467628479,100.0,0.009377485141158104,22400,0.0003,-42.358323680000005,,
,,20.939620971679688,0.0085196103900671,22399,,0.27858877182006836,,0.01009279303252697,22500,0.0003,,-38.82265334,100.0
228,36,21.02315330505371,0.008483733981847763,22699,619,-0.6733607649803162,100.0,0.010592708364129066,22800,0.0003,-42.02986385,,
,,21.259471893310547,0.008542479947209358,22899,,1.0772671699523926,,0.010579738765954971,23000,0.0003,,-38.32169224,100.0
232,36,21.42177963256836,0.008567552082240582,23099,631,0.30111587047576904,100.0,0.010046068578958511,23200,0.0003,-41.65799612,,
,,21.635910034179688,0.008550051599740982,23399,,0.6734486222267151,,0.00821407325565815,23500,0.0003,,-38.32427199999999,100.0
236,36,21.730777740478516,0.008563753217458725,23499,644,-0.14008130133152008,100.0,0.009548128582537174,23600,0.0003,-41.43952076999999,,
,,22.131366729736328,0.008472506888210773,23899,,0.40335774421691895,,0.011872636154294014,24000,0.0003,,-38.63872618,100.0
240,36,,,,657,,100.0,,24000,,-41.39576542,,
244,36,22.538318634033203,0.008475319482386112,24299,661,-0.1746838092803955,100.0,0.00970757007598877,24400,0.0003,-41.147597919999995,,
,,22.700000762939453,0.008516324684023857,24399,,1.3193894624710083,,0.0089345658197999,24500,0.0003,,-38.3312889,100.0
248,36,23.00155258178711,0.008535110391676426,24699,674,0.07773774862289429,100.0,0.009999612346291542,24800,0.0003,-41.15859646,,
,,23.477325439453125,0.008550385944545269,24899,,0.03923720121383667,,0.009616613388061523,25000,0.0003,,-38.763354080000006,100.0
252,36,23.165109634399414,0.008540879935026169,25099,686,0.5651544332504272,100.0,0.011357913725078106,25200,0.0003,-40.87878064,,
,,23.815643310546875,0.008542044088244438,25399,,0.4096348285675049,,0.010581634007394314,25500,0.0003,,-39.26575574,100.0
256,36,23.6044921875,0.008537019602954388,25499,699,-0.20663964748382568,100.0,0.013327710330486298,25600,0.0003,-40.79333294999999,,
,,24.13167953491211,0.008467110805213451,25899,,1.214730978012085,,0.008337175473570824,26000,0.0003,,-38.648999839999995,100.0
260,36,,,,711,,100.0,,26000,,-40.80639306,,
264,36,24.452491760253906,0.008532547391951084,26299,716,-0.24512800574302673,100.0,0.010387595742940903,26400,0.0003,-40.669629750000006,,
,,24.411861419677734,0.008497174829244614,26399,,-0.5011074542999268,,0.009516329504549503,26500,0.0003,,-39.723106800000004,100.0
268,36,24.3843994140625,0.008530627004802227,26699,729,-1.0199124813079834,100.0,0.0100638959556818,26800,0.0003,-40.586420010000005,,
,,24.64043426513672,0.008518590591847897,26899,,-1.417236566543579,,0.009666657075285912,27000,0.0003,,-39.940087580000004,100.0
272,36,24.829566955566406,0.008489342406392097,27099,741,-0.14697128534317017,100.0,0.010867288336157799,27200,0.0003,-40.392822630000005,,
,,25.374954223632812,0.008476447314023972,27399,,1.385587215423584,,0.011746523901820183,27500,0.0003,,-39.29116718,100.0
276,36,25.349071502685547,0.008531656116247177,27499,754,0.6210553050041199,100.0,0.011381031014025211,27600,0.0003,-40.091573190000005,,
,,25.674442291259766,0.008494541980326176,27899,,1.2376635074615479,,0.010018870234489441,28000,0.0003,,-39.103789279999994,100.0
280,36,,,,766,,100.0,,28000,,-40.20266877,,
284,36,25.811676025390625,0.0085065346211195,28299,771,0.6348797082901001,100.0,0.009577738121151924,28400,0.0003,-40.17716188,,
,,26.149852752685547,0.008508190512657166,28399,,0.23229318857192993,,0.010226890444755554,28500,0.0003,,-39.92363656,100.0
288,36,26.285659790039062,0.008423377759754658,28699,784,0.3735745847225189,100.0,0.016551576554775238,28800,0.0003,-40.147835070000006,,
,,26.635173797607422,0.008437741547822952,28899,,1.5626235008239746,,0.0104603236541152,29000,0.0003,,-39.1094933,100.0
292,36,26.851818084716797,0.008415577001869678,29099,796,1.4284136295318604,100.0,0.010238125920295715,29200,0.0003,-40.33116887999999,,
,,26.760482788085938,0.008388710208237171,29399,,0.6858527660369873,,0.009114700369536877,29500,0.0003,,-40.0628475,100.0
296,36,27.033889770507812,0.008387509733438492,29499,809,1.6624855995178223,100.0,0.012203561142086983,29600,0.0003,-40.235409849999996,,
,,27.252437591552734,0.008335399441421032,29899,,-0.3213746249675751,,0.012269196100533009,30000,0.0003,,-40.228923359999996,100.0
300,36,,,,821,,100.0,,30000,,-40.651367969999995,,
304,36,27.41942596435547,0.00830089207738638,30299,826,-0.034343183040618896,100.0,0.01261988840997219,30400,0.0003,-40.89125088,,
,,27.50950813293457,0.008240025490522385,30399,,1.203974723815918,,0.009005825966596603,30500,0.0003,,-39.72173788,100.0
308,36,27.74056625366211,0.008289586752653122,30699,839,-0.8163871765136719,100.0,0.010061140172183514,30800,0.0003,-41.139578310000005,,
,,28.143112182617188,0.008223680779337883,30899,,0.7469027638435364,,0.013778911903500557,31000,0.0003,,-39.68771994,100.0
312,36,28.082557678222656,0.008261928334832191,31099,851,-0.7196803689002991,100.0,0.010598398745059967,31200,0.0003,-41.10880119,,
,,28.088239669799805,0.008204304613173008,31399,,0.6047407388687134,,0.010837397538125515,31500,0.0003,,-39.57169068,100.0
316,36,28.7302188873291,0.008219674229621887,31499,864,1.065650224685669,100.0,0.009437529370188713,31600,0.0003,-40.98952380000001,,
,,28.653846740722656,0.008216269314289093,31899,,0.5324362516403198,,0.013616149313747883,32000,0.0003,,-41.22345714,100.0
320,36,,,,877,,100.0,,32000,,-41.330118209999995,,
324,36,28.997154235839844,0.008212747983634472,32299,882,1.6397113800048828,100.0,0.01156538911163807,32400,0.0003,-41.30779552999999,,
,,29.164257049560547,0.008222210220992565,32399,,-1.2704778909683228,,0.011087791994214058,32500,0.0003,,-40.744088700000006,100.0
328,36,29.059900283813477,0.00822149682790041,32699,894,-0.3290644586086273,100.0,0.0090749217197299,32800,0.0003,-41.606392449999994,,
,,29.06374740600586,0.008227014914155006,32899,,0.6780510544776917,,0.010194131173193455,33000,0.0003,,-41.73204978,100.0
332,36,29.64426040649414,0.00823492743074894,33099,907,0.7967737913131714,100.0,0.009488295763731003,33200,0.0003,-41.58102457999999,,
,,29.376306533813477,0.008307932876050472,33399,,-1.895613670349121,,0.012893769890069962,33500,0.0003,,-40.45427072,100.0
336,36,29.69234848022461,0.008320500142872334,33499,919,0.2432258427143097,100.0,0.010856322944164276,33600,0.0003,-41.42777286,,
,,29.7092342376709,0.00831445213407278,33899,,0.39981722831726074,,0.011057565920054913,34000,0.0003,,-42.75313387999999,100.0
340,36,,,,932,,100.0,,34000,,-41.453282720000004,,
344,36,29.778675079345703,0.008322658948600292,34299,937,-0.9432146549224854,100.0,0.013994505628943443,34400,0.0003,-41.599422329999996,,
,,30.104141235351562,0.008327946998178959,34399,,-0.12932315468788147,,0.011607246473431587,34500,0.0003,,-40.5623442,100.0
348,36,30.01726722717285,0.008339593186974525,34699,949,1.4530067443847656,100.0,0.010119300335645676,34800,0.0003,-41.64387163000001,,
,,30.48175811767578,0.00836238730698824,34899,,-0.7918570041656494,,0.009297331795096397,35000,0.0003,,-40.69002942,100.0
352,36,30.30410385131836,0.008382671512663364,35099,961,1.1742130517959595,100.0,0.011319032870233059,35200,0.0003,-41.68852078,,
,,30.318910598754883,0.008384915068745613,35399,,-0.14491033554077148,,0.01187376119196415,35500,0.0003,,-44.84960976,100.0
356,36,30.186767578125,0.00834567192941904,35499,974,-1.271028995513916,100.0,0.011953136883676052,35600,0.0003,-41.67816046,,
,,30.924646377563477,0.008364416658878326,35899,,1.122451663017273,,0.014014273881912231,36000,0.0003,,-42.5448907,100.0
360,36,,,,986,,100.0,,36000,,-41.726374740000004,,
364,36,30.895130157470703,0.008376095443964005,36299,991,0.24048906564712524,100.0,0.010241840034723282,36400,0.0003,-42.019667119999994,,
,,31.06519889831543,0.008409997448325157,36399,,0.7014312148094177,,0.01753569021821022,36500,0.0003,,-42.105690339999995,100.0
368,36,31.094926834106445,0.008407178334891796,36699,1004,0.28277260065078735,100.0,0.01394947525113821,36800,0.0003,-42.34696605999999,,
,,31.41060447692871,0.008338917046785355,36899,,0.8266338109970093,,0.010576250962913036,37000,0.0003,,-41.63687616,100.0
372,36,31.26883316040039,0.008312287740409374,37099,1016,-0.12099060416221619,100.0,0.013369487598538399,37200,0.0003,-42.51005644,,
,,30.996978759765625,0.008319837041199207,37399,,-0.796715497970581,,0.0162220299243927,37500,0.0003,,-42.50171224,100.0
376,36,31.358558654785156,0.008263965137302876,37499,1028,-0.15483489632606506,100.0,0.012839507311582565,37600,0.0003,-42.94732357,,
,,31.498943328857422,0.008212825283408165,37899,,0.14948438107967377,,0.01609707996249199,38000,0.0003,,-41.49260002,100.0
380,36,,,,1041,,100.0,,38000,,-43.08029277,,
384,36,31.768108367919922,0.008273507468402386,38299,1045,-1.2417864799499512,100.0,0.016271520406007767,38400,0.0003,-43.31631120000001,,
,,31.869388580322266,0.008215811103582382,38399,,-0.6856594085693359,,0.015063177794218063,38500,0.0003,,-42.68274678000001,100.0
388,36,32.098575592041016,0.008225065656006336,38699,1058,1.7033627033233643,100.0,0.01531700324267149,38800,0.0003,-43.77091962,,
,,31.832935333251953,0.00822761096060276,38899,,-0.7675824165344238,,0.010961689986288548,39000,0.0003,,-41.67318974,100.0
392,36,32.08866500854492,0.008203842677175999,39099,1071,0.6626201272010803,100.0,0.01360194943845272,39200,0.0003,-43.74555049,,
,,32.35199737548828,0.00823053065687418,39399,,-0.9822000861167908,,0.01181244570761919,39500,0.0003,,-41.892758539999996,100.0
396,36,32.105552673339844,0.008218145929276943,39499,1083,-0.1616196632385254,100.0,0.014687499031424522,39600,0.0003,-44.415934449999995,,
,,32.52549362182617,0.008223677054047585,39899,,0.7776224613189697,,0.01247844472527504,40000,0.0003,,-43.663174739999995,100.0
400,36,,,,1095,,100.0,,40000,,-44.54399377,,
404,36,32.51552200317383,0.008176111616194248,40299,1100,0.006882786750793457,100.0,0.015639789402484894,40400,0.0003,-44.57536211000001,,
,,32.56932830810547,0.00816880539059639,40399,,2.289304733276367,,0.012428125366568565,40500,0.0003,,-41.087525660000004,100.0
408,36,32.65830993652344,0.008229835890233517,40699,1113,-0.19757181406021118,100.0,0.01871759630739689,40800,0.0003,-44.49307545,,
,,32.21559143066406,0.008232944644987583,40899,,1.4330058097839355,,0.0162644125521183,41000,0.0003,,-42.35650668,100.0
412,36,32.89320755004883,0.008213996887207031,41099,1125,2.1949920654296875,100.0,0.013803469948470592,41200,0.0003,-44.849699959999995,,
,,32.76823425292969,0.008226485922932625,41399,,-0.8871476054191589,,0.01231616921722889,41500,0.0003,,-43.49429759999999,100.0
416,36,32.59438705444336,0.008224931545555592,41499,1138,-1.0397369861602783,100.0,0.01270357146859169,41600,0.0003,-44.97924868,,
,,32.68876647949219,0.0082680843770504,41899,,1.5015711784362793,,0.014221090823411942,42000,0.0003,,-42.48343896,100.0
420,36,,,,1151,,100.0,,42000,,-44.988002529999996,,
424,36,33.153167724609375,0.008295917883515358,42299,1155,0.1580623984336853,100.0,0.010527336969971657,42400,0.0003,-44.888731069999984,,
,,32.8897705078125,0.008306387811899185,42399,,-1.625747561454773,,0.01185807678848505,42500,0.0003,,-40.939657260000004,100.0
428,36,32.872432708740234,0.008321844972670078,42699,1167,2.031881332397461,100.0,0.016234969720244408,42800,0.0003,-44.767970000000005,,
,,33.11040496826172,0.008322210051119328,42899,,-0.10775509476661682,,0.01462765783071518,43000,0.0003,,-40.52011782,100.0
432,36,33.283355712890625,0.008339855819940567,43099,1180,-0.5025098323822021,100.0,0.011518080718815327,43200,0.0003,-44.86308565,,
,,33.549774169921875,0.00829560961574316,43399,,-1.194032907485962,,0.014070050790905952,43500,0.0003,,-41.12437834,100.0
436,36,33.52047348022461,0.008260281756520271,43499,1192,2.6007533073425293,100.0,0.017276134341955185,43600,0.0003,-45.10367563,,
,,33.483619689941406,0.008286998607218266,43899,,1.6600708961486816,,0.012243691831827164,44000,0.0003,,-40.67005606,100.0
440,36,,,,1205,,100.0,,44000,,-44.911310060000005,,
444,36,33.83184814453125,0.008263291791081429,44299,1210,0.42546653747558594,100.0,0.011956052854657173,44400,0.0003,-44.922025729999994,,
,,33.94939422607422,0.00826740637421608,44399,,-0.46107250452041626,,0.017648417502641678,44500,0.0003,,-39.3397293,100.0
448,36,33.67601013183594,0.008248945698142052,44699,1222,1.5131511688232422,100.0,0.011871565133333206,44800,0.0003,-44.91856871,,
,,34.06754684448242,0.008244950324296951,44899,,-1.6304943561553955,,0.013385998085141182,45000,0.0003,,-39.993650079999995,100.0
452,36,34.301109313964844,0.008223057724535465,45099,1235,-0.3993417024612427,100.0,0.013166818767786026,45200,0.0003,-44.93458458,,
,,33.723670959472656,0.008259568363428116,45399,,-0.9627444744110107,,0.017327111214399338,45500,0.0003,,-39.285327439999996,100.0
456,36,34.30242919921875,0.00830689538270235,45499,1247,-0.4566798806190491,100.0,0.014663293957710266,45600,0.0003,-44.98512945,,
,,33.88003921508789,0.008266078308224678,45899,,0.1438332349061966,,0.014470623806118965,46000,0.0003,,-39.44548849999999,100.0
460,36,,,,1260,,100.0,,46000,,-45.10881759000001,,
464,36,34.028587341308594,0.00829410646110773,46299,1265,-1.8762421607971191,100.0,0.01668751798570156,46400,0.0003,-44.752211960000004,,
,,34.57195281982422,0.00831154640763998,46399,,0.310696542263031,,0.017604228109121323,46500,0.0003,,-38.944211440000004,100.0
468,36,34.144081115722656,0.008319702930748463,46699,1277,0.27490198612213135,100.0,0.01875338889658451,46800,0.0003,-44.31266112,,
,,34.51478576660156,0.008330699056386948,46899,,-0.0550360232591629,,0.015348128974437714,47000,0.0003,,-39.52816291999999,100.0
472,36,34.536216735839844,0.008308114483952522,47099,1290,0.08705785870552063,100.0,0.012767741456627846,47200,0.0003,-44.40684461,,
