rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,eval/mean_reward,eval/mean_ep_length
59.68280468000001,328,38,4901,127,15.0,4800,-27.475494384765625,0.001,0.3959540128707886,,
59.66481919000001,332,38,4961,127,15.0,4860,-25.568443298339844,0.001,0.6135666370391846,,
,,,5000,,,4899,-26.584674835205078,0.001,0.48262321949005127,59.746226539999995,15.0
59.65777161000001,336,40,5021,124,15.0,4920,-28.645442962646484,0.001,0.24236442148685455,,
59.66664826,340,40,5081,124,15.0,4980,-28.90508460998535,0.001,0.4930623173713684,,
59.66236772,344,41,5141,125,15.0,5040,-28.059144973754883,0.001,0.5356205105781555,,
59.66748146999999,348,41,5201,125,15.0,5100,-28.143714904785156,0.001,0.26261571049690247,,
59.68499781,352,41,5261,126,15.0,5160,-27.925586700439453,0.001,0.2777281403541565,,
59.68307255999999,356,42,5321,126,15.0,5220,-27.553630828857422,0.001,0.5167890787124634,,
59.71398913000001,360,42,5381,126,15.0,5280,-27.231584548950195,0.001,0.3769700527191162,,
59.6948967,364,42,5441,127,15.0,5340,-26.916683197021484,0.001,0.46773892641067505,,
,,,5500,,,5399,-27.897357940673828,0.001,0.5349251627922058,59.746226539999995,15.0
59.69142680000001,368,43,5501,125,15.0,5400,-27.294414520263672,0.001,0.4561622142791748,,
59.70816653,372,44,5561,125,15.0,5460,-26.733150482177734,0.001,0.3438441753387451,,
59.71097843,376,44,5621,125,15.0,5520,-28.248287200927734,0.001,0.4500761032104492,,
59.70157347,380,45,5681,126,15.0,5580,-27.495149612426758,0.001,0.2663080096244812,,
59.69979968000001,384,45,5741,126,15.0,5640,-29.94369125366211,0.001,0.581723690032959,,
59.71206055999999,388,45,5801,126,15.0,5700,-28.91259765625,0.001,0.7302080392837524,,
59.73281048999999,392,46,5861,126,15.0,5760,-28.68709373474121,0.001,0.4078611731529236,,
59.72818079,396,46,5921,127,15.0,5820,-28.773929595947266,0.001,0.5670375227928162,,
59.74581179000002,400,46,5981,127,15.0,5880,-27.65546417236328,0.001,0.5061105489730835,,
,,,6000,,,5899,-27.85190773010254,0.001,0.4016241431236267,59.746226539999995,15.0
59.72773279999999,404,48,6041,125,15.0,5940,-26.41010093688965,0.001,0.2898210287094116,,
59.73318983,408,48,6101,125,15.0,6000,-27.289508819580078,0.001,0.38132262229919434,,
59.745386980000006,412,49,6161,125,15.0,6060,-29.383567810058594,0.001,0.2631712257862091,,
59.74844284999999,416,49,6221,125,15.0,6120,-27.86016845703125,0.001,0.35470908880233765,,
59.755946089999995,420,49,6281,125,15.0,6180,-28.75164031982422,0.001,0.2550716698169708,,
59.76615136,424,50,6341,126,15.0,6240,-29.54791259765625,0.001,0.38479727506637573,,
59.75825854000001,428,50,6401,126,15.0,6300,-26.808305740356445,0.001,0.47665414214134216,,
59.76829782000001,432,51,6461,126,15.0,6360,-26.645919799804688,0.001,0.4541948437690735,,
,,,6500,,,6399,-29.95152473449707,0.001,0.3974270820617676,59.746226539999995,15.0
59.77514519000001,436,52,6521,124,15.0,6420,-25.314495086669922,0.001,0.42004427313804626,,
59.77712595,440,52,6581,124,15.0,6480,-28.02231216430664,0.001,0.24781179428100586,,
59.77668039,444,53,6641,124,15.0,6540,-28.088098526000977,0.001,0.30708935856819153,,
59.761127450000004,448,53,6701,124,15.0,6600,-29.434032440185547,0.001,0.46879446506500244,,
59.75090564999999,452,54,6761,124,15.0,6660,-28.123830795288086,0.001,0.3097020983695984,,
59.75689805,456,54,6821,125,15.0,6720,-29.77671241760254,0.001,0.3958858251571655,,
59.75248588,460,54,6881,125,15.0,6780,-29.097328186035156,0.001,0.34412866830825806,,
59.76963876000001,464,55,6941,125,15.0,6840,-28.088207244873047,0.001,0.2685512900352478,,
,,,7000,,,6899,-28.17381477355957,0.001,0.3519630432128906,59.746226539999995,15.0
59.77541261,468,56,7001,123,15.0,6900,-27.217548370361328,0.001,0.3342462182044983,,
59.762948210000005,472,56,7061,124,15.0,6960,-28.71385955810547,0.001,0.23354485630989075,,
59.75926179000001,476,57,7121,124,15.0,7020,-30.233123779296875,0.001,0.3261316120624542,,
59.76348416999999,480,57,7181,124,15.0,7080,-28.769184112548828,0.001,0.19472435116767883,,
59.75623368000001,484,58,7241,124,15.0,7140,-30.285442352294922,0.001,0.5256906151771545,,
59.76135733,488,58,7301,124,15.0,7200,-26.692808151245117,0.001,0.3216914236545563,,
59.74957167999999,492,58,7361,125,15.0,7260,-27.95454978942871,0.001,0.4429827332496643,,
59.75471656,496,59,7421,125,15.0,7320,-25.853591918945312,0.001,0.48613446950912476,,
59.73011947999999,500,59,7481,125,15.0,7380,-27.907222747802734,0.001,0.34626442193984985,,
,,,7500,,,7399,-26.969369888305664,0.001,0.7873965501785278,59.746226539999995,15.0
59.75156373,504,60,7541,123,15.0,7440,-27.416154861450195,0.001,0.22760751843452454,,
59.75083789999999,508,61,7601,123,15.0,7500,-26.977035522460938,0.001,0.7109135389328003,,
59.73266401,512,61,7661,124,15.0,7560,-26.636917114257812,0.001,0.2777009606361389,,
59.73446101,516,62,7721,124,15.0,7620,-27.264846801757812,0.001,0.4348951578140259,,
59.73777307999999,520,62,7781,124,15.0,7680,-29.52559471130371,0.001,0.2648075819015503,,
59.75862156000001,524,62,7841,124,15.0,7740,-26.58867645263672,0.001,0.16230346262454987,,
59.760986710000005,528,63,7901,124,15.0,7800,-26.822948455810547,0.001,0.2613256871700287,,
59.768199700000004,532,63,7961,125,15.0,7860,-27.43042755126953,0.001,0.288547158241272,,
,,,8000,,,7899,-28.10951805114746,0.001,0.1407645046710968,59.746226539999995,15.0
59.756677360000005,536,64,8021,123,15.0,7920,-26.120311737060547,0.001,0.22611083090305328,,
59.75656157000001,540,65,8081,124,15.0,7980,-30.018848419189453,0.001,0.18885108828544617,,
59.74442224000001,544,65,8141,124,15.0,8040,-26.196365356445312,0.001,0.2536909282207489,,
59.74738333000001,548,65,8201,124,15.0,8100,-28.36231803894043,0.001,0.18177905678749084,,
59.74088256000001,552,66,8261,124,15.0,8160,-27.560672760009766,0.001,0.26626479625701904,,
59.735532080000006,556,66,8321,124,15.0,8220,-28.18271827697754,0.001,0.14004039764404297,,
59.72101579,560,67,8381,125,15.0,8280,-26.1016845703125,0.001,0.12863928079605103,,
59.734650519999995,564,67,8441,125,15.0,8340,-26.7696533203125,0.001,0.4051058888435364,,
,,,8500,,,8399,-26.978694915771484,0.001,0.22506818175315857,59.746226539999995,15.0
59.736663279999995,568,68,8501,123,15.0,8400,-29.021442413330078,0.001,0.31082308292388916,,
59.74493403999999,572,69,8561,123,15.0,8460,-28.51103401184082,0.001,0.29485490918159485,,
59.75994088,576,69,8621,124,15.0,8520,-25.752193450927734,0.001,0.30945658683776855,,
59.77039905999999,580,69,8681,124,15.0,8580,-25.714553833007812,0.001,0.24816051125526428,,
59.77334969999999,584,70,8741,124,15.0,8640,-28.477567672729492,0.001,0.24762214720249176,,
59.783806209999995,588,70,8801,124,15.0,8700,-27.360084533691406,0.001,0.39348304271698,,
59.76864135999999,592,71,8861,124,15.0,8760,-27.762451171875,0.001,0.17890986800193787,,
59.755207330000005,596,71,8921,124,15.0,8820,-27.111467361450195,0.001,0.14197582006454468,,
59.76927806999999,600,71,8981,125,15.0,8880,-26.27630615234375,0.001,0.24316281080245972,,
,,,9000,,,8899,-25.263671875,0.001,0.2374792844057083,59.746226539999995,15.0
59.78703362,604,72,9041,123,15.0,8940,-27.590900421142578,0.001,0.35732799768447876,,
59.773781879999994,608,73,9101,124,15.0,9000,-27.326305389404297,0.001,1.0414983034133911,,
59.79586180000001,612,73,9161,124,15.0,9060,-27.760440826416016,0.001,0.2671215534210205,,
59.79262653000001,616,74,9221,124,15.0,9120,-25.961631774902344,0.001,0.4725537598133087,,
59.78824117999999,620,74,9281,124,15.0,9180,-27.385290145874023,0.001,0.46729448437690735,,
59.76860928000001,624,74,9341,124,15.0,9240,-27.94660186767578,0.001,0.43240708112716675,,
59.77122479,628,75,9401,125,15.0,9300,-26.81127166748047,0.001,0.2896682024002075,,
59.766296669999996,632,75,9461,125,15.0,9360,-27.947782516479492,0.001,0.25270622968673706,,
,,,9500,,,9399,-28.060768127441406,0.001,0.20715828239917755,59.746226539999995,15.0
59.772803249999996,636,76,9521,124,15.0,9420,-27.123821258544922,0.001,0.3742033839225769,,
59.777419210000005,640,77,9581,124,15.0,9480,-29.019134521484375,0.001,0.17642846703529358,,
59.79816857000001,644,77,9641,124,15.0,9540,-26.545814514160156,0.001,0.3071384131908417,,
59.80684832,648,77,9701,124,15.0,9600,-27.888484954833984,0.001,0.18839822709560394,,
59.814789610000005,652,78,9761,124,15.0,9660,-25.782182693481445,0.001,0.2241152673959732,,
59.81594958000001,656,78,9821,125,15.0,9720,-26.2598876953125,0.001,0.15985269844532013,,
59.82852753000001,660,78,9881,125,15.0,9780,-27.630386352539062,0.001,0.23343807458877563,,
59.811330730000016,664,79,9941,125,15.0,9840,-26.611557006835938,0.001,0.3663964867591858,,
,,,10000,,,9899,-26.969043731689453,0.001,0.2767368257045746,59.746226539999995,15.0
59.80701630000001,668,80,10001,124,15.0,9900,-26.865779876708984,0.001,0.18176932632923126,,
59.808620930000004,672,80,10061,124,15.0,9960,-26.91778564453125,0.001,0.4414648413658142,,
59.79199256,676,81,10121,124,15.0,10020,-28.43878173828125,0.001,0.31185951828956604,,
59.78279251999999,680,81,10181,124,15.0,10080,-27.31967544555664,0.001,0.3207825720310211,,
59.79296253,684,81,10241,125,15.0,10140,-28.313541412353516,0.001,0.22111955285072327,,
59.7756482,688,82,10301,125,15.0,10200,-27.773412704467773,0.001,0.1768389642238617,,
59.79206937000001,692,82,10361,125,15.0,10260,-27.03429412841797,0.001,0.17643840610980988,,
59.80234473,696,82,10421,125,15.0,10320,-27.150196075439453,0.001,0.27004772424697876,,
59.81046042,700,83,10481,125,15.0,10380,-26.60137176513672,0.001,0.3932977318763733,,
,,,10500,,,10399,-28.10386848449707,0.001,0.2718440890312195,59.746226539999995,15.0
59.81380612,704,84,10541,124,15.0,10440,-26.307662963867188,0.001,0.17637667059898376,,
59.82073807,708,84,10601,125,15.0,10500,-27.949993133544922,0.001,0.2387930154800415,,
59.80911155,712,85,10661,125,15.0,10560,-29.213912963867188,0.001,0.23334439098834991,,
59.81572804,716,85,10721,125,15.0,10620,-27.91701889038086,0.001,0.28919488191604614,,
59.80466380999999,720,85,10781,125,15.0,10680,-26.633872985839844,0.001,0.278001993894577,,
59.80562456999999,724,86,10841,125,15.0,10740,-26.583009719848633,0.001,0.2134552001953125,,
59.7970168,728,86,10901,125,15.0,10800,-26.456775665283203,0.001,0.13018837571144104,,
59.79022243,732,86,10961,126,15.0,10860,-26.747920989990234,0.001,0.08848852664232254,,
,,,11000,,,10899,-26.92845916748047,0.001,0.31932076811790466,59.746226539999995,15.0
59.806016930000006,736,88,11021,125,15.0,10920,-26.138097763061523,0.001,0.19068196415901184,,
59.80995793,740,88,11081,125,15.0,10980,-27.57408905029297,0.001,0.2688450813293457,,
59.79347935,744,88,11141,125,15.0,11040,-28.16120719909668,0.001,0.21880477666854858,,
59.794212290000004,748,89,11201,125,15.0,11100,-27.634504318237305,0.001,0.11758796870708466,,
59.80524843,752,89,11261,125,15.0,11160,-27.888229370117188,0.001,0.10628847777843475,,
59.802267089999994,756,89,11321,126,15.0,11220,-27.09534454345703,0.001,0.12523449957370758,,
59.791495690000005,760,90,11381,126,15.0,11280,-26.752216339111328,0.001,0.09291306883096695,,
59.80876040000001,764,90,11441,126,15.0,11340,-26.185592651367188,0.001,0.2140348255634308,,
,,,11500,,,11399,-25.002544403076172,0.001,0.8893973231315613,59.746226539999995,15.0
59.82170788000001,768,91,11501,125,15.0,11400,-25.217864990234375,0.001,0.49695855379104614,,
59.824410660000005,772,92,11561,125,15.0,11460,-28.28516387939453,0.001,0.15655124187469482,,
59.83786823999999,776,92,11621,125,15.0,11520,-26.79157257080078,0.001,0.23250506818294525,,
59.83617286,780,92,11681,125,15.0,11580,-25.87143325805664,0.001,0.22072693705558777,,
59.82789290000001,784,93,11741,125,15.0,11640,-28.3721923828125,0.001,0.20235581696033478,,
59.84334934,788,93,11801,126,15.0,11700,-26.26551055908203,0.001,0.2814064621925354,,
59.85998722,792,93,11861,126,15.0,11760,-27.25082778930664,0.001,0.3780297040939331,,
59.85188048999999,796,94,11921,126,15.0,11820,-27.92422866821289,0.001,0.10178733617067337,,
59.83113961000001,800,94,11981,126,15.0,11880,-27.562145233154297,0.001,0.2532665729522705,,
,,,12000,,,11899,-27.849369049072266,0.001,0.3603558838367462,59.746226539999995,15.0
59.81881676,804,95,12041,125,15.0,11940,-26.30092430114746,0.001,0.17585712671279907,,
59.82210324,808,96,12101,125,15.0,12000,-23.949106216430664,0.001,0.4680750072002411,,
59.81666105,812,96,12161,125,15.0,12060,-26.934152603149414,0.001,0.15184269845485687,,
59.80528209000001,816,97,12221,125,15.0,12120,-27.772716522216797,0.001,0.1513034850358963,,
59.80681605000001,820,97,12281,126,15.0,12180,-27.017990112304688,0.001,0.18506157398223877,,
59.809130630000006,824,97,12341,126,15.0,12240,-26.416461944580078,0.001,0.1702827513217926,,
