train/critic_loss,train/n_updates,time/time_elapsed,time/total_timesteps,train/actor_loss,train/learning_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,eval/mean_ep_length,eval/mean_reward
0.10064608603715897,804699,7789,804800,55.13172912597656,0.001,8048,-46.2944005,100.0,103,,
0.10149107128381729,804899,,805000,54.31494140625,0.001,,,,,100.0,-48.47560425999999
0.08928585052490234,805099,7793,805200,54.666595458984375,0.001,8052,-46.75347569,100.0,103,,
0.09876907616853714,805399,,805500,55.020843505859375,0.001,,,,,100.0,-49.17915406
0.10800962150096893,805499,7797,805600,55.295623779296875,0.001,8056,-46.73524349,100.0,103,,
0.1308884620666504,805899,,806000,54.31859588623047,0.001,,,,,100.0,-51.81113708
,,7802,806000,,,8060,-46.780293220000004,100.0,103,,
0.1111706793308258,806299,7803,806400,55.19750213623047,0.001,8064,-46.62501675999999,100.0,103,,
0.11904439330101013,806399,,806500,54.74858093261719,0.001,,,,,100.0,-47.77763280000001
0.10216660052537918,806699,7808,806800,54.80339431762695,0.001,8068,-46.79561059999999,100.0,103,,
0.11379764974117279,806899,,807000,54.846763610839844,0.001,,,,,100.0,-51.18248938
0.07837842404842377,807099,7812,807200,55.213966369628906,0.001,8072,-47.04692556,100.0,103,,
0.11233296990394592,807399,,807500,55.24922180175781,0.001,,,,,100.0,-49.64803758000001
0.09013135731220245,807499,7816,807600,55.34832000732422,0.001,8076,-47.287553159999995,100.0,103,,
0.14436791837215424,807899,,808000,55.10118103027344,0.001,,,,,100.0,-49.04093914
,,7821,808000,,,8080,-47.715295260000005,100.0,103,,
0.09957468509674072,808299,7823,808400,55.38763427734375,0.001,8084,-48.23018198,100.0,103,,
0.11044004559516907,808399,,808500,54.844112396240234,0.001,,,,,100.0,-48.11819474000001
0.11828839778900146,808699,7827,808800,55.41407775878906,0.001,8088,-48.111673730000014,100.0,103,,
0.09668654948472977,808899,,809000,55.181575775146484,0.001,,,,,100.0,-45.2229928
0.10850179195404053,809099,7831,809200,55.75910186767578,0.001,8092,-48.26325713999999,100.0,103,,
0.123805932700634,809399,,809500,55.400108337402344,0.001,,,,,100.0,-46.3114595
0.11776156723499298,809499,7836,809600,55.656532287597656,0.001,8096,-47.96348293000001,100.0,103,,
0.15929439663887024,809899,,810000,55.01230239868164,0.001,,,,,100.0,-48.67814914
,,7840,810000,,,8100,-48.12210845,100.0,103,,
0.10980051755905151,810299,7842,810400,55.142616271972656,0.001,8104,-48.11373451999999,100.0,103,,
0.1430055946111679,810399,,810500,55.863670349121094,0.001,,,,,100.0,-51.578328279999994
0.12538491189479828,810699,7847,810800,56.287208557128906,0.001,8108,-48.63154622,100.0,103,,
0.15856584906578064,810899,,811000,55.667781829833984,0.001,,,,,100.0,-53.84833042
0.13351304829120636,811099,7851,811200,55.79368591308594,0.001,8112,-48.7551569,100.0,103,,
0.12870746850967407,811399,,811500,56.370845794677734,0.001,,,,,100.0,-59.38554222
0.13089844584465027,811499,7855,811600,56.65149688720703,0.001,8116,-49.06165124,100.0,103,,
0.12462875992059708,811899,,812000,56.8636360168457,0.001,,,,,100.0,-61.97971745999999
,,7860,812000,,,8120,-49.98609032000001,100.0,103,,
0.1347835510969162,812299,7861,812400,57.0557861328125,0.001,8124,-50.31429421,100.0,103,,
0.16292554140090942,812399,,812500,56.5150146484375,0.001,,,,,100.0,-62.880027780000006
0.13156290352344513,812699,7866,812800,56.73817443847656,0.001,8128,-50.798294479999996,100.0,103,,
0.12914220988750458,812899,,813000,56.92735290527344,0.001,,,,,100.0,-56.23852864
0.14580030739307404,813099,7870,813200,56.65784454345703,0.001,8132,-51.273451720000004,100.0,103,,
0.14236150681972504,813399,,813500,57.062564849853516,0.001,,,,,100.0,-59.8037462
0.22419819235801697,813499,7875,813600,56.65178680419922,0.001,8136,-50.46136162999999,100.0,103,,
0.16041412949562073,813899,,814000,56.88459777832031,0.001,,,,,100.0,-59.831431079999994
,,7879,814000,,,8140,-50.532572019999996,100.0,103,,
0.11636581271886826,814299,7881,814400,56.87373352050781,0.001,8144,-50.70771696999999,100.0,103,,
0.12409484386444092,814399,,814500,56.65662384033203,0.001,,,,,100.0,-66.6965291
0.11438117921352386,814699,7885,814800,57.02668762207031,0.001,8148,-51.617568739999996,100.0,103,,
0.14296191930770874,814899,,815000,57.25477981567383,0.001,,,,,100.0,-57.88366578
0.12848740816116333,815099,7890,815200,57.53792953491211,0.001,8152,-51.815153460000005,100.0,103,,
0.14769145846366882,815399,,815500,56.7855224609375,0.001,,,,,100.0,-61.20608317999999
0.1451200246810913,815499,7894,815600,57.96549987792969,0.001,8156,-52.11234899000001,100.0,103,,
0.18346859514713287,815899,,816000,57.28679656982422,0.001,,,,,100.0,-56.5436291
,,7898,816000,,,8160,-52.91427789,100.0,103,,
0.1307520866394043,816299,7900,816400,57.3055419921875,0.001,8164,-53.37586270999999,100.0,103,,
0.18243151903152466,816399,,816500,58.316097259521484,0.001,,,,,100.0,-54.01372818
0.16379064321517944,816699,7905,816800,58.36363220214844,0.001,8168,-53.79992847999999,100.0,103,,
0.16656512022018433,816899,,817000,57.60493469238281,0.001,,,,,100.0,-55.710756599999996
0.17002101242542267,817099,7909,817200,58.265708923339844,0.001,8172,-53.91421000999999,100.0,103,,
