train/ent_coef,train/critic_loss,time/episodes,time/fps,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,train/n_updates,eval/mean_reward,eval/mean_ep_length
0.009017057716846466,0.012885324656963348,332,37,896,0.8218688368797302,100.0,33200,28.080970764160156,0.0003,-38.05622287999999,33099,,
0.009069415740668774,0.01360165886580944,,,,1.246901273727417,,33500,28.42752456665039,0.0003,,33399,-36.44836548,100.0
0.009058022871613503,0.013487270101904869,336,36,909,-1.222241759300232,100.0,33600,28.21731185913086,0.0003,-37.76210328,33499,,
0.008980892598628998,0.01454081479460001,,,,1.2320457696914673,,34000,28.764997482299805,0.0003,,33899,-36.47016927999999,100.0
,,340,36,921,,100.0,34000,,,-37.55566965,,,
0.00894111581146717,0.011738859117031097,344,37,926,-2.6892571449279785,100.0,34400,28.91622543334961,0.0003,-37.52615231,34299,,
0.00894517544656992,0.012424537912011147,,,,1.0914226770401,,34500,28.937538146972656,0.0003,,34399,-36.605324780000004,100.0
0.008954060263931751,0.011400820687413216,348,37,938,0.11945585906505585,100.0,34800,29.475849151611328,0.0003,-37.53720276000001,34699,,
0.008998746052384377,0.012187306769192219,,,,-0.7866494059562683,,35000,29.216718673706055,0.0003,,34899,-37.06329382,100.0
0.008962167426943779,0.014430235140025616,352,37,951,-0.013327911496162415,100.0,35200,29.360715866088867,0.0003,-37.49297571,35099,,
0.008941439911723137,0.015688199549913406,,,,0.124251589179039,,35500,29.566871643066406,0.0003,,35399,-37.1300144,100.0
0.00893368385732174,0.014815454371273518,356,36,964,-0.3968273401260376,100.0,35600,29.654712677001953,0.0003,-37.54286973000001,35499,,
0.008930829353630543,0.010413605719804764,,,,-0.04696722328662872,,36000,29.947120666503906,0.0003,,35899,-36.434377479999995,100.0
,,360,36,976,,100.0,36000,,,-37.461397010000006,,,
0.008909511379897594,0.011202817782759666,364,37,981,-1.5173861980438232,100.0,36400,29.625953674316406,0.0003,-37.33541364,36299,,
0.008939883671700954,0.011176521889865398,,,,-0.758926510810852,,36500,30.034717559814453,0.0003,,36399,-36.73148142,100.0
0.008865361101925373,0.015631960704922676,368,37,994,0.6083233952522278,100.0,36800,30.023880004882812,0.0003,-37.43759451,36699,,
0.008882592432200909,0.01224752701818943,,,,0.25183776021003723,,37000,30.092994689941406,0.0003,,36899,-36.4583918,100.0
0.008838613517582417,0.014805366285145283,372,36,1006,1.0280141830444336,100.0,37200,30.36036491394043,0.0003,-37.60330066,37099,,
0.008856995031237602,0.015440045855939388,,,,-0.14236678183078766,,37500,30.897533416748047,0.0003,,37399,-36.466622120000004,100.0
0.00882746372371912,0.01495952159166336,376,36,1019,-0.7466616630554199,100.0,37600,30.756107330322266,0.0003,-37.38998464000001,37499,,
0.008911168202757835,0.019547125324606895,,,,0.04998120665550232,,38000,31.032447814941406,0.0003,,37899,-36.49696548,100.0
,,380,36,1032,,100.0,38000,,,-37.37088142,,,
0.008796807378530502,0.012345370836555958,384,37,1036,1.8447577953338623,100.0,38400,30.905731201171875,0.0003,-37.357329699999994,38299,,
0.008780286647379398,0.014465941116213799,,,,-1.0557279586791992,,38500,31.0870304107666,0.0003,,38399,-36.75927766,100.0
0.008779123425483704,0.013234484940767288,388,36,1049,-0.44315218925476074,100.0,38800,31.3758602142334,0.0003,-37.34465878,38699,,
0.008738810196518898,0.013829020783305168,,,,1.2952055931091309,,39000,31.44742774963379,0.0003,,38899,-37.6069048,100.0
0.008790886029601097,0.013221871107816696,392,36,1061,-1.2812402248382568,100.0,39200,31.92186737060547,0.0003,-37.61358094,39099,,
0.008672326803207397,0.01690255105495453,,,,-1.241767406463623,,39500,31.219629287719727,0.0003,,39399,-47.6675911,100.0
0.008698828518390656,0.017769161611795425,396,36,1074,-0.3971778154373169,100.0,39600,31.32987403869629,0.0003,-37.656071020000006,39499,,
0.008641334250569344,0.01430102251470089,,,,0.7757009267807007,,40000,31.966190338134766,0.0003,,39899,-37.275393720000004,100.0
,,400,36,1086,,100.0,40000,,,-37.65298877000001,,,
0.008596840314567089,0.06480158865451813,404,37,1091,-1.0006775856018066,100.0,40400,32.02165222167969,0.0003,-38.45456394,40299,,
0.008575423620641232,0.02764345332980156,,,,-0.4992178678512573,,40500,31.786033630371094,0.0003,,40399,-55.935702140000004,100.0
0.008563157171010971,0.021532032638788223,408,36,1104,0.4016367197036743,100.0,40800,31.898263931274414,0.0003,-38.77096648,40699,,
0.00852890219539404,0.01740320213139057,,,,-0.04441320151090622,,41000,31.88958740234375,0.0003,,40899,-55.11033131999999,100.0
0.008538546040654182,0.023200390860438347,412,36,1116,-0.45228737592697144,100.0,41200,32.23593521118164,0.0003,-39.43563792,41099,,
0.008485788479447365,0.025780100375413895,,,,1.3815101385116577,,41500,32.17913055419922,0.0003,,41399,-48.89189672,100.0
0.008501052856445312,0.018336379900574684,416,36,1129,-0.4346572756767273,100.0,41600,32.30998229980469,0.0003,-39.83377539,41499,,
0.008608736097812653,0.019966594874858856,,,,0.26905566453933716,,42000,32.60973358154297,0.0003,,41899,-51.30624858,100.0
,,420,36,1141,,100.0,42000,,,-41.001550210000005,,,
0.008717064745724201,0.01995711214840412,424,36,1146,-0.6403391361236572,100.0,42400,32.29206466674805,0.0003,-41.38919431,42299,,
0.008714325726032257,0.020585263147950172,,,,-1.4997371435165405,,42500,32.49448776245117,0.0003,,42399,-47.8939292,100.0
0.008801589719951153,0.029063977301120758,428,36,1159,0.560096025466919,100.0,42800,32.50705337524414,0.0003,-41.70598891,42699,,
0.008792759850621223,0.02216944471001625,,,,-0.5925988554954529,,43000,32.319602966308594,0.0003,,42899,-47.05592358,100.0
0.008885735645890236,0.020253868773579597,432,36,1172,1.1303725242614746,100.0,43200,32.482139587402344,0.0003,-41.74902830999999,43099,,
0.008941021747887135,0.01733691617846489,,,,-0.08129817247390747,,43500,32.475494384765625,0.0003,,43399,-47.817263759999996,100.0
0.008974416181445122,0.027204174548387527,436,36,1184,-1.6598589420318604,100.0,43600,32.73475646972656,0.0003,-42.20646253999999,43499,,
0.008989538997411728,0.020924514159560204,,,,-0.06247055530548096,,44000,32.694122314453125,0.0003,,43899,-47.124386959999995,100.0
,,440,36,1196,,100.0,44000,,,-42.36942562,,,
0.009011736139655113,0.021625448018312454,444,36,1201,-0.2098793387413025,100.0,44400,32.749473571777344,0.0003,-42.49071119000001,44299,,
0.008989324793219566,0.021605290472507477,,,,1.0311040878295898,,44500,32.646636962890625,0.0003,,44399,-43.949112840000005,100.0
0.009019138291478157,0.015874920412898064,448,36,1214,0.04500202834606171,100.0,44800,32.62801742553711,0.0003,-42.67055703999999,44699,,
0.008983835577964783,0.01655379682779312,,,,0.06485098600387573,,45000,33.22317886352539,0.0003,,44899,-44.958356080000016,100.0
0.009016137570142746,0.019840523600578308,452,36,1227,0.20181894302368164,100.0,45200,32.65440368652344,0.0003,-43.12052075000001,45099,,
0.008959689177572727,0.01793515682220459,,,,1.2365180253982544,,45500,32.98161697387695,0.0003,,45399,-41.44396624,100.0
0.008938297629356384,0.0230115856975317,456,36,1239,-0.9530177712440491,100.0,45600,33.5830192565918,0.0003,-43.54889924,45499,,
0.00889603327959776,0.017944835126399994,,,,-0.6742532849311829,,46000,33.15111541748047,0.0003,,45899,-44.44339496,100.0
,,460,36,1252,,100.0,46000,,,-43.77416045,,,
0.008858426474034786,0.019877800717949867,464,36,1256,-0.1519484519958496,100.0,46400,33.309200286865234,0.0003,-44.151869839999996,46299,,
0.008912226185202599,0.015914369374513626,,,,-1.5078915357589722,,46500,33.49795150756836,0.0003,,46399,-42.433035800000006,100.0
0.008909337222576141,0.019470715895295143,468,36,1268,-1.5105302333831787,100.0,46800,33.62480163574219,0.0003,-44.00564105,46699,,
0.008870557881891727,0.021451294422149658,,,,-0.7869420647621155,,47000,33.760826110839844,0.0003,,46899,-40.4508198,100.0
0.008818705566227436,0.018750974908471107,472,36,1281,-0.011253058910369873,100.0,47200,33.369171142578125,0.0003,-44.17138,47099,,
0.008875965140759945,0.018211323767900467,,,,1.0982075929641724,,47500,34.013755798339844,0.0003,,47399,-40.063501679999995,100.0
0.008887743577361107,0.021286336705088615,476,36,1293,0.8958832025527954,100.0,47600,33.61985778808594,0.0003,-44.473371189999995,47499,,
0.008914699777960777,0.017639104276895523,,,,1.098445177078247,,48000,33.41297149658203,0.0003,,47899,-42.57796282,100.0
,,480,36,1306,,100.0,48000,,,-44.751993379999995,,,
0.008897106163203716,0.0243839118629694,484,36,1310,0.5999716520309448,100.0,48400,33.829612731933594,0.0003,-45.14227317999999,48299,,
0.008928504772484303,0.019976329058408737,,,,-1.5011850595474243,,48500,33.78620910644531,0.0003,,48399,-39.13359734,100.0
0.008919653482735157,0.019295960664749146,488,36,1323,-0.022271305322647095,100.0,48800,33.70433044433594,0.0003,-45.509583379999995,48699,,
0.008953697979450226,0.0146827083081007,,,,-1.0237089395523071,,49000,33.78256607055664,0.0003,,48899,-41.803698940000004,100.0
0.008959723636507988,0.020527075976133347,492,36,1335,-2.2067818641662598,100.0,49200,33.96876525878906,0.0003,-45.52954415,49099,,
0.008930599316954613,0.0164978988468647,,,,-0.2650362551212311,,49500,33.628013610839844,0.0003,,49399,-40.5477277,100.0
