train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.001,57899,,58000,47.99645233154297,,,,0.10144871473312378,,-41.956945759999996,100.0
,,-42.66928462,58000,,100.0,580,70,,820,,
0.001,58299,-42.66793382,58400,47.672157287597656,100.0,584,70,0.131553053855896,822,,
0.001,58399,,58500,47.30382537841797,,,,0.17111822962760925,,-43.215279519999996,100.0
0.001,58699,-42.59278641,58800,47.95215606689453,100.0,588,70,0.15272200107574463,829,,
0.001,58899,,59000,47.87236022949219,,,,0.12843409180641174,,-41.97585190000001,100.0
0.001,59099,-42.81823371,59200,48.199100494384766,100.0,592,70,0.1428217589855194,835,,
0.001,59399,,59500,47.69374465942383,,,,0.1712854504585266,,-47.98027504000001,100.0
0.001,59499,-42.56428637999999,59600,48.43933868408203,100.0,596,70,0.17572781443595886,842,,
0.001,59899,,60000,47.64032745361328,,,,0.24599027633666992,,-43.1244276,100.0
,,-42.30513876,60000,,100.0,600,70,,848,,
0.001,60299,-42.585250939999995,60400,48.39450454711914,100.0,604,70,0.16070547699928284,851,,
0.001,60399,,60500,48.50170135498047,,,,0.22023344039916992,,-43.82800622,100.0
0.001,60699,-42.72469929000001,60800,48.284820556640625,100.0,608,70,0.1939786672592163,857,,
0.001,60899,,61000,48.071617126464844,,,,0.1667272448539734,,-43.19979818000001,100.0
0.001,61099,-42.50599909999999,61200,48.54560852050781,100.0,612,70,0.2180880308151245,864,,
0.001,61399,,61500,48.815555572509766,,,,0.174482524394989,,-43.68889016,100.0
0.001,61499,-42.28264214,61600,48.5755500793457,100.0,616,70,0.16494062542915344,871,,
0.001,61899,,62000,49.02339553833008,,,,0.14405867457389832,,-44.567903060000006,100.0
,,-42.14263902,62000,,100.0,620,70,,877,,
0.001,62299,-42.219482670000005,62400,48.71355056762695,100.0,624,70,0.2613360583782196,879,,
0.001,62399,,62500,48.74684143066406,,,,0.160591721534729,,-44.68735498,100.0
0.001,62699,-42.12787506000001,62800,48.93221664428711,100.0,628,70,0.15878501534461975,886,,
0.001,62899,,63000,49.054115295410156,,,,0.19407783448696136,,-43.156447099999994,100.0
