train/learning_rate,train/critic_loss,eval/mean_reward,time/total_timesteps,train/n_updates,eval/mean_ep_length,train/actor_loss,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/time_elapsed
0.001,0.065240778028965,212.36848917999998,119000,118899,1000.0,-64.45899200439453,,,,,
0.001,0.09551297128200531,271.0494361,119500,119399,1000.0,-64.57763671875,,,,,
0.001,0.05329887568950653,305.16935052,120000,119899,1000.0,-66.44330596923828,,,,,
,,,120000,,,,11,41.271378590000005,1000.0,120,10245
0.001,0.07970808446407318,294.87955948,120500,120399,1000.0,-66.48465728759766,,,,,
0.001,0.09747391194105148,282.05140312,121000,120899,1000.0,-64.02520751953125,,,,,
0.001,0.08512112498283386,292.27951844,121500,121399,1000.0,-64.08841705322266,,,,,
0.001,0.09019865095615387,302.68799398000004,122000,121899,1000.0,-65.51617431640625,,,,,
0.001,0.07879509031772614,276.58985194,122500,122399,1000.0,-67.57815551757812,,,,,
0.001,0.07581153512001038,310.89179987999995,123000,122899,1000.0,-66.8076171875,,,,,
0.001,0.06354004144668579,163.13518280000002,123500,123399,1000.0,-66.18284606933594,,,,,
0.001,0.10312919318675995,118.95480036,124000,123899,1000.0,-67.72322082519531,,,,,
,,,124000,,,,11,50.92136496999999,1000.0,124,10604
0.001,0.09046143293380737,223.83877488,124500,124399,1000.0,-67.68849182128906,,,,,
0.001,0.10442525148391724,109.56187466,125000,124899,1000.0,-67.31897735595703,,,,,
0.001,0.08048984408378601,298.41238314000003,125500,125399,1000.0,-68.08634948730469,,,,,
0.001,0.0794815644621849,174.25658066,126000,125899,1000.0,-68.9763412475586,,,,,
0.001,0.13192768394947052,166.37630855999998,126500,126399,1000.0,-67.66422271728516,,,,,
0.001,0.08255660533905029,283.43350376,127000,126899,1000.0,-68.74916076660156,,,,,
0.001,0.10600529611110687,301.54278238,127500,127399,1000.0,-68.52523803710938,,,,,
0.001,0.07272249460220337,333.15826208,128000,127899,1000.0,-70.64844512939453,,,,,
,,,128000,,,,11,58.85926651000002,1000.0,128,10963
0.001,0.10524992644786835,336.73529536,128500,128399,1000.0,-68.61068725585938,,,,,
0.001,0.0722980946302414,257.23660156,129000,128899,1000.0,-69.97146606445312,,,,,
0.001,0.08963652700185776,316.13367116,129500,129399,1000.0,-70.7718505859375,,,,,
0.001,0.10249544680118561,262.9369228,130000,129899,1000.0,-71.27629852294922,,,,,
0.001,0.0614735409617424,266.47424872000005,130500,130399,1000.0,-69.61579895019531,,,,,
0.001,0.07451041042804718,329.23257590000003,131000,130899,1000.0,-72.6324462890625,,,,,
0.001,0.07499172538518906,331.18286395999996,131500,131399,1000.0,-72.26712799072266,,,,,
0.001,0.0778907984495163,314.39010116,132000,131899,1000.0,-73.20527648925781,,,,,
,,,132000,,,,11,70.57457806000001,1000.0,132,11323
0.001,0.07588504254817963,319.16561722,132500,132399,1000.0,-72.57600402832031,,,,,
0.001,0.11430352926254272,342.39438779999995,133000,132899,1000.0,-73.78498077392578,,,,,
0.001,0.09818699955940247,333.49445739999993,133500,133399,1000.0,-74.34317779541016,,,,,
0.001,0.08317501842975616,348.12729846,134000,133899,1000.0,-73.89442443847656,,,,,
0.001,0.06388890743255615,321.16877926,134500,134399,1000.0,-75.2303466796875,,,,,
0.001,0.08738461881875992,342.2234094599999,135000,134899,1000.0,-72.77899932861328,,,,,
0.001,0.07305370271205902,349.76371251999996,135500,135399,1000.0,-73.34263610839844,,,,,
0.001,0.07735443115234375,306.70901535999997,136000,135899,1000.0,-73.4831314086914,,,,,
,,,136000,,,,11,83.26138133,1000.0,136,11682
0.001,0.07700621336698532,310.36886668,136500,136399,1000.0,-73.32752990722656,,,,,
0.001,0.05980151891708374,221.08475191999997,137000,136899,1000.0,-75.4524917602539,,,,,
0.001,0.07264933735132217,317.13306706,137500,137399,1000.0,-76.201904296875,,,,,
0.001,0.06736510992050171,351.45511388,138000,137899,1000.0,-74.80552673339844,,,,,
0.001,0.08992087841033936,349.56788378,138500,138399,1000.0,-78.0772705078125,,,,,
0.001,0.09542542695999146,355.12742937999997,139000,138899,1000.0,-76.70106506347656,,,,,
0.001,0.06305203586816788,355.30886338,139500,139399,1000.0,-76.49127197265625,,,,,
0.001,0.09011300653219223,353.1331759800001,140000,139899,1000.0,-77.25401306152344,,,,,
