time/fps,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
169,52667,3528,56.004621240000006,310,14.92,52566,0.22269874811172485,-25.573211669921875,0.001,,
169,52727,3532,55.99945797,310,14.92,52626,0.22861823439598083,-25.165788650512695,0.001,,
169,52787,3536,55.98402426,311,14.92,52686,0.4704795181751251,-24.656023025512695,0.001,,
169,52847,3540,56.02494716,311,14.93,52746,0.21406537294387817,-25.459259033203125,0.001,,
169,52907,3544,56.05683618999999,312,14.94,52806,0.3781990706920624,-25.457195281982422,0.001,,
169,52967,3548,56.04517202,312,14.94,52866,0.2129298448562622,-25.56966781616211,0.001,,
,53000,,,,,52899,0.26699334383010864,-25.527183532714844,0.001,14.96,56.25917683999999
169,53027,3552,56.1132218,313,14.95,52926,0.13011080026626587,-25.468503952026367,0.001,,
169,53087,3556,56.14028934,313,14.95,52986,0.1471458077430725,-25.67819595336914,0.001,,
169,53147,3560,56.13019319,314,14.95,53046,0.10214343667030334,-25.132736206054688,0.001,,
169,53207,3564,56.22075402,314,14.96,53106,0.10964718461036682,-26.80902862548828,0.001,,
169,53267,3568,56.22624812,314,14.96,53166,0.5523562431335449,-23.589126586914062,0.001,,
169,53327,3572,56.26067393999999,315,14.96,53226,0.5185604691505432,-25.64443016052246,0.001,,
169,53387,3576,56.24511642,315,14.96,53286,0.2137770652770996,-25.433837890625,0.001,,
169,53447,3580,56.23805508,315,14.96,53346,0.11630204319953918,-25.76507568359375,0.001,,
,53500,,,,,53399,0.493468701839447,-25.348052978515625,0.001,14.96,56.25917683999999
168,53507,3584,56.262717949999995,316,14.96,53406,0.2353067696094513,-24.23409652709961,0.001,,
168,53567,3588,56.25444094,317,14.96,53466,0.2079319953918457,-25.083358764648438,0.001,,
168,53627,3592,56.27738508,317,14.96,53526,0.3587537407875061,-25.417049407958984,0.001,,
168,53687,3596,56.29777785000001,317,14.97,53586,0.34371718764305115,-26.375234603881836,0.001,,
168,53747,3600,56.34938106,318,14.98,53646,0.19878317415714264,-23.74761390686035,0.001,,
168,53807,3604,56.35842456,318,14.98,53706,0.11968474090099335,-26.399982452392578,0.001,,
168,53865,3608,56.25050076,318,14.96,53764,0.35924509167671204,-26.215620040893555,0.001,,
168,53925,3612,56.27468855,319,14.96,53824,0.24963843822479248,-24.509571075439453,0.001,,
168,53985,3616,56.32795449,319,14.97,53884,0.07652248442173004,-25.141887664794922,0.001,,
,54000,,,,,53899,0.4772934913635254,-26.02852439880371,0.001,14.96,56.25917683999999
168,54045,3620,56.39868126000001,320,14.98,53944,0.3505582809448242,-25.584300994873047,0.001,,
168,54105,3624,56.39157848000001,320,14.98,54004,0.3294806480407715,-25.099899291992188,0.001,,
168,54164,3628,56.343112219999995,321,14.97,54063,0.3746848702430725,-27.021257400512695,0.001,,
168,54224,3632,56.376511969999996,321,14.97,54123,0.2652949392795563,-26.0192813873291,0.001,,
168,54284,3636,56.39614744999999,321,14.97,54183,0.43629178404808044,-26.74709129333496,0.001,,
168,54344,3640,56.40229621000001,322,14.97,54243,0.2472074329853058,-23.7539005279541,0.001,,
168,54404,3644,56.417231390000005,322,14.97,54303,0.18709520995616913,-25.502527236938477,0.001,,
168,54463,3648,56.40366655,322,14.96,54362,0.25284138321876526,-24.933935165405273,0.001,,
,54500,,,,,54399,0.06338843703269958,-25.541501998901367,0.001,14.96,56.25917683999999
168,54523,3652,56.40310659,323,14.96,54422,0.08149473369121552,-25.05080795288086,0.001,,
168,54582,3656,56.33771828,324,14.95,54481,0.44429895281791687,-24.486743927001953,0.001,,
