rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,eval/mean_reward,eval/mean_ep_length
,,50.90283966064453,66899,0.001,0.076118603348732,,67000,,,-42.28857744000001,100.0
100.0,951,50.583213806152344,67099,0.001,0.10298402607440948,-41.77409930999999,67200,672,70,,
,,50.64482879638672,67399,0.001,0.06948047876358032,,67500,,,-41.03410322,100.0
100.0,957,50.76339340209961,67499,0.001,0.10365991294384003,-41.63064474,67600,676,70,,
,,51.389488220214844,67899,0.001,0.09465610980987549,,68000,,,-41.64951446,100.0
100.0,964,,,,,-41.661163699999996,68000,680,70,,
100.0,966,51.11014938354492,68299,0.001,0.0559069886803627,-41.603992070000004,68400,684,70,,
,,50.94068145751953,68399,0.001,0.08164060115814209,,68500,,,-42.12366598,100.0
100.0,973,50.8427848815918,68699,0.001,0.07459604740142822,-41.755953129999995,68800,688,70,,
,,50.79169845581055,68899,0.001,0.07682663202285767,,69000,,,-39.77007642,100.0
100.0,979,51.24835205078125,69099,0.001,0.07458114624023438,-41.81588882999999,69200,692,70,,
,,51.36358642578125,69399,0.001,0.08251116424798965,,69500,,,-39.72137392,100.0
100.0,986,51.5284309387207,69499,0.001,0.07673745602369308,-41.54015462999999,69600,696,70,,
,,51.286376953125,69899,0.001,0.07777021825313568,,70000,,,-40.11646934,100.0
