rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/time_elapsed,train/actor_loss,train/n_updates,time/total_timesteps,time/episodes,eval/mean_ep_length,eval/mean_reward
-8.557546120000001,100,50.0,0.034377697855234146,0.001,116,7.365520477294922,11699,11800,236,,
,,,0.03150493651628494,0.001,,7.369890213012695,11899,12000,,50.0,-10.31171302
-8.60122037,99,50.0,,,120,,,12000,240,,
-8.719402760000001,100,50.0,0.035757921636104584,0.001,121,7.580526351928711,12099,12200,244,,
-8.84976526,101,50.0,0.03505730628967285,0.001,122,7.684772491455078,12299,12400,248,,
,,,0.03360849618911743,0.001,,7.473175525665283,12399,12500,,50.0,-10.33621666
-8.96897821,100,50.0,0.04211530461907387,0.001,125,7.7032623291015625,12499,12600,252,,
-8.990124580000002,100,50.0,0.03126763552427292,0.001,127,7.674339294433594,12699,12800,256,,
,,,0.04620055854320526,0.001,,7.749337196350098,12899,13000,,50.0,-10.35649518
-8.895470249999999,99,50.0,,,130,,,13000,260,,
-8.864607990000001,100,50.0,0.030895257368683815,0.001,131,7.943765640258789,13099,13200,264,,
-8.812368400000002,100,50.0,0.03284800052642822,0.001,132,8.07422161102295,13299,13400,268,,
,,,0.034493282437324524,0.001,,7.892727851867676,13399,13500,,50.0,-10.2662478
-8.715204889999999,99,50.0,0.04125434532761574,0.001,136,8.072579383850098,13499,13600,272,,
-8.660982650000001,100,50.0,0.0319102518260479,0.001,137,8.217463493347168,13699,13800,276,,
,,,0.030028529465198517,0.001,,8.288848876953125,13899,14000,,50.0,-9.40700358
-8.73867399,99,50.0,,,140,,,14000,280,,
-8.8145677,100,50.0,0.03521370142698288,0.001,141,8.449594497680664,14099,14200,284,,
-8.79763545,100,50.0,0.02841111458837986,0.001,142,8.447818756103516,14299,14400,288,,
,,,0.02855333685874939,0.001,,8.586828231811523,14399,14500,,50.0,-9.7004311
-8.904024229999997,100,50.0,0.03076948970556259,0.001,145,8.463018417358398,14499,14600,292,,
-8.78317297,100,50.0,0.027010176330804825,0.001,147,8.594572067260742,14699,14800,296,,
,,,0.03697989135980606,0.001,,8.586812019348145,14899,15000,,50.0,-9.484038
-8.83626589,99,50.0,,,150,,,15000,300,,
-8.87203125,100,50.0,0.03731301426887512,0.001,151,8.928788185119629,15099,15200,304,,
-8.90318018,100,50.0,0.03202299401164055,0.001,152,8.794618606567383,15299,15400,308,,
,,,0.034109633415937424,0.001,,8.902076721191406,15399,15500,,50.0,-8.85135702
-8.992139819999998,100,50.0,0.02308221533894539,0.001,155,9.001813888549805,15499,15600,312,,
-8.941877139999997,100,50.0,0.03363887220621109,0.001,157,9.057672500610352,15699,15800,316,,
,,,0.051668982952833176,0.001,,8.878730773925781,15899,16000,,50.0,-8.782495199999998
-8.9483201,99,50.0,,,160,,,16000,320,,
-8.89521016,100,50.0,0.028136424720287323,0.001,161,9.119346618652344,16099,16200,324,,
-8.80307065,100,50.0,0.032503772526979446,0.001,162,9.195354461669922,16299,16400,328,,
,,,0.03475141152739525,0.001,,9.293191909790039,16399,16500,,50.0,-8.8325672
-8.68039754,99,50.0,0.026060935109853745,0.001,166,9.221172332763672,16499,16600,332,,
