time/episodes,train/critic_loss,train/ent_coef_loss,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,train/n_updates,train/ent_coef,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
224,0.014242202043533325,-0.4186164140701294,36,0.0003,100.0,22400,608,21.412174224853516,22299,0.008376163430511951,-44.75155898999999,,
,0.020226314663887024,-1.3449220657348633,,0.0003,,22500,,21.35782814025879,22399,0.008382025174796581,,100.0,-42.3479892
228,0.01446678675711155,0.7692735195159912,36,0.0003,100.0,22800,620,21.26628875732422,22699,0.00840794388204813,-44.6396074,,
,0.01676541566848755,-0.8758112192153931,,0.0003,,23000,,22.01626968383789,22899,0.008393431082367897,,100.0,-40.30155958
232,0.015016340650618076,0.10566872358322144,36,0.0003,100.0,23200,633,21.943511962890625,23099,0.008372101932764053,-44.61448539,,
,0.012479627504944801,0.5034736394882202,,0.0003,,23500,,22.449180603027344,23399,0.008417688310146332,,100.0,-40.5130618
236,0.01598995365202427,1.0587540864944458,36,0.0003,100.0,23600,645,22.36346435546875,23499,0.008413995616137981,-44.07480863000001,,
,0.02664071135222912,-0.486764520406723,,0.0003,,24000,,22.8402042388916,23899,0.008353041484951973,,100.0,-41.87308164
240,,,36,,100.0,24000,658,,,,-43.97968457000001,,
244,0.013030591420829296,-0.5617266893386841,36,0.0003,100.0,24400,663,23.44134521484375,24299,0.008402557112276554,-43.817293639999995,,
,0.014278030954301357,3.3034839630126953,,0.0003,,24500,,23.643272399902344,24399,0.008385462686419487,,100.0,-44.806063380000005
248,0.015825627371668816,-0.8654945492744446,36,0.0003,100.0,24800,675,23.554981231689453,24699,0.008336098864674568,-43.57258078000001,,
,0.017517156898975372,0.3404449224472046,,0.0003,,25000,,23.558401107788086,24899,0.008338925428688526,,100.0,-44.26588968
252,0.016917552798986435,0.6875768303871155,36,0.0003,100.0,25200,688,23.574596405029297,25099,0.008307152427732944,-43.451603350000006,,
,0.015017845667898655,0.39554113149642944,,0.0003,,25500,,24.261486053466797,25399,0.00824141688644886,,100.0,-47.1368615
256,0.016871286556124687,-1.362910509109497,36,0.0003,100.0,25600,700,24.067150115966797,25499,0.008283774368464947,-43.31936,,
,0.014898376539349556,-1.191396951675415,,0.0003,,26000,,24.984420776367188,25899,0.00835217721760273,,100.0,-40.02590574
260,,,36,,100.0,26000,713,,,,-43.14459158999999,,
264,0.015375685878098011,1.7320256233215332,36,0.0003,100.0,26400,718,25.005592346191406,26299,0.008361103013157845,-42.979988780000006,,
,0.019305501133203506,0.16767637431621552,,0.0003,,26500,,25.07701301574707,26399,0.008329654112458229,,100.0,-38.774573
