time/fps,train/actor_loss,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/critic_loss,train/learning_rate,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
61,44.482696533203125,-41.112502240000005,48299,100.0,484,48400,0.13003437221050262,0.001,786,,
,44.528690338134766,,48399,,,48500,0.18389374017715454,0.001,,-40.88021452,100.0
61,44.27408981323242,-41.15114802,48699,100.0,488,48800,0.16219250857830048,0.001,794,,
,44.3369026184082,,48899,,,49000,0.1823045313358307,0.001,,-39.77708088,100.0
61,44.20680236816406,-40.97803925,49099,100.0,492,49200,0.13890190422534943,0.001,802,,
,44.35280990600586,,49399,,,49500,0.14629590511322021,0.001,,-41.9523449,100.0
61,44.993995666503906,-41.15417739,49499,100.0,496,49600,0.1813989281654358,0.001,809,,
,45.00178527832031,,49899,,,50000,0.15788432955741882,0.001,,-40.571694040000004,100.0
61,,-41.262457700000006,,100.0,500,50000,,,816,,
61,45.50579833984375,-41.23887051999999,50299,100.0,504,50400,0.14521339535713196,0.001,819,,
,44.8715705871582,,50399,,,50500,0.17698132991790771,0.001,,-41.623814339999996,100.0
61,44.91017150878906,-41.46530879,50699,100.0,508,50800,0.19205686450004578,0.001,826,,
,45.679779052734375,,50899,,,51000,0.17950433492660522,0.001,,-42.195578960000006,100.0
61,45.79449462890625,-41.548512419999994,51099,100.0,512,51200,0.1810113787651062,0.001,833,,
,45.822509765625,,51399,,,51500,0.1541425883769989,0.001,,-40.91409592,100.0
61,45.620086669921875,-41.76096992,51499,100.0,516,51600,0.11885622888803482,0.001,841,,
,45.721038818359375,,51899,,,52000,0.13811230659484863,0.001,,-44.2631207,100.0
61,,-42.01205123,,100.0,520,52000,,,848,,
61,45.2486686706543,-42.151989529999994,52299,100.0,524,52400,0.2224414199590683,0.001,851,,
,45.516666412353516,,52399,,,52500,0.1657501757144928,0.001,,-45.58232212,100.0
61,45.88900375366211,-42.31932986999999,52699,100.0,528,52800,0.11433485150337219,0.001,858,,
,46.32758712768555,,52899,,,53000,0.16619892418384552,0.001,,-43.43997596,100.0
61,45.91766357421875,-42.289473259999994,53099,100.0,532,53200,0.1762106567621231,0.001,865,,
,45.686946868896484,,53399,,,53500,0.12951046228408813,0.001,,-47.11662848,100.0
61,45.98095703125,-42.298977289999996,53499,100.0,536,53600,0.2043461799621582,0.001,872,,
,46.267860412597656,,53899,,,54000,0.18925055861473083,0.001,,-49.797049740000006,100.0
61,,-42.63230512999999,,100.0,540,54000,,,879,,
61,46.39762878417969,-43.15930865999999,54299,100.0,544,54400,0.18404266238212585,0.001,882,,
,46.1587028503418,,54399,,,54500,0.12082618474960327,0.001,,-44.51583986000001,100.0
61,46.257808685302734,-43.15944181,54699,100.0,548,54800,0.14982552826404572,0.001,890,,
,46.86474609375,,54899,,,55000,0.12891234457492828,0.001,,-40.14483486,100.0
61,46.652496337890625,-43.09702736,55099,100.0,552,55200,0.15628185868263245,0.001,897,,
,46.99406051635742,,55399,,,55500,0.1464177966117859,0.001,,-39.8748703,100.0
61,46.49810791015625,-43.20293445,55499,100.0,556,55600,0.13827583193778992,0.001,904,,
,46.37567138671875,,55899,,,56000,0.14191971719264984,0.001,,-40.173981239999996,100.0
61,,-42.973867420000005,,100.0,560,56000,,,911,,
61,46.533390045166016,-42.65242413999999,56299,100.0,564,56400,0.14830543100833893,0.001,914,,
,47.053565979003906,,56399,,,56500,0.14441785216331482,0.001,,-41.52953805999999,100.0
61,47.2824821472168,-42.39815952,56699,100.0,568,56800,0.11846938729286194,0.001,921,,
,46.496421813964844,,56899,,,57000,0.09849531948566437,0.001,,-46.70898681999999,100.0
61,47.04558563232422,-42.075408360000004,57099,100.0,572,57200,0.13722464442253113,0.001,928,,
,46.865623474121094,,57399,,,57500,0.13829413056373596,0.001,,-41.13185604,100.0
61,47.03007125854492,-42.16406513,57499,100.0,576,57600,0.1352204978466034,0.001,936,,
,47.101802825927734,,57899,,,58000,0.11863447725772858,0.001,,-40.4231502,100.0
61,,-42.16121706,,100.0,580,58000,,,943,,
61,47.20045471191406,-42.4137561,58299,100.0,584,58400,0.1570633053779602,0.001,946,,
,47.198524475097656,,58399,,,58500,0.10992346704006195,0.001,,-40.68446504,100.0
61,47.11929702758789,-42.468288810000004,58699,100.0,588,58800,0.12001914530992508,0.001,954,,
,47.68870544433594,,58899,,,59000,0.10833324491977692,0.001,,-41.09640472,100.0
61,46.883934020996094,-42.50892702,59099,100.0,592,59200,0.13868597149848938,0.001,961,,
,47.54645538330078,,59399,,,59500,0.12062770128250122,0.001,,-43.666641039999995,100.0
61,47.310516357421875,-42.30471547,59499,100.0,596,59600,0.10175135731697083,0.001,968,,
,47.45462417602539,,59899,,,60000,0.16922146081924438,0.001,,-38.764106160000004,100.0
61,,-41.996975590000005,,100.0,600,60000,,,975,,
61,47.39482879638672,-41.98789812,60299,100.0,604,60400,0.11178451776504517,0.001,978,,
,47.21684265136719,,60399,,,60500,0.10766761004924774,0.001,,-38.80665254,100.0
61,47.116729736328125,-41.63833306000001,60699,100.0,608,60800,0.1121380478143692,0.001,985,,
,47.427001953125,,60899,,,61000,0.13203223049640656,0.001,,-39.47160848,100.0
61,47.54291534423828,-41.38575889,61099,100.0,612,61200,0.1108965203166008,0.001,993,,
,47.945953369140625,,61399,,,61500,0.13064202666282654,0.001,,-38.144213560000004,100.0
61,47.80201721191406,-40.963981059999995,61499,100.0,616,61600,0.09404997527599335,0.001,1000,,
,47.7835807800293,,61899,,,62000,0.0992797464132309,0.001,,-39.16854184,100.0
61,,-40.566740450000005,,100.0,620,62000,,,1008,,
61,47.76079559326172,-40.30593372,62299,100.0,624,62400,0.11328040063381195,0.001,1010,,
,48.18219757080078,,62399,,,62500,0.15586887300014496,0.001,,-38.28992342000001,100.0
61,48.09248352050781,-40.140823610000005,62699,100.0,628,62800,0.12440907210111618,0.001,1017,,
,48.28446960449219,,62899,,,63000,0.1056809201836586,0.001,,-37.872707739999996,100.0
61,48.04853439331055,-40.163453610000005,63099,100.0,632,63200,0.08129194378852844,0.001,1025,,
,48.45476531982422,,63399,,,63500,0.1239081397652626,0.001,,-38.4052637,100.0
61,48.2769889831543,-40.001190920000006,63499,100.0,636,63600,0.1190510094165802,0.001,1032,,
,48.085044860839844,,63899,,,64000,0.11989912390708923,0.001,,-38.927135060000005,100.0
61,,-39.96739878,,100.0,640,64000,,,1040,,
61,48.64793395996094,-39.5859053,64299,100.0,644,64400,0.1087522804737091,0.001,1042,,
,48.228145599365234,,64399,,,64500,0.10404609888792038,0.001,,-38.355093079999996,100.0
61,48.19153594970703,-39.312536789999996,64699,100.0,648,64800,0.18443334102630615,0.001,1049,,
,48.47661590576172,,64899,,,65000,0.09690205752849579,0.001,,-39.05231428,100.0
61,48.70027160644531,-39.3504535,65099,100.0,652,65200,0.1167871281504631,0.001,1057,,
,47.96146774291992,,65399,,,65500,0.1252518594264984,0.001,,-38.348570900000006,100.0
61,48.51099395751953,-39.34623867,65499,100.0,656,65600,0.14730125665664673,0.001,1064,,
,48.68376159667969,,65899,,,66000,0.23813076317310333,0.001,,-40.033836619999995,100.0
61,,-39.41509145,,100.0,660,66000,,,1071,,
61,48.488258361816406,-39.53890644999999,66299,100.0,664,66400,0.24033819139003754,0.001,1074,,
,49.06873321533203,,66399,,,66500,0.15281763672828674,0.001,,-41.32606444,100.0
61,47.979713439941406,-39.71536262,66699,100.0,668,66800,0.20517271757125854,0.001,1081,,
,48.90696334838867,,66899,,,67000,0.12224224954843521,0.001,,-43.08543503999999,100.0
61,48.987342834472656,-39.55999252,67099,100.0,672,67200,0.1413896679878235,0.001,1089,,
,48.511688232421875,,67399,,,67500,0.13427923619747162,0.001,,-44.08195904,100.0
61,49.420555114746094,-39.30196488,67499,100.0,676,67600,0.13644875586032867,0.001,1096,,
,48.777183532714844,,67899,,,68000,0.13014793395996094,0.001,,-42.782713279999996,100.0
61,,-39.44697484,,100.0,680,68000,,,1103,,
61,48.7667121887207,-39.78193443,68299,100.0,684,68400,0.13147225975990295,0.001,1106,,
,49.113067626953125,,68399,,,68500,0.1331755518913269,0.001,,-42.90047206,100.0
61,48.79065704345703,-39.80334766,68699,100.0,688,68800,0.1862945556640625,0.001,1113,,
,49.55689239501953,,68899,,,69000,0.11059693992137909,0.001,,-42.19938888000001,100.0
61,49.36907958984375,-40.01466289,69099,100.0,692,69200,0.11968524754047394,0.001,1120,,
,49.27531433105469,,69399,,,69500,0.10499213635921478,0.001,,-41.60782196,100.0
61,49.576934814453125,-39.849262339999996,69499,100.0,696,69600,0.11848554015159607,0.001,1128,,
