time/time_elapsed,train/n_updates,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,time/episodes,train/actor_loss,time/fps,train/ent_coef_loss,eval/mean_ep_length,eval/mean_reward
685,25099,0.008063136599957943,0.0003,-43.4979475,25200,0.013310035690665245,100.0,252,23.505277633666992,36,0.11071622371673584,,
,25399,0.008103086613118649,0.0003,,25500,0.014326337724924088,,,24.172935485839844,,-0.21011978387832642,100.0,-41.35640211999999
697,25499,0.008114202879369259,0.0003,-43.319107519999996,25600,0.019059831276535988,100.0,256,23.953704833984375,36,0.7841902375221252,,
,25899,0.008074771612882614,0.0003,,26000,0.017255960032343864,,,24.52648162841797,,-0.9751567840576172,100.0,-40.37000594
710,,,,-43.326720039999984,26000,,100.0,260,,36,,,
714,26299,0.008051225915551186,0.0003,-43.223299180000005,26400,0.014832768589258194,100.0,264,24.766857147216797,36,-0.3250529170036316,,
,26399,0.0080969063565135,0.0003,,26500,0.016712423413991928,,,24.91470718383789,,0.5546087622642517,100.0,-40.812824860000006
727,26699,0.00805346854031086,0.0003,-43.147548519999994,26800,0.012774277478456497,100.0,268,24.868789672851562,36,-0.27402037382125854,,
,26899,0.008054770529270172,0.0003,,27000,0.017723551020026207,,,25.253131866455078,,-1.1473863124847412,100.0,-40.38124336
739,27099,0.008038808591663837,0.0003,-42.933761860000004,27200,0.010882413014769554,100.0,272,25.220447540283203,36,-0.2734508514404297,,
,27399,0.008004246279597282,0.0003,,27500,0.012575889006257057,,,25.705591201782227,,1.3306028842926025,100.0,-41.38580965999999
751,27499,0.0080327233299613,0.0003,-42.72462312999999,27600,0.01697194017469883,100.0,276,25.847965240478516,36,0.9149743318557739,,
,27899,0.00802441593259573,0.0003,,28000,0.01172301359474659,,,26.3822021484375,,1.5480422973632812,100.0,-39.208792200000005
764,,,,-42.76852996,28000,,100.0,280,,36,,,
769,28299,0.007994706742465496,0.0003,-42.696408469999994,28400,0.013630112633109093,100.0,284,26.313404083251953,36,1.004440426826477,,
,28399,0.008041013032197952,0.0003,,28500,0.0174834243953228,,,26.64483642578125,,0.19888781011104584,100.0,-41.18176916
781,28699,0.00810265727341175,0.0003,-42.66573806,28800,0.01692434400320053,100.0,288,26.69298553466797,36,1.3272885084152222,,
