rollout/ep_rew_mean,train/n_updates,train/actor_loss,time/time_elapsed,train/learning_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,time/fps,train/critic_loss,eval/mean_reward,eval/mean_ep_length
-48.761311320000004,33499,37.9370231628418,439,0.001,336,33600,100.0,76,0.0779590830206871,,
,33899,37.651153564453125,,0.001,,34000,,,0.12350571900606155,-45.15197544000001,100.0
-48.65337418,,,444,,340,34000,100.0,76,,,
-48.42958319,34299,38.061973571777344,447,0.001,344,34400,100.0,76,0.07005219906568527,,
,34399,37.85865020751953,,0.001,,34500,,,0.11716665327548981,-45.99077542,100.0
-48.39810528,34699,38.0991096496582,453,0.001,348,34800,100.0,76,0.09442014992237091,,
,34899,38.502864837646484,,0.001,,35000,,,0.09075994044542313,-45.726792579999994,100.0
-47.98139962000001,35099,38.71965026855469,459,0.001,352,35200,100.0,76,0.10217499732971191,,
,35399,38.897682189941406,,0.001,,35500,,,0.0916437953710556,-45.285175259999995,100.0
-47.56500809,35499,38.92353820800781,464,0.001,356,35600,100.0,76,0.10638567060232162,,
,35899,39.10071563720703,,0.001,,36000,,,0.08094081282615662,-44.85067206000001,100.0
-47.35928581000001,,,470,,360,36000,100.0,76,,,
-46.9408962,36299,39.24219512939453,473,0.001,364,36400,100.0,76,0.10375767946243286,,
,36399,39.09661102294922,,0.001,,36500,,,0.11811818182468414,-45.01686608,100.0
-46.62104917,36699,39.61693572998047,479,0.001,368,36800,100.0,76,0.10382591187953949,,
,36899,39.783199310302734,,0.001,,37000,,,0.08968838304281235,-43.74421938000001,100.0
-46.54233052999999,37099,39.735206604003906,485,0.001,372,37200,100.0,76,0.0997636690735817,,
,37399,39.976600646972656,,0.001,,37500,,,0.0786842554807663,-45.48600215999999,100.0
-46.30561965999999,37499,39.92835998535156,491,0.001,376,37600,100.0,76,0.08263194561004639,,
,37899,40.602806091308594,,0.001,,38000,,,0.09563770890235901,-45.04879704,100.0
-46.23029873,,,497,,380,38000,100.0,76,,,
-45.77542944999999,38299,40.32811737060547,499,0.001,384,38400,100.0,76,0.08413951843976974,,
,38399,40.25992202758789,,0.001,,38500,,,0.11054582893848419,-47.328303479999995,100.0
-45.80152885,38699,40.67593002319336,505,0.001,388,38800,100.0,76,0.08485337346792221,,
,38899,40.85820007324219,,0.001,,39000,,,0.10352333635091782,-47.436593540000004,100.0
-45.90123054000001,39099,41.11745071411133,511,0.001,392,39200,100.0,76,0.07298000901937485,,
,39399,41.273189544677734,,0.001,,39500,,,0.07381606101989746,-47.174839379999995,100.0
-45.59681903,39499,41.417449951171875,517,0.001,396,39600,100.0,76,0.08904987573623657,,
,39899,41.168853759765625,,0.001,,40000,,,0.0957668274641037,-47.11396312,100.0
-45.456413439999984,,,523,,400,40000,100.0,76,,,
-45.72606239999999,40299,41.4155158996582,525,0.001,404,40400,100.0,76,0.07216103374958038,,
,40399,41.781227111816406,,0.001,,40500,,,0.06903527677059174,-46.013030799999996,100.0
-45.63682335000001,40699,41.8541259765625,532,0.001,408,40800,100.0,76,0.10383722186088562,,
,40899,41.782806396484375,,0.001,,41000,,,0.08774954080581665,-46.519542099999995,100.0
-45.533363030000004,41099,42.0174674987793,538,0.001,412,41200,100.0,76,0.07361596077680588,,
,41399,42.542720794677734,,0.001,,41500,,,0.06172748655080795,-46.831349880000005,100.0
-45.73762558000001,41499,42.18650817871094,544,0.001,416,41600,100.0,76,0.078365758061409,,
,41899,42.211875915527344,,0.001,,42000,,,0.10107538104057312,-46.007461060000004,100.0
-45.476725280000004,,,549,,420,42000,100.0,76,,,
-44.99745904,42299,42.52699661254883,552,0.001,424,42400,100.0,76,0.06859627366065979,,
,42399,42.41085433959961,,0.001,,42500,,,0.1111549437046051,-45.888580360000006,100.0
-44.61060545,42699,42.510223388671875,558,0.001,428,42800,100.0,76,0.08453191816806793,,
,42899,43.02439880371094,,0.001,,43000,,,0.07204827666282654,-44.834172560000006,100.0
-44.35944211,43099,42.86481857299805,564,0.001,432,43200,100.0,76,0.08966444432735443,,
,43399,43.171424865722656,,0.001,,43500,,,0.09001384675502777,-47.4186176,100.0
-44.552375229999996,43499,43.06441879272461,570,0.001,436,43600,100.0,76,0.11277857422828674,,
,43899,43.264278411865234,,0.001,,44000,,,0.08741916716098785,-44.92874188,100.0
-44.66993239000001,,,576,,440,44000,100.0,76,,,
-44.626287569999995,44299,43.0600700378418,578,0.001,444,44400,100.0,76,0.1314583271741867,,
,44399,43.27100372314453,,0.001,,44500,,,0.06832659244537354,-44.41378616,100.0
-44.438016850000004,44699,43.71550369262695,584,0.001,448,44800,100.0,76,0.08715677261352539,,
,44899,43.83133316040039,,0.001,,45000,,,0.08707711100578308,-45.23480438000001,100.0
-44.53947018000001,45099,43.59504699707031,590,0.001,452,45200,100.0,76,0.08517667651176453,,
,45399,43.89702606201172,,0.001,,45500,,,0.08368011564016342,-44.66732322,100.0
-44.43677489999999,45499,43.69447326660156,596,0.001,456,45600,100.0,76,0.1760425567626953,,
,45899,44.19879913330078,,0.001,,46000,,,0.07188786566257477,-44.65959248,100.0
-44.24518729999999,,,602,,460,46000,100.0,76,,,
-44.33811795999999,46299,44.154815673828125,604,0.001,464,46400,100.0,76,0.08709579706192017,,
,46399,44.36532211303711,,0.001,,46500,,,0.09542945772409439,-52.54206593999999,100.0
-44.45881251000001,46699,44.68584442138672,610,0.001,468,46800,100.0,76,0.1084924042224884,,
,46899,44.54446029663086,,0.001,,47000,,,0.18211835622787476,-46.88645932,100.0
