train/learning_rate,train/n_updates,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/actor_loss,time/total_timesteps,train/ent_coef,train/critic_loss,train/ent_coef_loss,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.0003,13013,64,-126.66230834375,204.90625,17,-9.870920181274414,13114,0.0272056981921196,1.8202017545700073,-14.652478218078613,766,,
0.0003,13368,68,-120.29995710294116,198.0735294117647,17,-9.0730619430542,13469,0.025028526782989502,2.4384264945983887,-14.610960006713867,769,,
0.0003,13399,,,,,-9.326095581054688,13500,0.024849068373441696,3.340059280395508,-12.454202651977539,,-38.88060958,392.82
0.0003,13899,,,,,-8.580591201782227,14000,0.022204771637916565,1.9878488779067993,-12.553559303283691,,-16.370673279999995,282.54
0.0003,14399,,,,,-7.842463970184326,14500,0.019951991736888885,1.4579724073410034,-10.415639877319336,,-31.781704820000005,217.44
0.0003,14717,72,-117.61989334722223,205.80555555555554,17,-6.776702880859375,14818,0.018682917580008507,1.669182300567627,-10.402986526489258,825,,
0.0003,14899,,,,,-7.030264377593994,15000,0.018034569919109344,1.575812816619873,-8.598529815673828,,-35.47371478,373.62
0.0003,15399,,,,,-6.677472114562988,15500,0.01641075313091278,1.9741742610931396,-6.297325134277344,,-24.484983000000003,306.28
0.0003,15899,,,,,-6.052159786224365,16000,0.015041355974972248,2.061556339263916,-7.125797271728516,,-21.592095999999998,590.52
0.0003,15909,76,-110.96986097368422,210.6578947368421,17,-5.199341773986816,16010,0.015017383731901646,1.4137450456619263,-4.641862869262695,898,,
0.0003,16399,,,,,-5.39094877243042,16500,0.01395631954073906,1.2519357204437256,-2.8155925273895264,,25.985996420000003,423.5
0.0003,16899,,,,,-5.261850357055664,17000,0.013132434338331223,1.424389362335205,-1.4289478063583374,,7.872532699999999,248.48
0.0003,17399,,,,,-4.554946422576904,17500,0.012515268288552761,1.2374267578125,-1.9603948593139648,,49.7375276,477.58
0.0003,17510,80,-104.4194265875,220.1375,18,-4.480767250061035,17611,0.012376895174384117,1.2494392395019531,-1.7885091304779053,969,,
0.0003,17899,,,,,-4.424920558929443,18000,0.012062571942806244,1.561997652053833,-0.1447659581899643,,61.77483786,373.72
0.0003,18399,,,,,-3.8481040000915527,18500,0.011894658207893372,1.3589653968811035,-2.066493034362793,,52.435538320000006,384.02
0.0003,18884,84,-97.97048649999999,226.01190476190476,18,-4.835613250732422,18985,0.011782856658101082,1.1871497631072998,-1.3667564392089844,1018,,
0.0003,18899,,,,,-3.988003730773926,19000,0.011771063320338726,1.7668843269348145,0.023116111755371094,,65.25088697999999,479.26
0.0003,19399,,,,,-4.055066108703613,19500,0.011663527227938175,1.7869155406951904,0.8701058626174927,,105.67620922000002,454.9
0.0003,19899,,,,,-4.206284523010254,20000,0.01183109451085329,1.3672027587890625,-0.570708155632019,,80.42199862000001,452.38
0.0003,20399,,,,,-4.324329853057861,20500,0.011788600124418736,1.2962195873260498,0.33797940611839294,,103.91310833999998,482.2
0.0003,20671,88,-88.78364234090908,236.04545454545453,18,-4.084012031555176,20772,0.011887275613844395,1.2190396785736084,0.05780330300331116,1125,,
0.0003,20899,,,,,-4.568925857543945,21000,0.011900541372597218,1.1266732215881348,1.613612413406372,,173.94086632,594.8
0.0003,21399,,,,,-4.561644554138184,21500,0.01199350692331791,1.4984869956970215,0.44851139187812805,,161.80032476,492.26
0.0003,21899,,,,,-4.096652030944824,22000,0.011967805214226246,1.0560073852539062,0.7374691963195801,,181.31662540000002,550.5
0.0003,22399,,,,,-4.6547040939331055,22500,0.012141434475779533,1.1490243673324585,1.8316974639892578,,142.67303286,449.78
0.0003,22899,,,,,-4.595826148986816,23000,0.012012336403131485,1.3350622653961182,-0.6198442578315735,,156.31662654,459.28
0.0003,23399,,,,,-5.021726608276367,23500,0.01217128150165081,1.1252673864364624,0.2478402554988861,,215.56329582,581.54
0.0003,23426,92,-80.02141922826087,255.72826086956522,18,-4.296772480010986,23527,0.012160856276750565,1.0839030742645264,1.6787306070327759,1303,,
0.0003,23899,,,,,-5.101449966430664,24000,0.012424258515238762,1.2339096069335938,0.22179344296455383,,252.56602020000003,637.58
0.0003,24399,,,,,-4.491995811462402,24500,0.012432578951120377,1.2960567474365234,-1.5881447792053223,,208.72078822,564.4
0.0003,24882,96,-71.42355745833333,260.2395833333333,18,-4.949856758117676,24983,0.012576005421578884,1.1424590349197388,0.9308360815048218,1375,,
0.0003,24899,,,,,-5.591249465942383,25000,0.012553699314594269,1.3527145385742188,0.9296166896820068,,240.65174824,619.04
0.0003,25399,,,,,-5.652562141418457,25500,0.01259145699441433,1.4278944730758667,-0.8515441417694092,,217.10976087999995,587.14
0.0003,25899,,,,,-6.099469184875488,26000,0.012581774964928627,1.227720856666565,-1.2383557558059692,,280.69812793999995,730.54
0.0003,26222,100,-63.5423719,263.23,17,-5.627616882324219,26323,0.012600507587194443,1.7332439422607422,-0.6008784770965576,1480,,
0.0003,26399,,,,,-6.595974922180176,26500,0.012720806524157524,1.7606329917907715,-1.59443998336792,,224.19142534,574.38
0.0003,26899,,,,,-6.568245887756348,27000,0.012747329659759998,1.2686108350753784,-0.10935372114181519,,315.39474866,645.76
0.0003,27399,,,,,-6.622055530548096,27500,0.012799615040421486,1.341577410697937,-0.6547880172729492,,287.90712112,686.32
0.0003,27899,,,,,-7.155122756958008,28000,0.013020256534218788,1.2095448970794678,0.17749223113059998,,259.75304892,596.62
0.0003,28399,,,,,-7.630499839782715,28500,0.013031275011599064,1.18484365940094,0.3268730640411377,,294.93038822,630.12
0.0003,28893,104,-54.34780925,288.16,17,-7.639063835144043,28994,0.013114631175994873,1.3039829730987549,0.5614042282104492,1657,,
0.0003,28899,,,,,-7.644559383392334,29000,0.013090502470731735,1.0869758129119873,0.9978866577148438,,295.1230889,699.86
0.0003,29399,,,,,-7.759142875671387,29500,0.01334750559180975,1.8705861568450928,0.8543349504470825,,206.80461334000003,525.3
0.0003,29553,108,-51.92948777000001,291.46,17,-7.828660011291504,29654,0.013274924829602242,1.38468337059021,-0.4935702681541443,1723,,
0.0003,29899,,,,,-8.201618194580078,30000,0.013378332369029522,1.4254792928695679,-1.5962927341461182,,267.3565955,624.1
0.0003,30399,,,,,-8.521361351013184,30500,0.013179628178477287,1.8367847204208374,0.79471755027771,,304.92206914,709.08
0.0003,30899,,,,,-9.419516563415527,31000,0.013442451134324074,1.7592302560806274,0.5338229537010193,,241.90751226,520.0
0.0003,31399,,,,,-9.241264343261719,31500,0.013410938903689384,1.9884254932403564,0.017880603671073914,,249.92567358,524.14
