train/critic_loss,time/total_timesteps,train/actor_loss,eval/mean_ep_length,train/learning_rate,train/n_updates,eval/mean_reward,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed
43.50887680053711,790500,-3158.857421875,1000.0,0.001,790399,36465.43918866,,,,,
19.741483688354492,791000,-3154.59130859375,1000.0,0.001,790899,36465.43918866,,,,,
44.004600524902344,791500,-3158.36572265625,1000.0,0.001,791399,36465.43918866,,,,,
17.594085693359375,792000,-3156.06201171875,1000.0,0.001,791899,36465.43918866,,,,,
,792000,,,,,,36502.72373351001,8,1000.0,792,95950
24.229049682617188,792500,-3156.9140625,1000.0,0.001,792399,36465.43918866,,,,,
22.51408576965332,793000,-3161.400634765625,1000.0,0.001,792899,36465.43918866,,,,,
33.80271530151367,793500,-3165.86328125,1000.0,0.001,793399,36465.43918866,,,,,
109.17665100097656,794000,-3167.820068359375,1000.0,0.001,793899,36465.43918866,,,,,
28.023788452148438,794500,-3152.676513671875,1000.0,0.001,794399,36465.43918866,,,,,
24.649993896484375,795000,-3166.9462890625,1000.0,0.001,794899,36465.43918866,,,,,
136.31671142578125,795500,-3156.911376953125,1000.0,0.001,795399,36465.43918866,,,,,
32.120941162109375,796000,-3167.29150390625,1000.0,0.001,795899,36465.43918866,,,,,
,796000,,,,,,36496.35004030001,8,1000.0,796,96425
20.90566635131836,796500,-3164.951171875,1000.0,0.001,796399,36465.43918866,,,,,
64.21114349365234,797000,-3159.494140625,1000.0,0.001,796899,36465.43918866,,,,,
21.303007125854492,797500,-3161.8740234375,1000.0,0.001,797399,36465.43918866,,,,,
73.08251953125,798000,-3159.02880859375,1000.0,0.001,797899,36465.43918866,,,,,
17.31659698486328,798500,-3168.5458984375,1000.0,0.001,798399,36465.43918866,,,,,
32.54986572265625,799000,-3162.74609375,1000.0,0.001,798899,36465.43918866,,,,,
29.308391571044922,799500,-3156.739501953125,1000.0,0.001,799399,36465.43918866,,,,,
15.958385467529297,800000,-3157.10107421875,1000.0,0.001,799899,36465.43918866,,,,,
,800000,,,,,,36489.08082642,8,1000.0,800,96900
141.64752197265625,800500,-3154.718505859375,1000.0,0.001,800399,36465.43918866,,,,,
40.61689758300781,801000,-3159.72998046875,1000.0,0.001,800899,36465.43918866,,,,,
15.40214729309082,801500,-3165.4814453125,1000.0,0.001,801399,36465.43918866,,,,,
75.35604095458984,802000,-3159.441650390625,1000.0,0.001,801899,36465.43918866,,,,,
81.87211608886719,802500,-3158.353515625,1000.0,0.001,802399,36465.43918866,,,,,
17.382808685302734,803000,-3155.355712890625,1000.0,0.001,802899,36465.43918866,,,,,
44.554100036621094,803500,-3152.870361328125,1000.0,0.001,803399,36465.43918866,,,,,
64.600341796875,804000,-3156.76123046875,1000.0,0.001,803899,36465.43918866,,,,,
,804000,,,,,,36492.26157751,8,1000.0,804,97375
53.427730560302734,804500,-3174.025390625,1000.0,0.001,804399,36465.43918866,,,,,
11.930906295776367,805000,-3152.451416015625,1000.0,0.001,804899,36465.43918866,,,,,
52.851863861083984,805500,-3156.736328125,1000.0,0.001,805399,36465.43918866,,,,,
86.87240600585938,806000,-3157.073974609375,1000.0,0.001,805899,36465.43918866,,,,,
23.005752563476562,806500,-3157.912353515625,1000.0,0.001,806399,36465.43918866,,,,,
32.80712127685547,807000,-3163.8896484375,1000.0,0.001,806899,36465.43918866,,,,,
60.249576568603516,807500,-3156.071044921875,1000.0,0.001,807399,36465.43918866,,,,,
65.63687896728516,808000,-3158.03515625,1000.0,0.001,807899,36465.43918866,,,,,
,808000,,,,,,36493.88061396,8,1000.0,808,97848
29.619474411010742,808500,-3159.55126953125,1000.0,0.001,808399,36465.43918866,,,,,
35.210819244384766,809000,-3154.64013671875,1000.0,0.001,808899,36465.43918866,,,,,
63.032012939453125,809500,-3162.447265625,1000.0,0.001,809399,36465.43918866,,,,,
22.42211151123047,810000,-3167.0126953125,1000.0,0.001,809899,36465.43918866,,,,,
18.05398941040039,810500,-3154.634765625,1000.0,0.001,810399,36465.43918866,,,,,
24.46462631225586,811000,-3159.560546875,1000.0,0.001,810899,36465.43918866,,,,,
182.82493591308594,811500,-3159.826171875,1000.0,0.001,811399,36465.43918866,,,,,
20.127044677734375,812000,-3156.458251953125,1000.0,0.001,811899,36465.43918866,,,,,
,812000,,,,,,36490.052408760006,8,1000.0,812,98324
27.796859741210938,812500,-3165.15673828125,1000.0,0.001,812399,36465.43918866,,,,,
26.56485939025879,813000,-3158.836181640625,1000.0,0.001,812899,36465.43918866,,,,,
26.951744079589844,813500,-3156.147705078125,1000.0,0.001,813399,36465.43918866,,,,,
50.84548568725586,814000,-3165.78173828125,1000.0,0.001,813899,36465.43918866,,,,,
18.843812942504883,814500,-3155.1630859375,1000.0,0.001,814399,36465.43918866,,,,,
49.724571228027344,815000,-3161.8974609375,1000.0,0.001,814899,36465.43918866,,,,,
54.252342224121094,815500,-3166.87841796875,1000.0,0.001,815399,36465.43918866,,,,,
19.587059020996094,816000,-3153.0478515625,1000.0,0.001,815899,36465.43918866,,,,,
,816000,,,,,,36485.85061063,8,1000.0,816,98799
18.284725189208984,816500,-3159.166259765625,1000.0,0.001,816399,36465.43918866,,,,,
53.3460578918457,817000,-3154.400390625,1000.0,0.001,816899,36465.43918866,,,,,
396.365478515625,817500,-3158.388671875,1000.0,0.001,817399,36465.43918866,,,,,
23.866191864013672,818000,-3157.8671875,1000.0,0.001,817899,36465.43918866,,,,,
22.3773193359375,818500,-3160.40478515625,1000.0,0.001,818399,36465.43918866,,,,,
39.75058364868164,819000,-3154.13330078125,1000.0,0.001,818899,36465.43918866,,,,,
21.171199798583984,819500,-3162.2626953125,1000.0,0.001,819399,36465.43918866,,,,,
47.15095520019531,820000,-3151.7041015625,1000.0,0.001,819899,36465.43918866,,,,,
,820000,,,,,,36484.86122219,8,1000.0,820,99279
26.024723052978516,820500,-3159.7900390625,1000.0,0.001,820399,36465.43918866,,,,,
18.591493606567383,821000,-3158.452880859375,1000.0,0.001,820899,36465.43918866,,,,,
22.747196197509766,821500,-3156.761474609375,1000.0,0.001,821399,36465.43918866,,,,,
24.63611602783203,822000,-3156.4853515625,1000.0,0.001,821899,36465.43918866,,,,,
20.88836669921875,822500,-3165.7392578125,1000.0,0.001,822399,36465.43918866,,,,,
39.31296157836914,823000,-3162.046875,1000.0,0.001,822899,36465.43918866,,,,,
95.31178283691406,823500,-3155.49462890625,1000.0,0.001,823399,36465.43918866,,,,,
35.92237091064453,824000,-3159.759765625,1000.0,0.001,823899,36465.43918866,,,,,
,824000,,,,,,36491.44026167,8,1000.0,824,99766
22.464067459106445,824500,-3162.2998046875,1000.0,0.001,824399,36465.43918866,,,,,
35.48059844970703,825000,-3164.789306640625,1000.0,0.001,824899,36465.43918866,,,,,
73.63196563720703,825500,-3167.53955078125,1000.0,0.001,825399,36465.43918866,,,,,
47.25979995727539,826000,-3165.367431640625,1000.0,0.001,825899,36465.43918866,,,,,
10.840653419494629,826500,-3168.368408203125,1000.0,0.001,826399,36465.43918866,,,,,
18.936565399169922,827000,-3158.260986328125,1000.0,0.001,826899,36465.43918866,,,,,
25.294601440429688,827500,-3155.95361328125,1000.0,0.001,827399,36465.43918866,,,,,
37.82957458496094,828000,-3153.1474609375,1000.0,0.001,827899,36465.43918866,,,,,
,828000,,,,,,36487.260783679994,8,1000.0,828,100248
13.447959899902344,828500,-3154.94677734375,1000.0,0.001,828399,36465.43918866,,,,,
53.887451171875,829000,-3172.234375,1000.0,0.001,828899,36465.43918866,,,,,
21.381628036499023,829500,-3157.00830078125,1000.0,0.001,829399,36465.43918866,,,,,
57.038841247558594,830000,-3162.859130859375,1000.0,0.001,829899,36465.43918866,,,,,
1355.973388671875,830500,-3155.161865234375,1000.0,0.001,830399,36465.43918866,,,,,
57.631404876708984,831000,-3153.78759765625,1000.0,0.001,830899,36465.43918866,,,,,
24.55423927307129,831500,-3162.669189453125,1000.0,0.001,831399,36465.43918866,,,,,
17.169490814208984,832000,-3156.74853515625,1000.0,0.001,831899,36465.43918866,,,,,
,832000,,,,,,36494.83573593,8,1000.0,832,100721
29.174579620361328,832500,-3151.659423828125,1000.0,0.001,832399,36465.43918866,,,,,
31.222339630126953,833000,-3158.062255859375,1000.0,0.001,832899,36465.43918866,,,,,
115.78038787841797,833500,-3147.900146484375,1000.0,0.001,833399,36465.43918866,,,,,
381.80609130859375,834000,-3168.779541015625,1000.0,0.001,833899,36465.43918866,,,,,
56.53919982910156,834500,-3156.981201171875,1000.0,0.001,834399,36465.43918866,,,,,
58.98084259033203,835000,-3158.314208984375,1000.0,0.001,834899,36465.43918866,,,,,
48.265865325927734,835500,-3153.253173828125,1000.0,0.001,835399,36465.43918866,,,,,
41.867549896240234,836000,-3148.268798828125,1000.0,0.001,835899,36465.43918866,,,,,
,836000,,,,,,36483.29046953999,8,1000.0,836,101192
214.47918701171875,836500,-3155.3798828125,1000.0,0.001,836399,36465.43918866,,,,,
30.101177215576172,837000,-3157.39208984375,1000.0,0.001,836899,36465.43918866,,,,,
96.66456604003906,837500,-3174.94775390625,1000.0,0.001,837399,36465.43918866,,,,,
35.579872131347656,838000,-3153.35205078125,1000.0,0.001,837899,36465.43918866,,,,,
20.854488372802734,838500,-3156.180908203125,1000.0,0.001,838399,36465.43918866,,,,,
60.74687194824219,839000,-3152.541259765625,1000.0,0.001,838899,36465.43918866,,,,,
39.39753723144531,839500,-3153.634521484375,1000.0,0.001,839399,36465.43918866,,,,,
24.504085540771484,840000,-3157.619140625,1000.0,0.001,839899,36465.43918866,,,,,
,840000,,,,,,36492.47540244,8,1000.0,840,101662
19.23855209350586,840500,-3158.997802734375,1000.0,0.001,840399,36465.43918866,,,,,
20.03811264038086,841000,-3164.39794921875,1000.0,0.001,840899,36465.43918866,,,,,
46.556060791015625,841500,-3159.904296875,1000.0,0.001,841399,36465.43918866,,,,,
57.680419921875,842000,-3158.14013671875,1000.0,0.001,841899,36465.43918866,,,,,
21.5946044921875,842500,-3162.89453125,1000.0,0.001,842399,36465.43918866,,,,,
26.869815826416016,843000,-3155.677734375,1000.0,0.001,842899,36465.43918866,,,,,
57.98461151123047,843500,-3163.373046875,1000.0,0.001,843399,36465.43918866,,,,,
