train/critic_loss,eval/mean_ep_length,train/actor_loss,time/total_timesteps,train/learning_rate,eval/mean_reward,train/n_updates,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/episodes
217.75872802734375,1000.0,-3011.12255859375,69500,0.001,39629.232451840006,69399,,,,,
503.47802734375,1000.0,-3020.7470703125,70000,0.001,39629.232451840006,69899,,,,,
305.6187744140625,1000.0,-2960.843017578125,70500,0.001,39629.232451840006,70399,,,,,
284.22906494140625,1000.0,-2949.082275390625,71000,0.001,39629.232451840006,70899,,,,,
210.07571411132812,1000.0,-3014.6298828125,71500,0.001,39629.232451840006,71399,,,,,
260.481201171875,1000.0,-2965.542724609375,72000,0.001,39629.232451840006,71899,,,,,
,,,72000,,,,1000.0,8443,39575.818711472224,8,72
418.6014404296875,1000.0,-3056.51220703125,72500,0.001,39629.232451840006,72399,,,,,
156.7062530517578,1000.0,-3157.681640625,73000,0.001,39629.232451840006,72899,,,,,
360.1903076171875,1000.0,-3161.744140625,73500,0.001,39629.232451840006,73399,,,,,
683.7239990234375,1000.0,-3062.73583984375,74000,0.001,39629.232451840006,73899,,,,,
715.2254028320312,1000.0,-3150.2158203125,74500,0.001,39629.232451840006,74399,,,,,
84.5802001953125,1000.0,-3184.13916015625,75000,0.001,39629.232451840006,74899,,,,,
502.10382080078125,1000.0,-3089.1669921875,75500,0.001,39629.232451840006,75399,,,,,
428.2479553222656,1000.0,-3139.05029296875,76000,0.001,39629.232451840006,75899,,,,,
,,,76000,,,,1000.0,8860,39760.56662992105,8,76
354.560546875,1000.0,-3118.85888671875,76500,0.001,39629.232451840006,76399,,,,,
174.12307739257812,1000.0,-3186.4384765625,77000,0.001,39629.232451840006,76899,,,,,
134.57997131347656,1000.0,-3199.14208984375,77500,0.001,39629.232451840006,77399,,,,,
255.85110473632812,1000.0,-3074.689697265625,78000,0.001,39629.232451840006,77899,,,,,
318.419677734375,1000.0,-3301.7841796875,78500,0.001,39629.232451840006,78399,,,,,
119.4095458984375,1000.0,-3142.35595703125,79000,0.001,39629.232451840006,78899,,,,,
196.4691162109375,1000.0,-3144.246337890625,79500,0.001,39629.232451840006,79399,,,,,
148.79495239257812,1000.0,-3182.801513671875,80000,0.001,39629.232451840006,79899,,,,,
,,,80000,,,,1000.0,9278,39555.608097200005,8,80
