rollout/ep_len_mean,train/ent_coef_loss,time/fps,train/actor_loss,rollout/ep_rew_mean,time/episodes,train/ent_coef,time/total_timesteps,train/critic_loss,time/time_elapsed,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
,-19.88435173034668,,-2.3929738998413086,,,0.05764119327068329,10000,0.014225762337446213,,9899,0.0003,100.0,-40.84873892
100.0,,36,,-109.59252685,100,,10000,,273,,,,
100.0,-19.497238159179688,37,-1.345307469367981,-106.35552970999998,104,0.05184055119752884,10400,0.017984047532081604,278,10299,0.0003,,
,-19.318132400512695,,-0.9646094441413879,,,0.050489094108343124,10500,0.01495386939495802,,10399,0.0003,100.0,-41.739276499999995
100.0,-19.92621612548828,37,-0.02410144731402397,-102.82061506,108,0.04664361849427223,10800,0.017945870757102966,291,10699,0.0003,,
,-19.734771728515625,,0.541948676109314,,,0.0442509688436985,11000,0.016021238639950752,,10899,0.0003,100.0,-42.74625368
100.0,-19.047285079956055,36,0.8376951217651367,-98.92306019000002,112,0.04199216887354851,11200,0.01560680940747261,303,11099,0.0003,,
,-19.482589721679688,,2.017566680908203,,,0.03883197531104088,11500,0.0207199864089489,,11399,0.0003,100.0,-40.98655214
100.0,-18.63585090637207,36,2.230917453765869,-95.16472259999996,116,0.03784045949578285,11600,0.018533185124397278,313,11499,0.0003,,
,-17.967580795288086,,3.31095027923584,,,0.03413922339677811,12000,0.01795714534819126,,11899,0.0003,100.0,-40.018111919999996
100.0,,37,,-91.30753152999999,120,,12000,,322,,,,
100.0,-17.83383560180664,37,4.338742733001709,-87.90380293,124,0.030845995992422104,12400,0.015115644782781601,326,12299,0.0003,,
,-16.701274871826172,,4.587637901306152,,,0.030081650242209435,12500,0.01780402474105358,,12399,0.0003,100.0,-41.9562119
100.0,-16.146167755126953,38,5.062115669250488,-84.04053851000002,128,0.027908187359571457,12800,0.014008093625307083,335,12699,0.0003,,
,-15.977726936340332,,5.582635879516602,,,0.026555469259619713,13000,0.015483537688851357,,12899,0.0003,100.0,-39.927113
100.0,-15.656327247619629,38,6.116443157196045,-80.63851785,132,0.02527935430407524,13200,0.012918563559651375,343,13099,0.0003,,
,-14.105964660644531,,6.623147010803223,,,0.023496825248003006,13500,0.014725187793374062,,13399,0.0003,100.0,-38.820209379999994
100.0,-13.87986946105957,38,7.008749008178711,-77.45317745,136,0.022938691079616547,13600,0.015860820189118385,352,13499,0.0003,,
,-13.231225967407227,,7.889667510986328,,,0.02085702493786812,14000,0.011469931341707706,,13899,0.0003,100.0,-38.21658108
100.0,,38,,-74.20912415999999,140,,14000,,360,,,,
100.0,-12.51651382446289,39,8.69922924041748,-71.18057289,144,0.019000360742211342,14400,0.01285790279507637,364,14299,0.0003,,
,-12.951704025268555,,8.827430725097656,,,0.018570978194475174,14500,0.012932667508721352,,14399,0.0003,100.0,-37.687814440000004
100.0,-11.926315307617188,39,9.525299072265625,-68.34996749,148,0.01735050231218338,14800,0.013973998837172985,372,14699,0.0003,,
,-11.713794708251953,,9.786791801452637,,,0.01659952662885189,15000,0.013268887996673584,,14899,0.0003,100.0,-37.56592174
100.0,-10.050695419311523,39,10.126004219055176,-65.65424948,152,0.015891989693045616,15200,0.015076973475515842,381,15099,0.0003,,
,-9.20603084564209,,10.577285766601562,,,0.01490663643926382,15500,0.015392966568470001,,15399,0.0003,100.0,-37.11708066
100.0,-10.237250328063965,40,10.622159957885742,-63.18774025999999,156,0.014595769345760345,15600,0.013750681653618813,389,15499,0.0003,,
,-8.188987731933594,,11.595479011535645,,,0.013450228609144688,16000,0.015038114972412586,,15899,0.0003,100.0,-37.60645192
100.0,,40,,-60.732692490000005,160,,16000,,398,,,,
100.0,-7.367032051086426,40,12.225492477416992,-58.429897999999994,164,0.01243408489972353,16400,0.013225468806922436,401,16299,0.0003,,
,-6.983297348022461,,12.063125610351562,,,0.012200037017464638,16500,0.014308641664683819,,16399,0.0003,100.0,-38.22569056
100.0,-6.432255268096924,40,12.8623685836792,-56.310051650000005,168,0.011552262119948864,16800,0.013785191811621189,410,16699,0.0003,,
,-5.259693145751953,,13.0256929397583,,,0.011156135238707066,17000,0.010784114710986614,,16899,0.0003,100.0,-37.263604259999994
100.0,-5.501461982727051,41,13.35010051727295,-54.48272589000001,172,0.01078412402421236,17200,0.011235799640417099,418,17099,0.0003,,
,-3.907620906829834,,13.843660354614258,,,0.010269626043736935,17500,0.010581930167973042,,17399,0.0003,100.0,-37.2359373
100.0,-3.0829925537109375,41,13.801405906677246,-53.04942005,176,0.010113057680428028,17600,0.011668240651488304,427,17499,0.0003,,
,-3.1955177783966064,,14.28519058227539,,,0.009548106230795383,18000,0.009395217522978783,,17899,0.0003,100.0,-37.54632576
100.0,,41,,-51.792288989999996,180,,18000,,435,,,,
100.0,-2.2856502532958984,41,15.06631851196289,-50.468105179999995,184,0.00908155832439661,18400,0.012516678310930729,439,18299,0.0003,,
,-3.615424156188965,,15.124616622924805,,,0.008969200775027275,18500,0.012705420143902302,,18399,0.0003,100.0,-37.89065232
100.0,-0.19198045134544373,41,15.398283004760742,-49.36944958,188,0.008679425343871117,18800,0.01125335693359375,447,18699,0.0003,,
,-1.429807186126709,,15.986371994018555,,,0.00852881744503975,19000,0.010155430994927883,,18899,0.0003,100.0,-39.07818392
100.0,0.12394428253173828,42,16.180404663085938,-48.31188095,192,0.00838119350373745,19200,0.011897784657776356,456,19099,0.0003,,
,-2.4582064151763916,,16.29515838623047,,,0.008178548887372017,19500,0.009710301645100117,,19399,0.0003,100.0,-39.02977904
100.0,0.08200707286596298,42,16.52682876586914,-47.528712639999995,196,0.008120101876556873,19600,0.011377707123756409,464,19499,0.0003,,
,-0.8727970719337463,,17.151386260986328,,,0.007922787219285965,20000,0.011541725136339664,,19899,0.0003,100.0,-38.41964762
100.0,,42,,-46.623357380000016,200,,20000,,473,,,,
100.0,0.1655365526676178,42,17.53294563293457,-45.690388989999995,204,0.0078072454780340195,20400,0.010331641882658005,477,20299,0.0003,,
,0.8853228092193604,,17.6033935546875,,,0.007790555711835623,20500,0.009066187776625156,,20399,0.0003,100.0,-38.6863822
100.0,0.8190919756889343,42,18.196643829345703,-44.72086494,208,0.007758713327348232,20800,0.0113088833168149,485,20699,0.0003,,
,0.08523416519165039,,18.159011840820312,,,0.007756989914923906,21000,0.010708017274737358,,20899,0.0003,100.0,-38.20195538
100.0,-0.5161606073379517,42,18.387239456176758,-44.18849859,212,0.007765894755721092,21200,0.010160144418478012,494,21099,0.0003,,
,-1.3424217700958252,,18.966598510742188,,,0.007767419796437025,21500,0.011272836476564407,,21399,0.0003,100.0,-38.913139019999996
100.0,0.903904914855957,42,19.049381256103516,-43.54971111999999,216,0.00775730749592185,21600,0.0151072908192873,502,21499,0.0003,,
,-1.0477091073989868,,19.351497650146484,,,0.00777608435600996,22000,0.011923877522349358,,21899,0.0003,100.0,-39.05180064
100.0,,43,,-43.135524800000006,220,,22000,,511,,,,
100.0,0.18659630417823792,43,19.826534271240234,-42.734814189999994,224,0.007725480943918228,22400,0.010146506130695343,514,22299,0.0003,,
,-0.48941636085510254,,19.892255783081055,,,0.0077092451974749565,22500,0.010578405112028122,,22399,0.0003,100.0,-38.9212826
100.0,0.8768775463104248,43,20.390399932861328,-42.39388603,228,0.0077275848016142845,22800,0.012006648816168308,523,22699,0.0003,,
,2.2432541847229004,,20.275779724121094,,,0.0077161043882369995,23000,0.009682921692728996,,22899,0.0003,100.0,-37.417948620000004
100.0,-0.6416616439819336,43,20.74649429321289,-42.13389073999999,232,0.00769802276045084,23200,0.011574575677514076,531,23099,0.0003,,
,1.5087344646453857,,20.98117446899414,,,0.007658035960048437,23500,0.01246443297713995,,23399,0.0003,100.0,-38.22491044
100.0,-0.15954701602458954,43,20.85131072998047,-41.8083871,236,0.007683965843170881,23600,0.011115058325231075,540,23499,0.0003,,
,1.4442663192749023,,21.38858413696289,,,0.007662477437406778,24000,0.016674567013978958,,23899,0.0003,100.0,-37.42494388
100.0,,43,,-41.89116267,240,,24000,,548,,,,
100.0,3.422759532928467,44,22.014087677001953,-41.72654041,244,0.007676209323108196,24400,0.015832385048270226,552,24299,0.0003,,
,1.4315897226333618,,21.977550506591797,,,0.00770505191758275,24500,0.013491343706846237,,24399,0.0003,100.0,-38.83137979999999
100.0,2.5452146530151367,44,22.08582305908203,-41.60419807,248,0.007657674606889486,24800,0.013950962573289871,561,24699,0.0003,,
,-0.43767690658569336,,22.479145050048828,,,0.007609441410750151,25000,0.014077342115342617,,24899,0.0003,100.0,-41.41744568
100.0,-0.7668072581291199,44,22.555885314941406,-41.3511,252,0.007603609003126621,25200,0.010523051954805851,569,25099,0.0003,,
,0.7017731070518494,,22.843372344970703,,,0.007558638695627451,25500,0.014213647693395615,,25399,0.0003,100.0,-38.660521960000004
100.0,1.8082334995269775,44,22.695627212524414,-41.31359582000001,256,0.00752984220162034,25600,0.014238237403333187,578,25499,0.0003,,
,-1.5366398096084595,,22.873966217041016,,,0.0075246659107506275,26000,0.01750994101166725,,25899,0.0003,100.0,-38.56626054
100.0,,44,,-41.063530199999995,260,,26000,,586,,,,
100.0,0.8485167026519775,44,23.494300842285156,-41.627835590000004,264,0.007524971384555101,26400,0.015544762834906578,590,26299,0.0003,,
,0.24132317304611206,,23.547792434692383,,,0.00753178121522069,26500,0.017832785844802856,,26399,0.0003,100.0,-47.735991860000006
100.0,-0.09624090790748596,44,23.63981056213379,-41.507343709999994,268,0.007513122167438269,26800,0.018073227256536484,598,26699,0.0003,,
,0.2037363052368164,,23.93328094482422,,,0.007525613531470299,27000,0.021122459322214127,,26899,0.0003,100.0,-39.90711242
100.0,0.5905452370643616,44,23.850101470947266,-41.60869835,272,0.0075858705677092075,27200,0.017695927992463112,607,27099,0.0003,,
,0.32286304235458374,,24.062458038330078,,,0.007669283542782068,27500,0.019594263285398483,,27399,0.0003,100.0,-52.80062148
100.0,0.9814485311508179,44,23.860143661499023,-41.99264805999999,276,0.007706077303737402,27600,0.01871482841670513,615,27499,0.0003,,
,-0.10232231020927429,,24.14665985107422,,,0.007841779850423336,28000,0.02287234365940094,,27899,0.0003,100.0,-48.644313200000006
100.0,,44,,-42.23157370999999,280,,28000,,624,,,,
100.0,1.561524510383606,45,24.551246643066406,-42.51541741000001,284,0.007786284200847149,28400,0.015844663605093956,627,28299,0.0003,,
,-0.00423768162727356,,24.486976623535156,,,0.007797590922564268,28500,0.026084844022989273,,28399,0.0003,100.0,-56.657231079999995
100.0,1.253546118736267,45,24.25579071044922,-43.30478942999999,288,0.007795166689902544,28800,0.020325573161244392,636,28699,0.0003,,
,-1.845412015914917,,24.18962287902832,,,0.0077823312021791935,29000,0.024273063987493515,,28899,0.0003,100.0,-63.92108822
100.0,0.6880764365196228,45,24.235876083374023,-44.104984089999995,292,0.007789675146341324,29200,0.02186593785881996,644,29099,0.0003,,
,0.48209547996520996,,24.419775009155273,,,0.00787118449807167,29500,0.023112304508686066,,29399,0.0003,100.0,-63.004957420000004
100.0,2.6278886795043945,45,24.427000045776367,-45.02085567,296,0.007912283763289452,29600,0.02969854325056076,653,29499,0.0003,,
,1.1481366157531738,,24.501529693603516,,,0.00808887928724289,30000,0.026312708854675293,,29899,0.0003,100.0,-55.28650498000001
100.0,,45,,-46.113191779999994,300,,30000,,661,,,,
100.0,-0.15513640642166138,45,24.600046157836914,-46.74122185999999,304,0.008177382871508598,30400,0.022165894508361816,665,30299,0.0003,,
,4.92906379699707,,24.225688934326172,,,0.00815298967063427,30500,0.021914586424827576,,30399,0.0003,100.0,-61.0817582
100.0,1.72773277759552,45,24.746383666992188,-47.59300242000001,308,0.008285853080451488,30800,0.02670508809387684,674,30699,0.0003,,
,-0.048804327845573425,,24.16377067565918,,,0.008350512012839317,31000,0.022308818995952606,,30899,0.0003,100.0,-50.13323394
100.0,2.047654390335083,45,24.25665283203125,-48.3089664,312,0.008358970284461975,31200,0.022286685183644295,682,31099,0.0003,,
,2.2046899795532227,,24.430679321289062,,,0.008463122881948948,31500,0.023714419454336166,,31399,0.0003,100.0,-55.760796199999994
100.0,0.15004771947860718,45,24.446273803710938,-49.129480709999996,316,0.008537125773727894,31600,0.02135026641190052,691,31499,0.0003,,
,1.7626487016677856,,24.566791534423828,,,0.008576633408665657,32000,0.021035106852650642,,31899,0.0003,100.0,-51.66288296
100.0,,45,,-49.7534279,320,,32000,,699,,,,
100.0,1.0224432945251465,46,24.371482849121094,-50.03991556,324,0.008610403165221214,32400,0.02295004203915596,702,32299,0.0003,,
,0.180550679564476,,25.048656463623047,,,0.00863411370664835,32500,0.01994812674820423,,32399,0.0003,100.0,-50.42310079999999
100.0,0.1299358606338501,46,24.690135955810547,-50.31697257999999,328,0.008612353354692459,32800,0.0225125290453434,711,32699,0.0003,,
,-1.583297848701477,,24.384239196777344,,,0.008620518259704113,33000,0.02373318374156952,,32899,0.0003,100.0,-47.58851846
100.0,0.34480294585227966,46,24.460567474365234,-50.6614659,332,0.008544480428099632,33200,0.017865393310785294,719,33099,0.0003,,
,-0.20139861106872559,,24.600177764892578,,,0.008568279445171356,33500,0.021808335557579994,,33399,0.0003,100.0,-48.25048948
100.0,1.8923828601837158,46,24.62188720703125,-50.87676083,336,0.008559005334973335,33600,0.01947147026658058,728,33499,0.0003,,
,-0.21690741181373596,,24.701839447021484,,,0.00853518396615982,34000,0.022395111620426178,,33899,0.0003,100.0,-46.0211061
100.0,,46,,-51.108656710000005,340,,34000,,736,,,,
100.0,-0.2768857181072235,46,25.223390579223633,-51.462569329999994,344,0.008459818549454212,34400,0.020657435059547424,740,34299,0.0003,,
,0.7052701711654663,,25.25302505493164,,,0.008460387587547302,34500,0.02135113812983036,,34399,0.0003,100.0,-44.926579440000005
