time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
74,164.51608472,140,57,34.57,4305,0.0003,-130.68942260742188,25.47014617919922,4204,-26.300640106201172,0.29528185725212097,,
,,,,,4500,0.0003,-126.92212677001953,33.613975524902344,4399,-26.946537017822266,0.2800399959087372,155.78516846,37.42
79,171.85067161999999,144,56,36.0,4517,0.0003,-135.3336181640625,24.410259246826172,4416,-26.328937530517578,0.2787402272224426,,
82,179.7456928,148,57,37.67,4750,0.0003,-135.9158477783203,39.276458740234375,4649,-27.082210540771484,0.26155275106430054,,
85,186.86426684999998,152,58,39.18,4977,0.0003,-136.30633544921875,35.36157989501953,4876,-28.79279899597168,0.2458333820104599,,
,,,,,5000,0.0003,-126.82958221435547,27.395111083984375,4899,-28.68170166015625,0.24428315460681915,142.19840234,34.16
90,193.54812753,156,57,40.61,5186,0.0003,-135.908935546875,36.48402404785156,5085,-28.61495018005371,0.2321164309978485,,
92,201.43338824,160,58,42.16,5408,0.0003,-137.54312133789062,38.92272186279297,5307,-29.942726135253906,0.218492791056633,,
,,,,,5500,0.0003,-138.7731475830078,40.26666259765625,5399,-29.329710006713867,0.21309120953083038,251.10932019999996,48.24
98,209.25455440000002,164,56,43.66,5624,0.0003,-142.20626831054688,36.00757598876953,5523,-31.577125549316406,0.20595799386501312,,
100,216.70331853,168,57,45.03,5827,0.0003,-138.4024658203125,35.24576950073242,5726,-31.443138122558594,0.19492760300636292,,
,,,,,6000,0.0003,-137.61614990234375,37.671226501464844,5899,-29.791427612304688,0.18606896698474884,258.13125994,49.02
107,224.08264285,172,56,46.4,6029,0.0003,-146.05441284179688,27.793922424316406,5928,-31.03137969970703,0.1846364289522171,,
109,231.13973477,176,56,47.68,6232,0.0003,-141.4010009765625,37.32634735107422,6131,-30.851423263549805,0.17482146620750427,,
112,239.2538774,180,57,49.14,6473,0.0003,-139.90060424804688,30.36475372314453,6372,-30.00398826599121,0.16390736401081085,,
,,,,,6500,0.0003,-142.8669891357422,37.85336685180664,6399,-31.481609344482422,0.16273553669452667,261.34734518,49.52
119,246.10285108,184,56,50.43,6699,0.0003,-144.3873291015625,36.506683349609375,6598,-31.063051223754883,0.15438100695610046,,
122,254.53631664000005,188,56,51.99,6951,0.0003,-135.7584991455078,38.63054656982422,6850,-30.000267028808594,0.14449511468410492,,
,,,,,7000,0.0003,-145.79920959472656,32.9476203918457,6899,-31.232501983642578,0.1426626294851303,335.92804992,66.9
130,260.53396445000004,192,54,53.25,7168,0.0003,-138.51402282714844,65.69676971435547,7067,-30.154037475585938,0.13655276596546173,,
133,265.36828231999993,196,55,54.23,7400,0.0003,-137.34524536132812,28.023231506347656,7299,-31.395828247070312,0.12841962277889252,,
,,,,,7500,0.0003,-145.20785522460938,40.3716926574707,7399,-32.31062316894531,0.12509311735630035,342.3793967600001,69.52
142,272.42990124,200,54,55.72,7692,0.0003,-151.2392578125,49.53570556640625,7591,-31.42637825012207,0.11902022361755371,,
145,278.26329224,204,54,56.89,7972,0.0003,-145.64434814453125,90.97727966308594,7871,-28.902835845947266,0.11076439917087555,,
,,,,,8000,0.0003,-141.92945861816406,36.212120056152344,7899,-29.678356170654297,0.10998091101646423,223.01874931999998,49.62
152,279.8957836,208,53,57.3,8245,0.0003,-149.82211303710938,42.861202239990234,8144,-29.59725570678711,0.10337688773870468,,
,,,,,8500,0.0003,-147.0238800048828,49.648895263671875,8399,-26.92255401611328,0.09706549346446991,410.66712056000006,80.94
163,282.98588397,212,52,58.14,8531,0.0003,-150.8535614013672,26.38397216796875,8430,-30.261695861816406,0.09634904563426971,,
165,283.21190739,216,52,57.99,8758,0.0003,-147.39639282226562,39.76384735107422,8657,-26.554035186767578,0.0910838395357132,,
,,,,,9000,0.0003,-140.85665893554688,36.26932144165039,8899,-28.389358520507812,0.0858016386628151,286.46049268,55.12
173,285.46189976,220,52,58.4,9042,0.0003,-147.94180297851562,33.41600799560547,8941,-28.06793975830078,0.08490238338708878,,
176,285.72719746,224,52,58.23,9288,0.0003,-150.13043212890625,36.081581115722656,9187,-27.03719139099121,0.07988621294498444,,
,,,,,9500,0.0003,-146.89401245117188,45.17436218261719,9399,-24.51055908203125,0.07584446668624878,296.80616582,58.98
184,289.35711798,228,51,58.82,9516,0.0003,-143.54019165039062,54.79534149169922,9415,-26.294422149658203,0.07555210590362549,,
187,297.86298893,232,52,60.4,9844,0.0003,-144.46412658691406,46.59580993652344,9743,-26.98705291748047,0.06976726651191711,,
,,,,,10000,0.0003,-153.2513427734375,61.567543029785156,9899,-25.371471405029297,0.06720168143510818,296.30649153999997,61.5
195,298.39547218999996,236,51,60.6,10114,0.0003,-148.19729614257812,38.69963073730469,10013,-25.026012420654297,0.06536159664392471,,
200,305.21957528,240,52,61.91,10496,0.0003,-141.7590789794922,38.841644287109375,10395,-23.636520385742188,0.05973321571946144,,
,,,,,10500,0.0003,-147.57952880859375,38.57936096191406,10399,-26.032222747802734,0.05968097224831581,379.0517743600001,80.54
210,308.80715622,244,51,62.89,10806,0.0003,-144.75311279296875,31.398765563964844,10705,-24.16769790649414,0.05563594773411751,,
,,,,,11000,0.0003,-151.28253173828125,35.51678466796875,10899,-22.47614097595215,0.053221359848976135,346.26858756,70.54
219,310.61835855000004,248,50,63.42,11092,0.0003,-144.347412109375,38.336036682128906,10991,-18.156414031982422,0.05211689695715904,,
