eval/mean_reward,eval/mean_ep_length,train/critic_loss,train/actor_loss,train/n_updates,time/total_timesteps,train/learning_rate,time/fps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed
872.5345407199999,1000.0,0.40632304549217224,-17.24130630493164,28399,28500,0.001,,,,,
848.8350954200001,1000.0,0.4021773934364319,-17.502056121826172,28899,29000,0.001,,,,,
813.9904463000001,960.48,0.4507288336753845,-17.38620376586914,29399,29500,0.001,,,,,
827.08562272,960.52,0.430216908454895,-17.404090881347656,29899,30000,0.001,,,,,
859.1565947799999,1000.0,0.3731650114059448,-18.324886322021484,30399,30500,0.001,,,,,
888.1710248599999,1000.0,0.431345134973526,-17.987430572509766,30899,31000,0.001,,,,,
917.5650358,1000.0,0.3933507204055786,-17.752517700195312,31399,31500,0.001,,,,,
,,0.4267207384109497,-18.41733169555664,31564,31665,0.001,11,879.5833333333334,36,539.3873942499999,2709
918.8253868799999,1000.0,0.3660714626312256,-18.644020080566406,31899,32000,0.001,,,,,
849.9335696400001,980.44,0.39502638578414917,-18.896968841552734,32399,32500,0.001,,,,,
856.5188359,980.28,0.4725721776485443,-19.293903350830078,32899,33000,0.001,,,,,
819.3885492999999,980.42,0.5661810636520386,-19.208036422729492,33399,33500,0.001,,,,,
870.1819778400001,1000.0,0.3344205617904663,-20.094554901123047,33899,34000,0.001,,,,,
850.99774154,1000.0,0.33609771728515625,-19.705875396728516,34399,34500,0.001,,,,,
840.5642481400001,980.16,0.3475404679775238,-20.711599349975586,34899,35000,0.001,,,,,
799.9018191000001,994.88,0.4059086740016937,-20.598588943481445,35399,35500,0.001,,,,,
,,0.34848523139953613,-20.447429656982422,35564,35665,0.001,11,891.625,40,572.9377744249999,3180
790.77676706,997.36,0.3916940987110138,-20.75394058227539,35899,36000,0.001,,,,,
838.8214228599999,975.98,0.35706284642219543,-22.03558349609375,36399,36500,0.001,,,,,
827.94331808,960.52,0.33985620737075806,-21.6883602142334,36899,37000,0.001,,,,,
904.3228136000001,1000.0,0.40788939595222473,-21.6590633392334,37399,37500,0.001,,,,,
812.9812949400002,997.66,0.34785836935043335,-22.427860260009766,37899,38000,0.001,,,,,
816.6955249,991.08,0.3700721263885498,-22.59994125366211,38399,38500,0.001,,,,,
,,0.43712109327316284,-23.22521209716797,38885,38986,0.001,11,886.0454545454545,44,586.9393917045454,3532
736.52984698,1000.0,0.32930535078048706,-22.829957962036133,38899,39000,0.001,,,,,
718.6959509000001,957.2,0.36919474601745605,-23.16404914855957,39399,39500,0.001,,,,,
825.61952142,1000.0,0.4126407504081726,-23.147907257080078,39899,40000,0.001,,,,,
826.68890954,1000.0,0.3359922766685486,-23.18424415588379,40399,40500,0.001,,,,,
913.8886912400001,1000.0,0.4510307013988495,-24.043119430541992,40899,41000,0.001,,,,,
880.6992250399999,1000.0,0.39473778009414673,-24.054317474365234,41399,41500,0.001,,,,,
889.6170240599998,980.36,0.548724889755249,-24.24932098388672,41899,42000,0.001,,,,,
830.9299982399998,1000.0,0.3308632969856262,-24.336055755615234,42399,42500,0.001,,,,,
,,0.4037381112575531,-24.767513275146484,42885,42986,0.001,10,895.5416666666666,48,610.941588625,3997
845.7668301000001,978.8,0.40967458486557007,-25.255508422851562,42899,43000,0.001,,,,,
864.71819962,1000.0,0.3471236526966095,-24.595001220703125,43399,43500,0.001,,,,,
889.51686974,1000.0,0.42793381214141846,-25.053606033325195,43899,44000,0.001,,,,,
854.2516934399999,951.32,0.26281440258026123,-25.428485870361328,44399,44500,0.001,,,,,
919.8530446399999,980.24,0.3363282084465027,-26.522537231445312,44899,45000,0.001,,,,,
943.8523159199999,1000.0,0.37478017807006836,-25.623777389526367,45399,45500,0.001,,,,,
899.6185538999999,1000.0,0.4223320484161377,-25.924625396728516,45899,46000,0.001,,,,,
878.10176402,1000.0,0.36439594626426697,-25.98133087158203,46399,46500,0.001,,,,,
,,0.31284093856811523,-26.625755310058594,46885,46986,0.001,10,903.5769230769231,52,632.8218107692308,4459
903.63907348,1000.0,0.384440541267395,-26.805320739746094,46899,47000,0.001,,,,,
926.8465419400001,1000.0,0.3465955853462219,-27.206926345825195,47399,47500,0.001,,,,,
940.70017456,1000.0,0.4046187996864319,-26.95699691772461,47899,48000,0.001,,,,,
694.41010018,928.3,0.3421987295150757,-27.370216369628906,48399,48500,0.001,,,,,
897.4506537199999,1000.0,0.3092138469219208,-27.692209243774414,48899,49000,0.001,,,,,
851.5905927199998,980.22,0.31511443853378296,-28.073776245117188,49399,49500,0.001,,,,,
861.2198589400001,960.68,0.35934528708457947,-27.689605712890625,49899,50000,0.001,,,,,
778.83727288,980.2,0.3847951292991638,-27.736583709716797,50399,50500,0.001,,,,,
,,0.3735896348953247,-28.304763793945312,50885,50986,0.001,10,910.4642857142857,56,644.3830019107143,4918
819.3126632400001,977.44,0.3764019012451172,-28.406185150146484,50899,51000,0.001,,,,,
