time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,time/fps,train/actor_loss,time/total_timesteps,train/n_updates,time/episodes,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
,,0.0261953417211771,,-15.506120681762695,6000,5899,,,0.17407840490341187,-18.374704360961914,0.0003,100.0,-46.883519480000004
163,-130.62386385000002,,36,,6000,,60,100.0,,,,,
168,-128.200800796875,0.027295053005218506,37,-14.296855926513672,6400,6299,64,100.0,0.1552887111902237,-18.980426788330078,0.0003,,
,,0.027319874614477158,,-13.861480712890625,6500,6399,,,0.15093965828418732,-18.963123321533203,0.0003,100.0,-46.357667140000004
180,-126.19525752941178,0.028221972286701202,37,-12.651060104370117,6800,6699,68,100.0,0.13865381479263306,-19.4569034576416,0.0003,,
,,0.02259858325123787,,-12.232367515563965,7000,6899,,,0.131056010723114,-19.841251373291016,0.0003,100.0,-43.23335416
193,-123.88738827777777,0.019655579701066017,37,-11.564275741577148,7200,7099,72,100.0,0.12390308082103729,-20.002635955810547,0.0003,,
,,0.019216541200876236,,-10.51846981048584,7500,7399,,,0.11393531411886215,-20.580394744873047,0.0003,100.0,-43.40241158
205,-121.37935088157894,0.02072202041745186,36,-10.162437438964844,7600,7499,76,100.0,0.11080769449472427,-20.475460052490234,0.0003,,
,,0.0203328225761652,,-8.819355010986328,8000,7899,,,0.0991966500878334,-20.207122802734375,0.0003,100.0,-42.12683094
217,-118.9780398375,,36,,8000,,80,100.0,,,,,
222,-116.57766339285713,0.017320068553090096,37,-7.435610771179199,8400,8299,84,100.0,0.0888989120721817,-20.582796096801758,0.0003,,
,,0.020633110776543617,,-7.042006492614746,8500,8399,,,0.08650866895914078,-20.922388076782227,0.0003,100.0,-41.30913322000001
235,-114.13324039772728,0.018080200999975204,37,-6.1493377685546875,8800,8699,88,100.0,0.07975436747074127,-21.00100326538086,0.0003,,
,,0.018477676436305046,,-5.495983123779297,9000,8899,,,0.07556777447462082,-20.52848243713379,0.0003,100.0,-41.13514112
247,-112.07044964130435,0.01781848818063736,37,-4.69150447845459,9200,9099,92,100.0,0.07161376625299454,-20.13800811767578,0.0003,,
,,0.014379161410033703,,-3.923013210296631,9500,9399,,,0.06609366089105606,-20.262052536010742,0.0003,100.0,-40.283931179999996
259,-109.93334791666666,0.016094360500574112,36,-3.3662378787994385,9600,9499,96,100.0,0.06435178965330124,-20.70474624633789,0.0003,,
,,0.01810530573129654,,-2.259373426437378,10000,9899,,,0.05786093324422836,-19.759552001953125,0.0003,100.0,-39.82315606
272,-107.94268127,,36,,10000,,100,100.0,,,,,
277,-104.29634673000001,0.015813304111361504,37,-1.1598105430603027,10400,10299,104,100.0,0.05206840857863426,-20.004348754882812,0.0003,,
,,0.016795501112937927,,-0.607424259185791,10500,10399,,,0.05071514844894409,-19.458667755126953,0.0003,100.0,-38.52331728
289,-100.34289378,0.01625431329011917,37,-0.10384929925203323,10800,10699,108,100.0,0.046875178813934326,-19.480117797851562,0.0003,,
,,0.014853817410767078,,0.4571214020252228,11000,10899,,,0.044487327337265015,-18.800779342651367,0.0003,100.0,-39.24662268
302,-96.68289663,0.019177425652742386,37,0.9520032405853271,11200,11099,112,100.0,0.042234156280756,-18.93027114868164,0.0003,,
,,0.013655124232172966,,1.7389014959335327,11500,11399,,,0.039083003997802734,-19.254405975341797,0.0003,100.0,-37.71861752
314,-92.78831736000001,0.016302406787872314,36,2.0449931621551514,11600,11499,116,100.0,0.03809216246008873,-17.755775451660156,0.0003,,
,,0.013650506734848022,,3.2731075286865234,12000,11899,,,0.03439973667263985,-17.151958465576172,0.0003,100.0,-40.511983539999996
327,-88.92515617,,36,,12000,,120,100.0,,,,,
332,-85.25399239999999,0.019468283280730247,37,4.221792697906494,12400,12299,124,100.0,0.031113164499402046,-16.620655059814453,0.0003,,
,,0.013197053223848343,,4.118368148803711,12500,12399,,,0.0303469430655241,-16.954456329345703,0.0003,100.0,-37.345496100000005
344,-81.69079583000001,0.014681635424494743,37,4.949409008026123,12800,12699,128,100.0,0.028179481625556946,-15.43968391418457,0.0003,,
,,0.016928762197494507,,5.604300022125244,13000,12899,,,0.026835130527615547,-15.671269416809082,0.0003,100.0,-37.6917999
357,-78.08192322,0.015921063721179962,36,5.726832389831543,13200,13099,132,100.0,0.025563066825270653,-15.345330238342285,0.0003,,
,,0.014490821398794651,,6.480626106262207,13500,13399,,,0.02378949150443077,-13.85932445526123,0.0003,100.0,-37.065159279999996
369,-74.35178474,0.012600107118487358,36,6.627020835876465,13600,13499,136,100.0,0.023233504965901375,-14.876260757446289,0.0003,,
,,0.011501365341246128,,7.434638977050781,14000,13899,,,0.021158337593078613,-13.206789016723633,0.0003,100.0,-37.24806084
382,-71.15087810999998,,36,,14000,,140,100.0,,,,,
387,-68.00272075000002,0.013413748703897,37,8.209846496582031,14400,14299,144,100.0,0.01931210234761238,-12.779088020324707,0.0003,,
,,0.012378981336951256,,8.423273086547852,14500,14399,,,0.01888382062315941,-12.067645072937012,0.0003,100.0,-37.35047402
399,-65.19634018,0.011802608147263527,37,9.138778686523438,14800,14699,148,100.0,0.01767599582672119,-11.13473129272461,0.0003,,
,,0.012477263808250427,,9.177078247070312,15000,14899,,,0.016933303326368332,-10.686578750610352,0.0003,100.0,-36.79810014
412,-62.390970050000014,0.01149127446115017,36,9.623291969299316,15200,15099,152,100.0,0.016227854415774345,-9.295969009399414,0.0003,,
,,0.011188166216015816,,10.064842224121094,15500,15399,,,0.015247429721057415,-8.898534774780273,0.0003,100.0,-38.600676199999995
424,-59.90149563000001,0.009558546356856823,36,10.311705589294434,15600,15499,156,100.0,0.014940265566110611,-7.492387294769287,0.0003,,
,,0.011304841376841068,,11.099529266357422,16000,15899,,,0.013808331452310085,-6.868218421936035,0.0003,100.0,-38.3774394
437,-57.379769419999995,,36,,16000,,160,100.0,,,,,
442,-55.399012420000005,0.010972249321639538,37,11.803285598754883,16400,16299,164,100.0,0.012837694957852364,-6.954090595245361,0.0003,,
,,0.011283835396170616,,11.831103324890137,16500,16399,,,0.012616187334060669,-6.013221740722656,0.0003,100.0,-37.92660096
454,-53.33871723000002,0.011445362120866776,36,12.506518363952637,16800,16699,168,100.0,0.01200124155730009,-4.920757293701172,0.0003,,
,,0.01137473527342081,,12.789094924926758,17000,16899,,,0.011630166321992874,-3.7956881523132324,0.0003,100.0,-37.178831640000006
467,-51.511772600000015,0.01041294727474451,36,12.576135635375977,17200,17099,172,100.0,0.011273354291915894,-4.312891006469727,0.0003,,
,,0.010107627138495445,,13.396190643310547,17500,17399,,,0.010806082747876644,-4.138275623321533,0.0003,100.0,-37.33159706
479,-50.12497962999999,0.015486386604607105,36,13.501914978027344,17600,17499,176,100.0,0.010660278610885143,-3.686021089553833,0.0003,,
,,0.012283794581890106,,14.078113555908203,18000,17899,,,0.010152924805879593,-2.7882556915283203,0.0003,100.0,-38.65879116
492,-48.74792017000001,,36,,18000,,180,100.0,,,,,
497,-47.54555543000001,0.015580030158162117,36,14.543134689331055,18400,18299,184,100.0,0.009757330641150475,-3.7999660968780518,0.0003,,
,,0.011721082031726837,,14.78883171081543,18500,18399,,,0.009668495506048203,-0.13302448391914368,0.0003,100.0,-37.7774401
509,-46.65669414,0.01127068791538477,36,15.118658065795898,18800,18699,188,100.0,0.009454387240111828,-1.055427074432373,0.0003,,
,,0.011397221125662327,,15.294499397277832,19000,18899,,,0.009322677738964558,-1.0226467847824097,0.0003,100.0,-37.422629060000006
522,-45.61428161999999,0.0111970454454422,36,15.654380798339844,19200,19099,192,100.0,0.009228522889316082,0.9931778907775879,0.0003,,
,,0.009939184412360191,,16.128459930419922,19500,19399,,,0.009140207432210445,-2.551384449005127,0.0003,100.0,-38.12535582
534,-44.72547007,0.01081729307770729,36,15.892608642578125,19600,19499,196,100.0,0.009125596843659878,-0.28781360387802124,0.0003,,
,,0.009901612997055054,,16.620838165283203,20000,19899,,,0.009033139795064926,-0.9780169129371643,0.0003,100.0,-36.26476828
546,-43.837080879999995,,36,,20000,,200,100.0,,,,,
552,-43.021617079999984,0.010241685435175896,36,17.001827239990234,20400,20299,204,100.0,0.009012139402329922,-0.4915027916431427,0.0003,,
,,0.011169582605361938,,16.950687408447266,20500,20399,,,0.00900812353938818,-0.4222187101840973,0.0003,100.0,-35.44583594000001
564,-42.27483439999999,0.011756367981433868,36,17.273059844970703,20800,20699,208,100.0,0.009042607620358467,1.163681983947754,0.0003,,
,,0.00974947214126587,,17.57708168029785,21000,20899,,,0.009056580252945423,1.6553692817687988,0.0003,100.0,-36.02982494
576,-41.45069547,0.01271821465343237,36,18.033824920654297,21200,21099,212,100.0,0.009059206582605839,0.4102018475532532,0.0003,,
,,0.009726431220769882,,17.976436614990234,21500,21399,,,0.009081306867301464,-1.6205413341522217,0.0003,100.0,-36.20654002
589,-40.85835509,0.01032060943543911,36,18.40700912475586,21600,21499,216,100.0,0.00906395073980093,-0.17827633023262024,0.0003,,
,,0.010021593421697617,,18.64533233642578,22000,21899,,,0.009022179991006851,-0.6778739094734192,0.0003,100.0,-36.20725204
601,-40.45309914,,36,,22000,,220,100.0,,,,,
607,-40.17467113,0.009739838540554047,36,19.207645416259766,22400,22299,224,100.0,0.009032622911036015,0.40717920660972595,0.0003,,
,,0.010893354192376137,,19.392562866210938,22500,22399,,,0.009024279192090034,0.8095859289169312,0.0003,100.0,-35.99266088
619,-39.80185102,0.010080905631184578,36,19.64447784423828,22800,22699,228,100.0,0.00900516752153635,1.010450005531311,0.0003,,
,,0.01041913777589798,,19.77477264404297,23000,22899,,,0.009005017578601837,-0.8412167429924011,0.0003,100.0,-35.85975388
632,-39.36020843,0.01092112623155117,36,19.941177368164062,23200,23099,232,100.0,0.008982726372778416,-1.1433578729629517,0.0003,,
,,0.009910565800964832,,20.278045654296875,23500,23399,,,0.008959980681538582,-0.7646475434303284,0.0003,100.0,-36.9664337
644,-39.07558421,0.008605912327766418,36,20.213668823242188,23600,23499,236,100.0,0.009000583551824093,-0.06114770472049713,0.0003,,
,,0.009508546441793442,,20.686729431152344,24000,23899,,,0.009065736085176468,-0.8418803811073303,0.0003,100.0,-35.80270336
656,-38.767587309999996,,36,,24000,,240,100.0,,,,,
661,-38.659677099999996,0.010141322389245033,36,21.11652946472168,24400,24299,244,100.0,0.009030090644955635,2.0137836933135986,0.0003,,
,,0.010812198743224144,,21.24211311340332,24500,24399,,,0.00906049832701683,1.339674711227417,0.0003,100.0,-36.10982576
674,-38.55202324,0.011491743847727776,36,21.69624137878418,24800,24699,248,100.0,0.009083965793251991,0.9562869071960449,0.0003,,
,,0.01230185478925705,,21.55539894104004,25000,24899,,,0.009085092693567276,-1.821468472480774,0.0003,100.0,-35.68281226
686,-38.36989278000001,0.010084409266710281,36,21.983444213867188,25200,25099,252,100.0,0.009074363857507706,1.067664623260498,0.0003,,
,,0.00923193246126175,,21.927989959716797,25500,25399,,,0.009111813269555569,0.4748876690864563,0.0003,100.0,-35.41081766
699,-38.39660122,0.011388560757040977,36,21.927837371826172,25600,25499,256,100.0,0.009098093956708908,0.7909599542617798,0.0003,,
,,0.01402587816119194,,22.589717864990234,26000,25899,,,0.009127563796937466,-0.33181050419807434,0.0003,100.0,-36.171525759999994
711,-38.26170578999999,,36,,26000,,260,100.0,,,,,
716,-38.28950611,0.012742268852889538,36,22.6834774017334,26400,26299,264,100.0,0.009127011522650719,-0.5592637062072754,0.0003,,
,,0.009441819973289967,,22.8699951171875,26500,26399,,,0.009122681804001331,0.8253558874130249,0.0003,100.0,-35.487907060000005
728,-38.259742450000005,0.010690035298466682,36,23.20773696899414,26800,26699,268,100.0,0.009140324778854847,1.285650610923767,0.0003,,
,,0.013549422845244408,,23.24471664428711,27000,26899,,,0.009144989773631096,-0.8846163153648376,0.0003,100.0,-36.96384798
741,-38.27618451,0.015493707731366158,36,23.515399932861328,27200,27099,272,100.0,0.009111126884818077,1.2817656993865967,0.0003,,
,,0.017995240166783333,,23.620166778564453,27500,27399,,,0.009062321856617928,0.1793024241924286,0.0003,100.0,-53.77793784000001
753,-38.19749644,0.01400668267160654,36,23.801483154296875,27600,27499,276,100.0,0.00903545692563057,0.13735654950141907,0.0003,,
,,0.022087130695581436,,23.788108825683594,28000,27899,,,0.008950931020081043,-0.3151073753833771,0.0003,100.0,-74.21903499999999
765,-40.21627692,,36,,28000,,280,100.0,,,,,
770,-42.06055026,0.017108287662267685,36,23.886775970458984,28400,28299,284,100.0,0.008931361138820648,0.753050684928894,0.0003,,
,,0.023768071085214615,,24.009475708007812,28500,28399,,,0.008911635726690292,-0.7355153560638428,0.0003,100.0,-82.34223256000001
783,-43.622299100000006,0.03605203330516815,36,23.93132781982422,28800,28699,288,100.0,0.00882583949714899,-0.9466747641563416,0.0003,,
,,0.021493634209036827,,24.008220672607422,29000,28899,,,0.008764855563640594,-3.6427979469299316,0.0003,100.0,-62.826683519999996
795,-45.12279275,0.022861219942569733,36,23.65099334716797,29200,29099,292,100.0,0.008646090514957905,-0.6177917718887329,0.0003,,
,,0.02974146604537964,,24.523746490478516,29500,29399,,,0.008677132427692413,-0.6392070651054382,0.0003,100.0,-70.72364808
807,-46.5154982,0.024984542280435562,36,24.12090301513672,29600,29499,296,100.0,0.008669027127325535,-0.6039295196533203,0.0003,,
,,0.02695566788315773,,24.426158905029297,30000,29899,,,0.008648798801004887,-0.8282853364944458,0.0003,100.0,-69.33680317999999
820,-47.968878829999994,,36,,30000,,300,100.0,,,,,
825,-49.319506510000004,0.02033771015703678,36,24.38107681274414,30400,30299,304,100.0,0.008680576458573341,0.03017142415046692,0.0003,,
,,0.026901066303253174,,24.451889038085938,30500,30399,,,0.008675229735672474,-0.4017030894756317,0.0003,100.0,-71.39861406
837,-50.757385299999996,0.024250254034996033,36,24.354595184326172,30800,30699,308,100.0,0.00868034828454256,-1.7944591045379639,0.0003,,
,,0.017901314422488213,,25.05401611328125,31000,30899,,,0.008678453043103218,-0.20407509803771973,0.0003,100.0,-71.45282626
849,-52.28038928,0.020799050107598305,36,24.917396545410156,31200,31099,312,100.0,0.008617430925369263,-0.5136421918869019,0.0003,,
,,0.019465183839201927,,24.885229110717773,31500,31399,,,0.008625451475381851,-1.6466740369796753,0.0003,100.0,-74.1799442
862,-53.64739548000001,0.016566704958677292,36,25.018001556396484,31600,31499,316,100.0,0.008640744723379612,0.14660076797008514,0.0003,,
,,0.01523874793201685,,25.17365074157715,32000,31899,,,0.00866890698671341,1.9416669607162476,0.0003,100.0,-66.18794518
874,-54.931076579999996,,36,,32000,,320,100.0,,,,,
879,-56.018769150000004,0.018911249935626984,36,25.438617706298828,32400,32299,324,100.0,0.008698226884007454,-0.6617263555526733,0.0003,,
,,0.01692792773246765,,25.25304412841797,32500,32399,,,0.008684438653290272,-1.8736798763275146,0.0003,100.0,-65.35836988
892,-57.18470670000001,0.015294499695301056,36,25.42790985107422,32800,32699,328,100.0,0.00865454226732254,-1.0078811645507812,0.0003,,
,,0.017524797469377518,,25.897659301757812,33000,32899,,,0.008713619783520699,-0.5299978852272034,0.0003,100.0,-59.27864904
904,-58.13202922000001,0.01705518737435341,36,25.84124755859375,33200,33099,332,100.0,0.008738960139453411,-0.6097539067268372,0.0003,,
,,0.013158692046999931,,25.794490814208984,33500,33399,,,0.00874570943415165,-0.28927648067474365,0.0003,100.0,-57.578665019999995
916,-59.359176319999996,0.019676130264997482,36,26.034210205078125,33600,33499,336,100.0,0.00877110194414854,-0.055698052048683167,0.0003,,
,,0.013412915170192719,,26.58578872680664,34000,33899,,,0.008841963484883308,-0.6224884986877441,0.0003,100.0,-57.088267560000006
929,-60.49476962000001,,36,,34000,,340,100.0,,,,,
934,-61.38161776,0.015730636194348335,36,26.56359100341797,34400,34299,344,100.0,0.008761378936469555,-0.05500488728284836,0.0003,,
,,0.014031918719410896,,26.80965805053711,34500,34399,,,0.008753594942390919,0.15002071857452393,0.0003,100.0,-56.29394646000001
947,-62.205077440000004,0.016102122142910957,36,26.803369522094727,34800,34699,348,100.0,0.008767209015786648,-0.6863104701042175,0.0003,,
,,0.010584374889731407,,26.754060745239258,35000,34899,,,0.008815753273665905,0.5139443874359131,0.0003,100.0,-52.26634484
959,-63.14601248000001,0.015563834458589554,36,27.34360122680664,35200,35099,352,100.0,0.008870084770023823,0.977378249168396,0.0003,,
,,0.02003372274339199,,27.589670181274414,35500,35399,,,0.008823570795357227,-2.480992317199707,0.0003,100.0,-48.36599609999999
971,-63.56142414,0.01745053194463253,36,27.431350708007812,35600,35499,356,100.0,0.008813937194645405,0.8851982951164246,0.0003,,
,,0.015143378637731075,,27.715972900390625,36000,35899,,,0.008873173035681248,0.037806421518325806,0.0003,100.0,-42.569719479999996
984,-64.04195922,,36,,36000,,360,100.0,,,,,
989,-64.22208841,0.01287226565182209,36,28.178951263427734,36400,36299,364,100.0,0.008912846446037292,-0.49894917011260986,0.0003,,
,,0.01985801011323929,,28.206146240234375,36500,36399,,,0.008968867361545563,1.452512264251709,0.0003,100.0,-41.878105299999994
1002,-64.16246581,0.014683088287711143,36,28.654329299926758,36800,36699,368,100.0,0.008975725620985031,0.6729800701141357,0.0003,,
,,0.013386668637394905,,28.474950790405273,37000,36899,,,0.008971677161753178,1.4844727516174316,0.0003,100.0,-40.77871054
1014,-64.16480360999999,0.01793549954891205,36,28.863815307617188,37200,37099,372,100.0,0.008987974375486374,1.1172682046890259,0.0003,,
,,0.021349694579839706,,29.009857177734375,37500,37399,,,0.00901122484356165,-1.247959852218628,0.0003,100.0,-37.77965522
1026,-64.37781986,0.013986733742058277,36,29.216489791870117,37600,37499,376,100.0,0.009010318666696548,2.9362807273864746,0.0003,,
,,0.021273743361234665,,29.409828186035156,38000,37899,,,0.009037167765200138,-0.36386945843696594,0.0003,100.0,-37.139006980000005
1039,-62.414444169999996,,36,,38000,,380,100.0,,,,,
1044,-60.5909066,0.015050350688397884,36,29.789737701416016,38400,38299,384,100.0,0.009057439863681793,1.2457714080810547,0.0003,,
,,0.013559610582888126,,29.530059814453125,38500,38399,,,0.009083290584385395,0.1200345978140831,0.0003,100.0,-36.77367582
1056,-59.0198183,0.021242614835500717,36,30.00794792175293,38800,38699,388,100.0,0.009110314771533012,-1.68418288230896,0.0003,,
,,0.0148354172706604,,30.260501861572266,39000,38899,,,0.009066794998943806,0.19734464585781097,0.0003,100.0,-36.13094856000001
1068,-57.40063249999999,0.01693061739206314,36,30.21316146850586,39200,39099,392,100.0,0.009145360440015793,-2.3088290691375732,0.0003,,
,,0.023473605513572693,,30.322391510009766,39500,39399,,,0.009152030572295189,1.3386611938476562,0.0003,100.0,-36.9809892
1081,-56.07569929,0.01676897704601288,36,30.397743225097656,39600,39499,396,100.0,0.009161541238427162,0.29212039709091187,0.0003,,
,,0.01629756949841976,,30.93706512451172,40000,39899,,,0.00924270786345005,-0.04201394319534302,0.0003,100.0,-37.002197300000006
1093,-54.5734275,,36,,40000,,400,100.0,,,,,
1098,-53.38379115,0.01939573511481285,36,30.80514907836914,40400,40299,404,100.0,0.00919533334672451,-0.7691747546195984,0.0003,,
,,0.01577751897275448,,30.76946258544922,40500,40399,,,0.009164223447442055,0.36202272772789,0.0003,100.0,-37.0129515
1111,-51.85770449,0.013223962858319283,36,30.728008270263672,40800,40699,408,100.0,0.009162777103483677,-0.6426185369491577,0.0003,,
,,0.015013976022601128,,31.19735336303711,41000,40899,,,0.009126028046011925,-2.4763736724853516,0.0003,100.0,-37.409000799999994
1123,-50.404781899999996,0.014582915231585503,36,31.285917282104492,41200,41099,412,100.0,0.009066453203558922,0.8282328844070435,0.0003,,
,,0.01800619252026081,,31.786128997802734,41500,41399,,,0.009123090654611588,-0.9055553674697876,0.0003,100.0,-36.435550740000004
1136,-48.994700079999994,0.01993938535451889,36,32.00965118408203,41600,41499,416,100.0,0.009102949872612953,-0.30958664417266846,0.0003,,
,,0.021685902029275894,,31.615070343017578,42000,41899,,,0.00906312931329012,-0.761014461517334,0.0003,100.0,-41.61233858
1148,-47.79981141999999,,36,,42000,,420,100.0,,,,,
1153,-46.542171229999994,0.016320567578077316,36,31.475738525390625,42400,42299,424,100.0,0.009034574031829834,1.17765212059021,0.0003,,
,,0.019820325076580048,,32.34649658203125,42500,42399,,,0.009043030440807343,-0.34112548828125,0.0003,100.0,-39.36654956
1166,-45.68743238000001,0.03378431871533394,36,32.29246520996094,42800,42699,428,100.0,0.008976914919912815,-0.9569699764251709,0.0003,,
,,0.016147427260875702,,31.896045684814453,43000,42899,,,0.00890331156551838,0.17288684844970703,0.0003,100.0,-42.68674904
1178,-45.00510410000001,0.019766241312026978,36,32.31427764892578,43200,43099,432,100.0,0.008853266015648842,-1.4999182224273682,0.0003,,
,,0.0249282568693161,,31.726367950439453,43500,43399,,,0.008819907903671265,1.2610840797424316,0.0003,100.0,-40.139014880000005
1190,-44.107563330000005,0.021606042981147766,36,31.679271697998047,43600,43499,436,100.0,0.008821972645819187,-0.6785846948623657,0.0003,,
,,0.02682056650519371,,32.20048904418945,44000,43899,,,0.009057327173650265,-0.4829906225204468,0.0003,100.0,-40.05959446
1202,-43.32264403999999,,36,,44000,,440,100.0,,,,,
1208,-42.53638387,0.017574666067957878,36,32.357688903808594,44400,44299,444,100.0,0.009044850245118141,-0.44263336062431335,0.0003,,
,,0.020496079698204994,,32.55996322631836,44500,44399,,,0.009029087610542774,-1.1427361965179443,0.0003,100.0,-39.721475659999996
1220,-41.788312050000016,0.02120591327548027,36,31.92400360107422,44800,44699,448,100.0,0.009107313118875027,-0.3106745481491089,0.0003,,
,,0.020608609542250633,,32.564720153808594,45000,44899,,,0.00903812050819397,1.1131048202514648,0.0003,100.0,-40.81210396
1232,-40.974924,0.024682963266968727,36,32.24391174316406,45200,45099,452,100.0,0.009086435660719872,-1.0013433694839478,0.0003,,
,,0.02051684260368347,,32.45929718017578,45500,45399,,,0.009057017043232918,-0.6296895146369934,0.0003,100.0,-39.36880026
1245,-40.38050295,0.015547193586826324,36,32.02075958251953,45600,45499,456,100.0,0.009077012538909912,-0.5357411503791809,0.0003,,
,,0.01669342815876007,,32.51231384277344,46000,45899,,,0.00903694424778223,-0.45460325479507446,0.0003,100.0,-38.12965826
1257,-40.22553754,,36,,46000,,460,100.0,,,,,
1262,-39.84844225999999,0.015434261411428452,36,33.043880462646484,46400,46299,464,100.0,0.00897998083382845,0.028696492314338684,0.0003,,
,,0.014003079384565353,,32.41600799560547,46500,46399,,,0.008940561674535275,-0.1345759928226471,0.0003,100.0,-37.917639439999995
1274,-39.74122446999999,0.02061186172068119,36,32.61925506591797,46800,46699,468,100.0,0.008941828273236752,-0.7639075517654419,0.0003,,
,,0.012589710764586926,,32.334373474121094,47000,46899,,,0.008975562639534473,-1.5024075508117676,0.0003,100.0,-37.02223766
1287,-39.87195689,0.028748992830514908,36,33.36139678955078,47200,47099,472,100.0,0.008947663009166718,-1.0598558187484741,0.0003,,
,,0.011769160628318787,,33.457305908203125,47500,47399,,,0.008939359337091446,-1.4380643367767334,0.0003,100.0,-37.59334808
1299,-39.68544411,0.01296679675579071,36,33.05879211425781,47600,47499,476,100.0,0.008920665830373764,0.04464519023895264,0.0003,,
,,0.01357958186417818,,33.530113220214844,48000,47899,,,0.00892437994480133,0.5757868885993958,0.0003,100.0,-36.95287502
1311,-39.608198630000004,,36,,48000,,480,100.0,,,,,
1317,-39.612797889999996,0.01794104091823101,36,33.49947738647461,48400,48299,484,100.0,0.008873028680682182,-0.12289422750473022,0.0003,,
,,0.013984255492687225,,33.519317626953125,48500,48399,,,0.008905255235731602,-0.6830376386642456,0.0003,100.0,-36.35867216
1329,-39.65053182,0.01886051520705223,36,33.93458557128906,48800,48699,488,100.0,0.008932285942137241,0.27717089653015137,0.0003,,
,,0.012665979564189911,,33.752506256103516,49000,48899,,,0.008874607272446156,-0.8404630422592163,0.0003,100.0,-36.068721960000005
1342,-39.71180499,0.015170395374298096,36,34.188018798828125,49200,49099,492,100.0,0.008845493197441101,-0.13552230596542358,0.0003,,
,,0.01564635895192623,,33.25796890258789,49500,49399,,,0.008809774182736874,0.08713841438293457,0.0003,100.0,-36.46986166
1354,-39.74588952999999,0.010878317058086395,36,33.963294982910156,49600,49499,496,100.0,0.008830541744828224,0.4452552795410156,0.0003,,
,,0.016402605921030045,,33.5830192565918,50000,49899,,,0.00891938991844654,0.7264312505722046,0.0003,100.0,-36.341003879999995
