train/n_updates,train/learning_rate,train/critic_loss,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
14299,0.001,0.04872884973883629,14400,207,69,-46.522853170000005,20.135746002197266,100.0,144,,
14399,0.001,0.04327554255723953,14500,,,,20.4261531829834,,,100.0,-45.89368532
14699,0.001,0.05698900669813156,14800,214,69,-45.725893029999995,20.772441864013672,100.0,148,,
14899,0.001,0.039695315062999725,15000,,,,20.5767822265625,,,100.0,-45.417164680000006
15099,0.001,0.07389010488986969,15200,221,68,-45.30825516999998,21.328296661376953,100.0,152,,
15399,0.001,0.038896482437849045,15500,,,,21.102548599243164,,,100.0,-45.54782383999999
15499,0.001,0.06904739141464233,15600,227,68,-45.08073426,21.3538818359375,100.0,156,,
15899,0.001,0.04569525271654129,16000,,,,21.351228713989258,,,100.0,-43.08278782
,,,16000,233,68,-44.81284115,,100.0,160,,
16299,0.001,0.043526533991098404,16400,236,69,-44.874289569999995,22.112998962402344,100.0,164,,
16399,0.001,0.051258452236652374,16500,,,,22.378965377807617,,,100.0,-45.99140904
16699,0.001,0.0437331460416317,16800,242,69,-45.09975936,22.387889862060547,100.0,168,,
16899,0.001,0.08096301555633545,17000,,,,22.591161727905273,,,100.0,-42.28779962000001
17099,0.001,0.06015722081065178,17200,249,68,-44.963371450000004,23.12553596496582,100.0,172,,
17399,0.001,0.06397414207458496,17500,,,,23.24639892578125,,,100.0,-46.00807391999999
17499,0.001,0.04489107429981232,17600,256,68,-45.15340983,23.19643783569336,100.0,176,,
17899,0.001,0.05271310731768608,18000,,,,23.77971649169922,,,100.0,-46.785110720000006
,,,18000,263,68,-45.06090787,,100.0,180,,
18299,0.001,0.051296863704919815,18400,265,69,-44.98199301999999,24.065505981445312,100.0,184,,
18399,0.001,0.050459884107112885,18500,,,,24.081350326538086,,,100.0,-46.405101380000005
18699,0.001,0.0629647746682167,18800,272,69,-44.83973843,24.115198135375977,100.0,188,,
18899,0.001,0.03726038709282875,19000,,,,24.197959899902344,,,100.0,-46.18042636
19099,0.001,0.06702050566673279,19200,278,68,-44.77047133000001,24.847576141357422,100.0,192,,
19399,0.001,0.06111516058444977,19500,,,,24.8974666595459,,,100.0,-47.17422916
19499,0.001,0.05850404500961304,19600,285,68,-44.64450792000002,25.000244140625,100.0,196,,
19899,0.001,0.06380664557218552,20000,,,,25.363506317138672,,,100.0,-45.55062574000001
,,,20000,292,68,-45.22915375999999,,100.0,200,,
20299,0.001,0.06471771001815796,20400,294,69,-44.93654694999999,25.83602523803711,100.0,204,,
20399,0.001,0.06939589232206345,20500,,,,25.757125854492188,,,100.0,-48.50667102000001
20699,0.001,0.04643724858760834,20800,301,69,-44.69290381999999,26.085065841674805,100.0,208,,
20899,0.001,0.05221443995833397,21000,,,,26.239395141601562,,,100.0,-48.17116137999999
21099,0.001,0.053898125886917114,21200,307,68,-44.87628349,26.389724731445312,100.0,212,,
21399,0.001,0.06123289838433266,21500,,,,26.604413986206055,,,100.0,-48.12140594
21499,0.001,0.07519607245922089,21600,314,68,-44.813711950000005,26.530902862548828,100.0,216,,
21899,0.001,0.07763899117708206,22000,,,,27.317781448364258,,,100.0,-43.756899139999994
,,,22000,320,68,-44.859439,,100.0,220,,
22299,0.001,0.04944061487913132,22400,323,69,-45.129948289999994,27.21895408630371,100.0,224,,
22399,0.001,0.05900626257061958,22500,,,,27.423709869384766,,,100.0,-47.75205817999999
22699,0.001,0.07433418184518814,22800,329,69,-45.06312892000001,27.678333282470703,100.0,228,,
22899,0.001,0.06113418564200401,23000,,,,28.10738182067871,,,100.0,-45.5464894
23099,0.001,0.06974780559539795,23200,336,69,-44.79737845999999,27.66903305053711,100.0,232,,
23399,0.001,0.056735336780548096,23500,,,,28.21061134338379,,,100.0,-47.24283446
23499,0.001,0.06090715527534485,23600,342,68,-45.173822939999994,28.180561065673828,100.0,236,,
23899,0.001,0.07146095484495163,24000,,,,28.784042358398438,,,100.0,-46.872210880000004
,,,24000,350,68,-45.35598755,,100.0,240,,
24299,0.001,0.05532119423151016,24400,352,69,-45.31109434,28.616090774536133,100.0,244,,
24399,0.001,0.06537310034036636,24500,,,,29.04440689086914,,,100.0,-44.87114184
24699,0.001,0.075678750872612,24800,359,69,-45.32456407999999,28.97909164428711,100.0,248,,
24899,0.001,0.07895275950431824,25000,,,,28.989582061767578,,,100.0,-49.63982218
25099,0.001,0.051692280918359756,25200,365,68,-45.12325938,29.231887817382812,100.0,252,,
25399,0.001,0.09904127568006516,25500,,,,29.759395599365234,,,100.0,-45.15473664
25499,0.001,0.06647753715515137,25600,371,68,-44.98882892000002,29.992324829101562,100.0,256,,
25899,0.001,0.05229313671588898,26000,,,,29.818363189697266,,,100.0,-43.63213688
,,,26000,378,68,-45.15409458,,100.0,260,,
26299,0.001,0.0742468386888504,26400,381,69,-45.13877917,29.944705963134766,100.0,264,,
26399,0.001,0.06933160126209259,26500,,,,30.17605209350586,,,100.0,-42.98059662000001
26699,0.001,0.054977141320705414,26800,387,69,-45.015419069999986,31.002643585205078,100.0,268,,
26899,0.001,0.06578071415424347,27000,,,,30.95587921142578,,,100.0,-42.449401959999996
27099,0.001,0.07309179753065109,27200,394,68,-44.84010788999999,30.507946014404297,100.0,272,,
27399,0.001,0.09548302739858627,27500,,,,30.983747482299805,,,100.0,-46.37713506
27499,0.001,0.07529997080564499,27600,401,68,-44.624722309999996,30.92436981201172,100.0,276,,
27899,0.001,0.055581167340278625,28000,,,,31.2220401763916,,,100.0,-42.25491212
,,,28000,407,68,-44.44191455,,100.0,280,,
28299,0.001,0.07236777245998383,28400,410,69,-44.180938530000006,31.832332611083984,100.0,284,,
28399,0.001,0.060083165764808655,28500,,,,31.445449829101562,,,100.0,-45.763578980000005
28699,0.001,0.047654636204242706,28800,417,69,-44.12129268,31.851247787475586,100.0,288,,
28899,0.001,0.07512892037630081,29000,,,,32.10765838623047,,,100.0,-51.4727443
29099,0.001,0.058349188417196274,29200,423,68,-44.23669723000001,32.233638763427734,100.0,292,,
29399,0.001,0.06267787516117096,29500,,,,32.65565872192383,,,100.0,-50.59531158
29499,0.001,0.04668644070625305,29600,430,68,-44.38711592,32.29730224609375,100.0,296,,
29899,0.001,0.05609855800867081,30000,,,,32.48957061767578,,,100.0,-45.606355560000004
,,,30000,437,68,-44.13859039000001,,100.0,300,,
30299,0.001,0.11395522952079773,30400,439,69,-44.274589479999996,33.06858444213867,100.0,304,,
30399,0.001,0.06979240477085114,30500,,,,32.672183990478516,,,100.0,-45.996915200000004
30699,0.001,0.04697571322321892,30800,446,68,-44.2937691,33.498809814453125,100.0,308,,
30899,0.001,0.06193794310092926,31000,,,,33.23237228393555,,,100.0,-45.190852439999986
31099,0.001,0.05438686162233353,31200,452,68,-43.9949453,33.72480773925781,100.0,312,,
31399,0.001,0.08430519700050354,31500,,,,33.38020324707031,,,100.0,-48.054821540000006
31499,0.001,0.06258168816566467,31600,459,68,-44.17918236,33.39356994628906,100.0,316,,
31899,0.001,0.07434271275997162,32000,,,,33.91745376586914,,,100.0,-49.41033400000001
,,,32000,465,68,-43.90394176999998,,100.0,320,,
32299,0.001,0.06579497456550598,32400,468,69,-44.038752599999995,33.797943115234375,100.0,324,,
32399,0.001,0.04797438532114029,32500,,,,34.237159729003906,,,100.0,-49.15940828
32699,0.001,0.055556416511535645,32800,475,68,-44.15017783999999,34.43025207519531,100.0,328,,
32899,0.001,0.06547541171312332,33000,,,,33.95783996582031,,,100.0,-43.75933356
33099,0.001,0.061047911643981934,33200,482,68,-44.28582240000001,34.10477066040039,100.0,332,,
33399,0.001,0.07798074930906296,33500,,,,34.27489471435547,,,100.0,-46.77926307999999
33499,0.001,0.04801003262400627,33600,489,68,-43.856242490000014,34.813629150390625,100.0,336,,
33899,0.001,0.08720853924751282,34000,,,,35.00184631347656,,,100.0,-45.864423779999996
,,,34000,495,68,-43.64566514,,100.0,340,,
34299,0.001,0.12847906351089478,34400,498,69,-43.744927960000005,34.85120391845703,100.0,344,,
34399,0.001,0.05989013612270355,34500,,,,35.30793762207031,,,100.0,-46.2389485
34699,0.001,0.06403543055057526,34800,504,68,-43.76845546999999,35.169281005859375,100.0,348,,
34899,0.001,0.055112458765506744,35000,,,,35.14275360107422,,,100.0,-44.47343766000001
35099,0.001,0.0664495974779129,35200,511,68,-43.835174779999996,34.89391326904297,100.0,352,,
35399,0.001,0.08122550696134567,35500,,,,35.158321380615234,,,100.0,-43.76054768
35499,0.001,0.07806171476840973,35600,518,68,-43.999672630000006,35.789222717285156,100.0,356,,
35899,0.001,0.05343881994485855,36000,,,,35.92877197265625,,,100.0,-46.10032687999999
,,,36000,524,68,-43.90503339000001,,100.0,360,,
36299,0.001,0.10639727115631104,36400,527,69,-43.95044567,35.76612091064453,100.0,364,,
36399,0.001,0.08778277039527893,36500,,,,35.32787322998047,,,100.0,-44.92512844
36699,0.001,0.07311145961284637,36800,533,68,-44.26317306,35.849857330322266,100.0,368,,
36899,0.001,0.05444580316543579,37000,,,,35.81501770019531,,,100.0,-46.96336056
37099,0.001,0.07446083426475525,37200,540,68,-44.91420209999999,35.956974029541016,100.0,372,,
37399,0.001,0.056279316544532776,37500,,,,36.11006546020508,,,100.0,-46.31276212000001
37499,0.001,0.05995449423789978,37600,546,68,-44.74720077,36.04469299316406,100.0,376,,
37899,0.001,0.0642630010843277,38000,,,,36.27101516723633,,,100.0,-45.97012662000001
,,,38000,553,68,-44.896481699999995,,100.0,380,,
38299,0.001,0.06908738613128662,38400,556,69,-45.01138027,37.09846496582031,100.0,384,,
38399,0.001,0.0775579959154129,38500,,,,36.8526496887207,,,100.0,-48.2616119
38699,0.001,0.06555186957120895,38800,563,68,-45.06967845,36.69042205810547,100.0,388,,
38899,0.001,0.05997622013092041,39000,,,,36.96800231933594,,,100.0,-44.745996619999985
39099,0.001,0.06919238716363907,39200,570,68,-45.17443430999999,37.2942008972168,100.0,392,,
39399,0.001,0.053709521889686584,39500,,,,36.961273193359375,,,100.0,-47.50941244
39499,0.001,0.05908600240945816,39600,576,68,-45.13373718000002,37.449615478515625,100.0,396,,
39899,0.001,0.058922313153743744,40000,,,,37.508155822753906,,,100.0,-45.16228730000001
,,,40000,582,68,-44.632354170000006,,100.0,400,,
40299,0.001,0.06461486220359802,40400,585,69,-44.56710604999999,37.48586654663086,100.0,404,,
40399,0.001,0.05606665834784508,40500,,,,37.71751403808594,,,100.0,-44.78256037999999
40699,0.001,0.06392852216959,40800,591,68,-44.43400809,37.81659698486328,100.0,408,,
40899,0.001,0.060446761548519135,41000,,,,37.455570220947266,,,100.0,-45.77078856
41099,0.001,0.05454006791114807,41200,598,68,-44.600032760000005,38.09508514404297,100.0,412,,
41399,0.001,0.05725838243961334,41500,,,,37.99995803833008,,,100.0,-43.82325859999999
41499,0.001,0.07156231254339218,41600,605,68,-44.51479165999999,37.94508361816406,100.0,416,,
41899,0.001,0.08059339970350266,42000,,,,38.151634216308594,,,100.0,-45.28840266
,,,42000,612,68,-44.96068582,,100.0,420,,
42299,0.001,0.05562347173690796,42400,614,68,-44.69251941,38.250675201416016,100.0,424,,
42399,0.001,0.06886947154998779,42500,,,,38.315765380859375,,,100.0,-43.015250640000005
42699,0.001,0.06901364028453827,42800,621,68,-44.62122389,38.317283630371094,100.0,428,,
42899,0.001,0.0706581175327301,43000,,,,38.55230712890625,,,100.0,-43.63530616
43099,0.001,0.06723780930042267,43200,627,68,-44.645972490000005,38.40909194946289,100.0,432,,
43399,0.001,0.047802552580833435,43500,,,,38.958892822265625,,,100.0,-43.6530186
43499,0.001,0.053896766155958176,43600,634,68,-44.69437749000001,38.51669692993164,100.0,436,,
43899,0.001,0.06202273815870285,44000,,,,39.24341583251953,,,100.0,-43.97104424
,,,44000,640,68,-44.39140564,,100.0,440,,
44299,0.001,0.06047595292329788,44400,643,69,-44.1546693,39.175533294677734,100.0,444,,
44399,0.001,0.05705387145280838,44500,,,,38.8236083984375,,,100.0,-43.876002799999995
44699,0.001,0.06240996718406677,44800,649,68,-44.195534529999996,39.234222412109375,100.0,448,,
44899,0.001,0.055784665048122406,45000,,,,39.40388107299805,,,100.0,-44.38288596
45099,0.001,0.06058305501937866,45200,657,68,-44.16547549,39.240291595458984,100.0,452,,
45399,0.001,0.07265804708003998,45500,,,,39.50968551635742,,,100.0,-43.51885672
45499,0.001,0.06981232762336731,45600,663,68,-44.139812109999994,39.69042205810547,100.0,456,,
45899,0.001,0.07183516025543213,46000,,,,39.383209228515625,,,100.0,-43.06020616
,,,46000,669,68,-44.08219934000001,,100.0,460,,
46299,0.001,0.07233424484729767,46400,672,69,-44.22409141000001,39.84712600708008,100.0,464,,
46399,0.001,0.08259303867816925,46500,,,,40.33416748046875,,,100.0,-44.002085120000004
46699,0.001,0.08948413282632828,46800,678,68,-43.71613019,40.46727752685547,100.0,468,,
46899,0.001,0.10980236530303955,47000,,,,39.9937744140625,,,100.0,-41.613133100000006
47099,0.001,0.080279141664505,47200,685,68,-43.20944831,40.494224548339844,100.0,472,,
47399,0.001,0.0836152583360672,47500,,,,40.513397216796875,,,100.0,-42.91599484
47499,0.001,0.0779709592461586,47600,691,68,-43.10626303,40.146881103515625,100.0,476,,
47899,0.001,0.05811029300093651,48000,,,,40.73259353637695,,,100.0,-44.60420132
,,,48000,698,68,-43.089150400000015,,100.0,480,,
48299,0.001,0.0581255778670311,48400,701,68,-43.10406998000001,40.664405822753906,100.0,484,,
48399,0.001,0.06376144289970398,48500,,,,40.74314880371094,,,100.0,-43.61357086
48699,0.001,0.0626424252986908,48800,707,68,-43.08990259000001,40.910438537597656,100.0,488,,
48899,0.001,0.055344678461551666,49000,,,,40.89849090576172,,,100.0,-45.318285020000005
