time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,time/fps,train/actor_loss,time/total_timesteps,train/n_updates,time/episodes,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
862,-40.07926651,0.011235473677515984,36,27.56678009033203,31600,31499,316,100.0,0.0076380036771297455,0.36311623454093933,0.0003,,
,,0.01707608625292778,,27.811805725097656,32000,31899,,,0.007666837889701128,-3.5422630310058594,0.0003,100.0,-41.42274924
875,-39.97702104,,36,,32000,,320,100.0,,,,,
880,-40.022702689999996,0.013646218925714493,36,28.365699768066406,32400,32299,324,100.0,0.007683932781219482,0.07493452727794647,0.0003,,
,,0.013858809135854244,,28.366161346435547,32500,32399,,,0.0077028474770486355,0.5598273277282715,0.0003,100.0,-40.972898539999996
893,-40.265402800000004,0.017576009035110474,36,28.52960968017578,32800,32699,328,100.0,0.007649360690265894,3.2014636993408203,0.0003,,
,,0.01755330339074135,,28.641117095947266,33000,32899,,,0.00770547054708004,-1.191760778427124,0.0003,100.0,-39.7637692
905,-40.51435471,0.011511937715113163,36,28.49166488647461,33200,33099,332,100.0,0.007719080895185471,1.9039503335952759,0.0003,,
,,0.014783399179577827,,29.136577606201172,33500,33399,,,0.007746887858957052,0.18022213876247406,0.0003,100.0,-39.92313136
918,-40.45782547,0.01669626124203205,36,29.178585052490234,33600,33499,336,100.0,0.007739366963505745,-1.6562483310699463,0.0003,,
,,0.01738872565329075,,29.494701385498047,34000,33899,,,0.007700813002884388,2.5903735160827637,0.0003,100.0,-38.92117964
930,-40.641761439999996,,36,,34000,,340,100.0,,,,,
935,-40.43313656,0.019457492977380753,36,29.698986053466797,34400,34299,344,100.0,0.007769402116537094,-0.928855836391449,0.0003,,
,,0.030133748427033424,,29.808269500732422,34500,34399,,,0.007761377841234207,-0.8476542234420776,0.0003,100.0,-38.676455860000004
948,-40.57601642,0.018983207643032074,36,30.014205932617188,34800,34699,348,100.0,0.007780138403177261,0.3855488896369934,0.0003,,
,,0.01699012704193592,,30.295141220092773,35000,34899,,,0.007756460923701525,-1.3617852926254272,0.0003,100.0,-37.38941636
961,-40.52188286,0.021051719784736633,36,30.21819305419922,35200,35099,352,100.0,0.007714573759585619,1.2907013893127441,0.0003,,
,,0.015339651145040989,,30.217548370361328,35500,35399,,,0.007649470120668411,-1.2052428722381592,0.0003,100.0,-37.674333419999996
973,-40.39233172000001,0.016487019136548042,36,30.64246368408203,35600,35499,356,100.0,0.007625379599630833,0.8289014101028442,0.0003,,
,,0.011596262454986572,,30.269763946533203,36000,35899,,,0.007612812798470259,-0.9032427072525024,0.0003,100.0,-37.4366097
986,-40.328423140000005,,36,,36000,,360,100.0,,,,,
991,-40.347965249999994,0.02153959311544895,36,30.332714080810547,36400,36299,364,100.0,0.007644857279956341,-0.7790141105651855,0.0003,,
,,0.016209688037633896,,30.969486236572266,36500,36399,,,0.007672041654586792,0.5669123530387878,0.0003,100.0,-37.97378602
