time/episodes,rollout/ep_len_mean,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,time/fps,time/time_elapsed,train/n_updates,eval/mean_ep_length,eval/mean_reward
324,100.0,35.472442626953125,0.001,-47.70571107,32400,0.09287509322166443,71,454,32299,,
,,35.26880645751953,0.001,,32500,0.12826286256313324,,,32399,100.0,-50.05495934
328,100.0,35.88740539550781,0.001,-47.874620879999995,32800,0.1560160219669342,71,460,32699,,
,,36.04783248901367,0.001,,33000,0.10049289464950562,,,32899,100.0,-49.788308459999996
332,100.0,35.627769470214844,0.001,-47.7232368,33200,0.11496906727552414,71,467,33099,,
,,35.74494934082031,0.001,,33500,0.13016794621944427,,,33399,100.0,-46.98672173999999
336,100.0,35.858543395996094,0.001,-48.12853774999999,33600,0.0986846461892128,70,473,33499,,
,,36.1305046081543,0.001,,34000,0.1209791973233223,,,33899,100.0,-59.958375100000005
340,100.0,,,-48.50728107,34000,,70,479,,,
344,100.0,36.529605865478516,0.001,-48.65759476,34400,0.13688935339450836,71,482,34299,,
,,36.714027404785156,0.001,,34500,0.08719754219055176,,,34399,100.0,-50.8974089
348,100.0,36.78775405883789,0.001,-48.72638035999999,34800,0.09875030815601349,71,488,34699,,
,,36.93785858154297,0.001,,35000,0.08411502838134766,,,34899,100.0,-50.23102565999999
352,100.0,36.71437454223633,0.001,-48.68978536,35200,0.1014837771654129,71,495,35099,,
,,37.28010559082031,0.001,,35500,0.09046707302331924,,,35399,100.0,-45.817039779999995
356,100.0,36.62303924560547,0.001,-48.59972038000001,35600,0.14711686968803406,70,501,35499,,
,,37.63985824584961,0.001,,36000,0.08077950775623322,,,35899,100.0,-50.17934827999999
360,100.0,,,-48.78051779,36000,,70,508,,,
364,100.0,37.50434112548828,0.001,-48.48283748000001,36400,0.09241671115159988,71,510,36299,,
,,37.941158294677734,0.001,,36500,0.10937120020389557,,,36399,100.0,-51.19704978000001
368,100.0,37.966102600097656,0.001,-48.21332657000001,36800,0.12035448849201202,71,517,36699,,
,,38.087982177734375,0.001,,37000,0.1375768780708313,,,36899,100.0,-50.14417242
372,100.0,38.052494049072266,0.001,-48.180034379999995,37200,0.08413134515285492,71,523,37099,,
,,38.3388671875,0.001,,37500,0.13177239894866943,,,37399,100.0,-47.72606673999999
376,100.0,38.33979797363281,0.001,-48.210414719999996,37600,0.09783951938152313,70,530,37499,,
,,38.59845733642578,0.001,,38000,0.09964240342378616,,,37899,100.0,-46.36187916
380,100.0,,,-48.036480250000004,38000,,70,536,,,
384,100.0,38.45380783081055,0.001,-48.01295822,38400,0.12883996963500977,71,538,38299,,
,,38.562583923339844,0.001,,38500,0.11380879580974579,,,38399,100.0,-46.26861156
388,100.0,38.87389373779297,0.001,-47.97692919,38800,0.10477466881275177,71,545,38699,,
,,39.334014892578125,0.001,,39000,0.10710302740335464,,,38899,100.0,-45.02852038
392,100.0,38.983558654785156,0.001,-47.58214049,39200,0.09114320576190948,71,552,39099,,
,,39.520851135253906,0.001,,39500,0.10808239877223969,,,39399,100.0,-45.98512174
396,100.0,39.164710998535156,0.001,-47.63976117,39600,0.11431664228439331,70,558,39499,,
,,39.304195404052734,0.001,,40000,0.1045617163181305,,,39899,100.0,-45.799953880000004
400,100.0,,,-47.46535601000001,40000,,70,565,,,
404,100.0,39.598602294921875,0.001,-47.25763738,40400,0.12117785960435867,71,567,40299,,
,,39.65647506713867,0.001,,40500,0.1305403709411621,,,40399,100.0,-47.552994860000005
408,100.0,39.8690299987793,0.001,-46.76051346,40800,0.15984630584716797,71,573,40699,,
,,39.68270492553711,0.001,,41000,0.10262635350227356,,,40899,100.0,-46.01247424
412,100.0,39.77092361450195,0.001,-46.39079875,41200,0.09896109253168106,70,580,41099,,
,,39.96649932861328,0.001,,41500,0.13500162959098816,,,41399,100.0,-45.90984968000001
416,100.0,40.4359130859375,0.001,-46.276855940000004,41600,0.11488808691501617,70,586,41499,,
,,40.657081604003906,0.001,,42000,0.11458790302276611,,,41899,100.0,-45.38185668000001
420,100.0,,,-46.0999932,42000,,70,593,,,
424,100.0,40.84191131591797,0.001,-45.924658449999995,42400,0.1354677379131317,71,595,42299,,
,,40.55357360839844,0.001,,42500,0.10557793825864792,,,42399,100.0,-45.099288099999995
428,100.0,40.477378845214844,0.001,-45.920960959999995,42800,0.10860054939985275,71,602,42699,,
,,40.994667053222656,0.001,,43000,0.1114920899271965,,,42899,100.0,-47.8605412
432,100.0,41.11149597167969,0.001,-45.961396990000004,43200,0.12929382920265198,70,608,43099,,
,,40.749595642089844,0.001,,43500,0.10640361905097961,,,43399,100.0,-49.113764100000004
436,100.0,40.93844985961914,0.001,-45.851924190000005,43600,0.1425357460975647,70,615,43499,,
,,41.37797164916992,0.001,,44000,0.09126035869121552,,,43899,100.0,-53.51667509999999
440,100.0,,,-45.73842086,44000,,70,621,,,
444,100.0,41.517189025878906,0.001,-45.32893336,44400,0.08858437091112137,71,623,44299,,
,,41.56694793701172,0.001,,44500,0.10778404772281647,,,44399,100.0,-44.185516899999996
448,100.0,41.67013168334961,0.001,-45.070329470000004,44800,0.154075488448143,71,630,44699,,
,,41.82898712158203,0.001,,45000,0.10194163024425507,,,44899,100.0,-43.38790446
452,100.0,42.04524230957031,0.001,-44.96053335,45200,0.07999119907617569,70,636,45099,,
,,41.77059555053711,0.001,,45500,0.09075616300106049,,,45399,100.0,-48.16688556
456,100.0,41.826499938964844,0.001,-44.83482219,45600,0.10912135988473892,70,643,45499,,
,,42.37461853027344,0.001,,46000,0.0940464586019516,,,45899,100.0,-50.07646538000001
460,100.0,,,-45.01107333,46000,,70,649,,,
464,100.0,42.55439758300781,0.001,-44.97479311000001,46400,0.10148131847381592,71,652,46299,,
,,42.77357482910156,0.001,,46500,0.08575940132141113,,,46399,100.0,-49.25495540000001
468,100.0,42.780975341796875,0.001,-45.00008261999999,46800,0.060941893607378006,71,658,46699,,
,,43.45207977294922,0.001,,47000,0.07989640533924103,,,46899,100.0,-49.87367634
472,100.0,42.477699279785156,0.001,-45.225318740000006,47200,0.15695780515670776,70,665,47099,,
,,42.97144317626953,0.001,,47500,0.09101459383964539,,,47399,100.0,-45.47638828
476,100.0,42.804622650146484,0.001,-45.11980953000001,47600,0.10394498705863953,70,671,47499,,
,,43.13723373413086,0.001,,48000,0.09843596816062927,,,47899,100.0,-45.80336034000001
480,100.0,,,-45.07332705999999,48000,,70,678,,,
484,100.0,43.14082336425781,0.001,-45.133535169999995,48400,0.09506206214427948,71,680,48299,,
,,43.16926574707031,0.001,,48500,0.09079142659902573,,,48399,100.0,-45.67907016
488,100.0,43.59391784667969,0.001,-45.220254159999996,48800,0.10476279258728027,71,687,48699,,
,,43.24258041381836,0.001,,49000,0.08750855922698975,,,48899,100.0,-45.01237439999999
492,100.0,43.68109893798828,0.001,-45.36991407000001,49200,0.11630822718143463,70,693,49099,,
,,43.63574981689453,0.001,,49500,0.1040136069059372,,,49399,100.0,-46.07472482
496,100.0,43.650543212890625,0.001,-45.45319033999999,49600,0.08955429494380951,70,699,49499,,
,,44.227256774902344,0.001,,50000,0.1147330105304718,,,49899,100.0,-45.57858986
500,100.0,,,-45.40322202,50000,,70,706,,,
504,100.0,44.184146881103516,0.001,-45.330517750000006,50400,0.10573878884315491,71,709,50299,,
,,43.75611114501953,0.001,,50500,0.1105235144495964,,,50399,100.0,-50.14808348
508,100.0,44.20426559448242,0.001,-45.71478522999999,50800,0.08545711636543274,70,715,50699,,
,,44.389366149902344,0.001,,51000,0.08944063633680344,,,50899,100.0,-46.94836002
512,100.0,44.24165344238281,0.001,-45.77963574999999,51200,0.08936277776956558,70,721,51099,,
,,44.740333557128906,0.001,,51500,0.11093974113464355,,,51399,100.0,-46.84691600000001
516,100.0,44.61137008666992,0.001,-46.005928139999995,51600,0.1218261644244194,70,728,51499,,
,,44.70301055908203,0.001,,52000,0.11271854490041733,,,51899,100.0,-53.81174548
520,100.0,,,-46.05224159,52000,,70,734,,,
524,100.0,44.70599365234375,0.001,-46.19653425999999,52400,0.10957057774066925,71,737,52299,,
,,44.87444305419922,0.001,,52500,0.10061372816562653,,,52399,100.0,-51.438045540000005
528,100.0,44.96428298950195,0.001,-46.063764889999995,52800,0.08937446773052216,70,743,52699,,
,,45.18824768066406,0.001,,53000,0.11570947617292404,,,52899,100.0,-48.91874366
532,100.0,45.21015930175781,0.001,-46.19688534,53200,0.0991658866405487,70,750,53099,,
,,45.14080047607422,0.001,,53500,0.10049129277467728,,,53399,100.0,-45.06645392
536,100.0,45.604915618896484,0.001,-46.03686608999998,53600,0.12960973381996155,70,756,53499,,
,,45.735809326171875,0.001,,54000,0.09664349257946014,,,53899,100.0,-46.829959339999995
540,100.0,,,-46.03552334,54000,,70,763,,,
544,100.0,45.843482971191406,0.001,-46.115256949999996,54400,0.1350277066230774,71,765,54299,,
,,45.401145935058594,0.001,,54500,0.10760346800088882,,,54399,100.0,-46.82730292
548,100.0,45.63149642944336,0.001,-46.20931251000001,54800,0.10333134233951569,70,772,54699,,
,,45.74327087402344,0.001,,55000,0.14913877844810486,,,54899,100.0,-45.44276533999999
552,100.0,46.219627380371094,0.001,-46.24376017,55200,0.14078181982040405,70,778,55099,,
,,46.5117301940918,0.001,,55500,0.11345523595809937,,,55399,100.0,-45.91854336
556,100.0,45.941490173339844,0.001,-45.98751169,55600,0.11434929072856903,70,784,55499,,
,,46.54290008544922,0.001,,56000,0.09649448841810226,,,55899,100.0,-46.543701119999994
560,100.0,,,-45.70036321999999,56000,,70,791,,,
564,100.0,46.55217361450195,0.001,-45.534227810000004,56400,0.214035764336586,71,793,56299,,
,,46.80291748046875,0.001,,56500,0.19839657843112946,,,56399,100.0,-44.7214667
568,100.0,46.229366302490234,0.001,-45.304601010000006,56800,0.13041561841964722,70,800,56699,,
,,46.45015335083008,0.001,,57000,0.15803438425064087,,,56899,100.0,-45.58887558000001
572,100.0,46.4354248046875,0.001,-44.92266629000001,57200,0.11875145137310028,70,806,57099,,
,,46.28424072265625,0.001,,57500,0.12074792385101318,,,57399,100.0,-48.48276414000001
576,100.0,46.677146911621094,0.001,-45.00585078,57600,0.09107518941164017,70,812,57499,,
,,47.22381591796875,0.001,,58000,0.11518281698226929,,,57899,100.0,-47.75464546000001
580,100.0,,,-45.22042690999999,58000,,70,819,,,
584,100.0,46.80827331542969,0.001,-45.38518507999999,58400,0.15823844075202942,71,821,58299,,
,,47.124454498291016,0.001,,58500,0.13919225335121155,,,58399,100.0,-47.09411954
588,100.0,47.01819610595703,0.001,-45.261637410000006,58800,0.14227864146232605,70,828,58699,,
,,46.792503356933594,0.001,,59000,0.13212093710899353,,,58899,100.0,-45.1810104
592,100.0,47.12557601928711,0.001,-45.34106642,59200,0.14045336842536926,70,834,59099,,
,,46.997650146484375,0.001,,59500,0.12055253237485886,,,59399,100.0,-45.2191832
596,100.0,47.616539001464844,0.001,-45.203675540000006,59600,0.12969326972961426,70,841,59499,,
,,47.787235260009766,0.001,,60000,0.13950002193450928,,,59899,100.0,-45.48596428
600,100.0,,,-45.43637358,60000,,70,847,,,
604,100.0,47.89985656738281,0.001,-45.31195444,60400,0.1551208198070526,71,850,60299,,
,,47.65690612792969,0.001,,60500,0.15954531729221344,,,60399,100.0,-45.541251200000005
608,100.0,47.94658660888672,0.001,-45.316299250000014,60800,0.11948079615831375,70,856,60699,,
,,48.51273727416992,0.001,,61000,0.15449559688568115,,,60899,100.0,-45.725536840000004
612,100.0,48.20806884765625,0.001,-45.551894680000004,61200,0.14396104216575623,70,862,61099,,
,,47.815120697021484,0.001,,61500,0.12279656529426575,,,61399,100.0,-45.24810162
616,100.0,48.09040069580078,0.001,-45.33601627,61600,0.12340443581342697,70,869,61499,,
,,47.60956573486328,0.001,,62000,0.15510137379169464,,,61899,100.0,-48.19605737999999
620,100.0,,,-45.18455313,62000,,70,875,,,
624,100.0,48.001808166503906,0.001,-45.388139550000005,62400,0.1270703375339508,71,878,62299,,
,,48.001747131347656,0.001,,62500,0.10840944945812225,,,62399,100.0,-45.869870399999996
628,100.0,47.982601165771484,0.001,-45.3812273,62800,0.11248695850372314,70,884,62699,,
,,48.34170150756836,0.001,,63000,0.1274368166923523,,,62899,100.0,-44.95693868
632,100.0,48.59372329711914,0.001,-45.24329381000001,63200,0.0984056368470192,70,891,63099,,
,,48.209136962890625,0.001,,63500,0.14819622039794922,,,63399,100.0,-44.06870324
636,100.0,48.54707336425781,0.001,-44.88536379,63600,0.09496372193098068,70,897,63499,,
,,48.55567932128906,0.001,,64000,0.09570404887199402,,,63899,100.0,-44.36672588000001
640,100.0,,,-44.35549706999999,64000,,70,903,,,
644,100.0,48.95237731933594,0.001,-44.16826368,64400,0.0979645699262619,71,906,64299,,
,,48.75164794921875,0.001,,64500,0.12112949788570404,,,64399,100.0,-45.14121018
648,100.0,48.930179595947266,0.001,-43.964448250000004,64800,0.10162942111492157,70,912,64699,,
,,48.82529067993164,0.001,,65000,0.10330776870250702,,,64899,100.0,-45.269076999999996
652,100.0,48.87877655029297,0.001,-44.1286915,65200,0.09857527911663055,70,919,65099,,
,,49.51349639892578,0.001,,65500,0.10328410565853119,,,65399,100.0,-44.75214886
656,100.0,49.33439636230469,0.001,-44.275280030000005,65600,0.13521569967269897,70,925,65499,,
,,49.106143951416016,0.001,,66000,0.08745010942220688,,,65899,100.0,-46.70349402
660,100.0,,,-44.19237759,66000,,70,932,,,
664,100.0,49.22003936767578,0.001,-44.621101559999985,66400,0.09019927680492401,71,934,66299,,
,,49.388858795166016,0.001,,66500,0.10658274590969086,,,66399,100.0,-45.578991259999995
668,100.0,49.450599670410156,0.001,-44.852029390000006,66800,0.10155833512544632,70,941,66699,,
,,49.44214630126953,0.001,,67000,0.09627503156661987,,,66899,100.0,-44.81720088
672,100.0,49.576622009277344,0.001,-44.971499430000016,67200,0.09672866761684418,70,947,67099,,
,,49.613075256347656,0.001,,67500,0.09154658019542694,,,67399,100.0,-44.30657826000001
676,100.0,50.31018829345703,0.001,-44.72504494,67600,0.07788258790969849,70,954,67499,,
,,49.61274719238281,0.001,,68000,0.09084291756153107,,,67899,100.0,-45.35722356
680,100.0,,,-44.339027449999996,68000,,70,960,,,
684,100.0,49.89347457885742,0.001,-44.17978076999999,68400,0.08352719247341156,71,962,68299,,
,,49.48736572265625,0.001,,68500,0.11797857284545898,,,68399,100.0,-44.99861562
688,100.0,49.85599136352539,0.001,-44.16141055,68800,0.09889136254787445,70,969,68699,,
,,50.323341369628906,0.001,,69000,0.08309607207775116,,,68899,100.0,-44.90801721999999
692,100.0,50.356101989746094,0.001,-44.17399685,69200,0.07811041176319122,70,975,69099,,
,,49.86870574951172,0.001,,69500,0.07598258554935455,,,69399,100.0,-44.71748880000001
